phase,time_s,throttle,speed_mps,acceleration_mps2
speed_2.00,1788488526.805191,0.0,0.0,nan
speed_2.00,1788488526.8065608,0.0,0.0,nan
speed_2.00,1788488526.807757,0.0,0.0,nan
speed_2.00,1788488526.8090463,0.0,0.0,nan
speed_2.00,1788488526.8518643,0.0,0.0,nan
speed_2.00,1788488526.8691654,0.0,0.0,nan
speed_2.00,1788488526.911712,0.0,0.0,0.0
speed_2.00,1788488526.9128504,0.0,0.0,0.0
speed_2.00,1788488526.9139428,0.0,0.0,0.0
speed_2.00,1788488526.973995,0.0,0.0,0.0
speed_2.00,1788488527.0033581,1.0,0.3081,3.4457185660005063
speed_2.00,1788488527.0463667,1.0,0.3081,2.3266196800293826
speed_2.00,1788488527.047882,1.0,0.3081,2.300296311380571
speed_2.00,1788488527.0497816,1.0,0.4664,3.4334827890878263
speed_2.00,1788488527.1112833,0.07999999821186066,0.7067,3.693299492125628
speed_2.00,1788488527.1292126,0.07999999821186066,1.0106,8.637591967753755
speed_2.00,1788488527.1734552,0.07999999821186066,1.0106,4.400289627066365
speed_2.00,1788488527.174528,0.07999999821186066,1.0106,4.362453245263979
speed_2.00,1788488527.1754322,0.07999999821186066,1.1175,5.181827786200445
speed_2.00,1788488527.2418823,0.07999999821186066,1.3748,3.232457168975668
speed_2.00,1788488527.2872965,0.07999999821186066,1.7813,5.933973855534931
speed_2.00,1788488527.3295732,0.07999999821186066,1.7813,4.63560441759425
speed_2.00,1788488527.3306766,0.07999999821186066,1.7813,4.578000096662461
speed_2.00,1788488527.331602,0.07999999821186066,1.7813,4.530773868492103
speed_2.00,1788488527.3326905,0.07999999821186066,1.9239,6.046813870094544
speed_2.00,1788488527.3887694,0.07999999821186066,1.9674,1.833988022781526
speed_2.00,1788488527.4040349,0.07999999821186066,1.9886,1.7757665269710545
speed_2.00,1788488527.4472995,0.07999999821186066,1.9886,0.5645280760549608
speed_2.00,1788488527.4490528,0.07999999821186066,1.9886,0.5560218514564835
speed_2.00,1788488527.4514432,0.07999999821186066,1.9917,0.5709343007719573
speed_2.00,1788488527.5105731,0.07999999821186066,1.9949,0.059133666029620155
speed_2.00,1788488527.537304,0.07999999821186066,1.9957,0.04658707230247196
speed_2.00,1788488527.5793426,0.07999999821186066,1.9957,0.03127457782566472
speed_2.00,1788488527.5808675,0.07999999821186066,1.9957,0.030906089215153525
speed_2.00,1788488527.5835001,0.07999999821186066,1.9956,0.02953271262911038
speed_2.00,1788488527.6384888,0.07999999821186066,1.9953,-0.00395316116870833
speed_2.00,1788488527.6590004,0.07999999821186066,1.9948,-0.007395448561219742
speed_2.00,1788488527.709603,0.07999999821186066,1.9948,-0.006344024170282053
speed_2.00,1788488527.7118204,0.07999999821186066,1.9948,-0.0062344034157427375
