model,regime,bin,samples,absolute_error_median_mps,absolute_error_p95_mps,relative_error_median_pct,relative_error_p95_pct
leave_one_recording_out,accelerating,1-3_mps,1007,0.05127502888124447,0.17682148081391272,1.8876241647978187,7.078996826812005
leave_one_recording_out,accelerating,3-5_mps,3311,0.05043802256925911,0.1709378081988362,1.2673315647411514,4.434451749286688
leave_one_recording_out,accelerating,5-10_mps,8779,0.04705206271498419,0.1736983483955629,0.6346466891011069,2.442250004583834
leave_one_recording_out,accelerating,10-15_mps,9702,0.04837254697280979,0.19401088832274896,0.38695396222705947,1.573121268477698
leave_one_recording_out,accelerating,15-20_mps,9354,0.05514994013111263,0.241518379564558,0.32343125452321053,1.4250223784197864
leave_one_recording_out,accelerating,20-23_mps,1477,0.08350804384063437,0.2820794722210948,0.3972558692781033,1.3410494203551317
leave_one_recording_out,steady,1-3_mps,2505,0.008055795103238506,0.13085435725608652,0.4178437974653594,7.077280628471898
leave_one_recording_out,steady,3-5_mps,2241,0.0052748682954182335,0.08206773619565233,0.13886797033965959,2.010389001506766
leave_one_recording_out,steady,5-10_mps,6100,0.011953653112279028,0.14978713118433892,0.15706824777830608,1.9476040664507719
leave_one_recording_out,steady,10-15_mps,7286,0.056403772986542755,0.222121143151635,0.4582124321381019,1.7567567733553293
leave_one_recording_out,steady,15-20_mps,8467,0.08453707665535148,0.25983635914726083,0.4821115104946135,1.4634225043376214
leave_one_recording_out,steady,20-23_mps,5866,0.09167598298937563,0.2828727763995609,0.43128082139430457,1.3517338150090465
leave_one_recording_out,decelerating,1-3_mps,548,0.09224885708506103,0.2882862791320058,4.79394405082709,14.822679137672829
leave_one_recording_out,decelerating,3-5_mps,539,0.10785843378005389,0.2961848685102808,2.6985527938403395,7.597083501645614
leave_one_recording_out,decelerating,5-10_mps,1446,0.12962753743842637,0.3302698969163764,1.7305884855059834,4.875901814613746
leave_one_recording_out,decelerating,10-15_mps,1526,0.15182479777451086,0.39660997236326123,1.1908925398210475,3.231611094539529
leave_one_recording_out,decelerating,15-20_mps,962,0.16810539246754708,0.45294030739989877,0.9924787756999474,2.70148852904934
leave_one_recording_out,decelerating,20-23_mps,101,0.25793050132288187,0.8152807103391773,1.2116520772586616,3.7205514119042995
leave_one_recording_out,frozen,1-3_mps,4175,0.0664495239047378,0.2151856161344593,3.718372236045836,12.833350645545073
leave_one_recording_out,frozen,3-5_mps,1535,0.10418472760930308,0.25800158712418575,2.6720150356512056,6.551944798287632
leave_one_recording_out,frozen,5-10_mps,2349,0.1227780375065688,0.2899033493656102,1.7562902831165352,4.227081208119655
leave_one_recording_out,frozen,10-15_mps,617,0.15399527600364493,0.4172554868840865,1.3398729298205163,3.677057569042995
leave_one_recording_out,all,1-3_mps,8235,0.04186809279083503,0.2073857712939862,2.2435875556700964,11.744609264944627
leave_one_recording_out,all,3-5_mps,7626,0.04299611764904698,0.21052675157619394,1.0784000198909207,5.409480539710662
leave_one_recording_out,all,5-10_mps,18674,0.04267643051555803,0.2233231626278114,0.5665713307494256,3.1775309438515227
leave_one_recording_out,all,10-15_mps,19131,0.056604726950416406,0.23987398023806072,0.45779712042542825,1.9709461368861556
leave_one_recording_out,all,15-20_mps,18783,0.06952292014953976,0.2672655127916908,0.3978408139754913,1.5346687267193324
leave_one_recording_out,all,20-23_mps,7444,0.09084385971844178,0.29260730125461476,0.42662120513823676,1.379997618909519
