metric,bin,samples,relative_samples,absolute_error_median,absolute_error_p95,absolute_error_max,relative_error_median_pct,relative_error_p95_pct,relative_error_max_pct,reference_median,reference_max
odom_speed_vs_truth,0-1_mps,28986,0,0.0,0.2663335458232775,1.326633875512961,nan,nan,nan,nan,nan
odom_speed_vs_truth,1-3_mps,4174,4174,0.12507125416867992,0.6072100331125818,1.0508642955916145,6.21464809074299,35.88388378427634,83.72026495654988,1.9931,2.9999
odom_speed_vs_truth,3-5_mps,3669,3669,0.12049032216601585,0.6366098108884719,1.1067445180500348,3.0033632329120916,16.502083688128682,29.856172006816994,3.9486,4.9981
odom_speed_vs_truth,5-10_mps,9968,9968,0.09006589569046142,0.655631814920735,1.310683615520139,1.2037760948407485,9.03819544703273,20.47585847459241,7.7694,9.9978
odom_speed_vs_truth,10-15_mps,9684,9684,0.0825889388382981,0.7178358735021266,1.855107615923112,0.6728384219086428,5.8120703419050574,15.256822948245869,12.3422,14.9992
odom_speed_vs_truth,15-20_mps,9713,9713,0.09344165484901268,0.6947813670715774,1.4431987294426847,0.5349410679009824,4.0419387070080806,9.131912825346678,17.4481,19.9939
odom_speed_vs_truth,20-23_mps,3476,3476,0.15237262166754562,0.8026035552047972,1.4384505265388405,0.7095136771644892,3.8122372684029866,7.155081981798759,21.4268,22.8836
odom_position_vs_truth,distance_ge_1m,46381,46381,0.4562264764362118,1.8029709638197309,3.2030512903028305,1.1607750356886162,5.488656560539593,26.92475701831716,49.18170002050166,236.01500231894943
odom_position_vs_truth,distance_ge_5m,42230,42230,0.5207247739536469,1.8627629023949703,3.2030512903028305,1.0733892682040902,3.5118473275131845,13.14438458828207,56.85600014661732,236.01500231894943
odom_position_vs_truth,distance_ge_10m,38615,38615,0.5762256587347608,1.930820074616419,3.2030512903028305,1.0171689915713293,3.0090801035328116,9.343506876867211,63.06650012846374,236.01500231894943
odom_position_vs_truth,distance_ge_50m,22944,22944,0.86546082373885,2.3701003847391307,3.2030512903028305,0.8545768614385659,2.336564742870233,4.452108497045441,98.13950025898541,236.01500231894943
odom_position_vs_truth,distance_ge_100m,11187,11187,1.0420907580429515,2.614138512518999,3.2030512903028305,0.7383046214467451,1.6004973746545412,2.8910536182730726,136.41490047415533,236.01500231894943
odom_position_endpoint,epoch_0,1,0,294.19040135157366,294.19040135157366,294.19040135157366,nan,nan,nan,0.0,0.0
odom_position_endpoint,epoch_1,1,1,0.1582,0.1582,0.1582,19775.00000000012,19775.00000000012,19775.00000000012,0.0007999999999999952,0.0007999999999999952
odom_position_endpoint,epoch_2,1,1,0.11849759155276163,0.11849759155276163,0.11849759155276163,23.823399990502942,23.823399990502942,23.823399990502942,0.49739999999999995,0.49739999999999995
odom_position_endpoint,epoch_3,1,1,0.28377958660309077,0.28377958660309077,0.28377958660309077,14.534910192741792,14.534910192741792,14.534910192741792,1.9524000000000001,1.9524000000000001
odom_position_endpoint,epoch_4,1,1,0.34178316566972455,0.34178316566972455,0.34178316566972455,15.791127595163765,15.791127595163765,15.791127595163765,2.1644,2.1644
odom_position_endpoint,epoch_5,1,1,0.20964287752845046,0.20964287752845046,0.20964287752845046,8.269609779829214,8.269609779829214,8.269609779829214,2.535100000000001,2.535100000000001
odom_position_endpoint,epoch_6,1,1,0.4359529908077828,0.4359529908077828,0.4359529908077828,8.656731350432542,8.656731350432542,8.656731350432542,5.036,5.036
odom_position_endpoint,epoch_7,1,1,0.40179770133106274,0.40179770133106274,0.40179770133106274,4.429670598759318,4.429670598759318,4.429670598759318,9.0706,9.0706
odom_position_endpoint,epoch_8,1,1,0.7184450762992975,0.7184450762992975,0.7184450762992975,9.916289303105515,9.916289303105515,9.916289303105515,7.245099999999999,7.245099999999999
odom_position_endpoint,epoch_9,1,1,0.6171633024021697,0.6171633024021697,0.6171633024021697,15.68514251155538,15.68514251155538,15.68514251155538,3.9347000000000003,3.9347000000000003
odom_position_endpoint,epoch_10,1,1,0.6737467006732292,0.6737467006732292,0.6737467006732292,6.833823924061558,6.833823924061558,6.833823924061558,9.859000000000002,9.859000000000002
odom_position_endpoint,epoch_11,1,1,0.4761365529616661,0.4761365529616661,0.4761365529616661,7.917794179124735,7.917794179124735,7.917794179124735,6.013500000000002,6.013500000000002
odom_position_endpoint,epoch_12,1,1,0.859076919890974,0.859076919890974,0.859076919890974,9.78191270955187,9.78191270955187,9.78191270955187,8.782300000000001,8.782300000000001
odom_position_endpoint,epoch_13,1,1,0.5348332520765469,0.5348332520765469,0.5348332520765469,2.290565287855686,2.290565287855686,2.290565287855686,23.34940003291639,23.34940003291639
odom_position_endpoint,epoch_14,1,1,0.572617637740591,0.572617637740591,0.572617637740591,2.550714886743477,2.550714886743477,2.550714886743477,22.449300026301945,22.449300026301945
