record_type,name,speed_mps,value,value_2,samples
coefficient,c0,,0.155505526,,20080
coefficient,c1,,6.116891844,,20080
coefficient,c2,,-0.225869633,,20080
coefficient,c3,,-0.055236884,,20080
operating_point,,0.000000,0.000000,0.163482,20080
operating_point,,2.000000,0.049320,0.166489,20080
operating_point,,4.000000,0.126862,0.169608,20080
operating_point,,6.000000,0.207366,0.172847,20080
operating_point,,8.000000,0.291005,0.176212,20080
operating_point,,10.000000,0.377964,0.179710,20080
operating_point,,12.000000,0.468446,0.183350,20080
operating_point,,14.000000,0.562670,0.187141,20080
operating_point,,16.000000,0.660872,0.191091,20080
operating_point,,18.000000,0.763309,0.195212,20080
operating_point,,20.000000,0.870262,0.199515,20080
operating_point,,23.000000,1.000000,0.206337,20080
