record_type,parameter,value,speed_bin_mps,median_body_speed_mps,median_deceleration_mps2,samples
fit,intercept_mps2,0.000000000,,,,
fit,speed_gain_per_s,2.533990512,,,,
fit,max_deceleration_p95_mps2,185.111740782,,,,
fit,fit_rmse_mps2,28.514085312,,,,
fit,samples,3081.000000000,,,,
fit,bins,12.000000000,,,,
speed_bin,,,0.000000000,1.365700000,11.838039610,437
speed_bin,,,2.000000000,2.931900000,11.621564353,597
speed_bin,,,4.000000000,4.948400000,12.719963430,501
speed_bin,,,6.000000000,6.958500000,14.327613362,417
speed_bin,,,8.000000000,8.947700000,13.539185652,317
speed_bin,,,10.000000000,10.950000000,13.599755003,264
speed_bin,,,12.000000000,12.920000000,14.542603675,204
speed_bin,,,14.000000000,14.917100000,18.891222497,153
speed_bin,,,16.000000000,16.852400000,18.718312161,99
speed_bin,,,18.000000000,18.775700000,19.727560373,66
speed_bin,,,20.000000000,20.660900000,14.233430784,23
speed_bin,,,22.000000000,22.227900000,133.016582551,3
