speed_mps,observed_full_throttle_acceleration_mps2,monotonic_acceleration_limit_mps2,samples
0.000000,4.521522,4.521522,6
2.000000,4.053823,4.053823,16
4.000000,3.999112,3.999112,20
6.000000,3.630293,3.630293,21
8.000000,2.955791,2.955791,23
10.000000,2.374911,2.374911,31
12.000000,1.964194,1.964194,39
14.000000,1.461662,1.461662,51
16.000000,0.916139,0.916139,83
18.000000,0.369614,0.516106,194
20.000000,0.407907,0.516106,109
22.000000,1.813302,0.516106,31
23.000000,0.018599,0.018599,126
