speed_mps,throttle
0.000000,0.000000
0.252100,0.010000
0.503300,0.020000
0.753700,0.030000
1.003400,0.040000
1.252400,0.050000
1.500700,0.060000
1.748500,0.070000
1.995700,0.080000
2.242300,0.090000
2.488300,0.100000
2.733900,0.110000
2.978900,0.120000
3.223600,0.130000
3.467700,0.140000
3.711300,0.150000
3.954400,0.160000
4.197200,0.170000
4.439400,0.180000
4.681200,0.190000
4.922600,0.200000
5.164100,0.210000
5.404600,0.220000
5.644800,0.230000
5.884400,0.240000
6.123700,0.250000
6.362600,0.260000
6.601000,0.270000
6.839000,0.280000
7.076600,0.290000
7.313800,0.300000
7.550500,0.310000
7.786900,0.320000
8.022800,0.330000
8.258400,0.340000
8.493600,0.350000
8.728300,0.360000
8.962600,0.370000
9.196500,0.380000
9.430100,0.390000
9.663300,0.400000
9.896000,0.410000
10.128300,0.420000
10.360200,0.430000
10.591800,0.440000
10.823000,0.450000
11.053700,0.460000
11.284100,0.470000
11.514000,0.480000
11.743400,0.490000
11.972500,0.500000
12.201300,0.510000
12.429700,0.520000
12.657500,0.530000
12.885100,0.540000
13.112200,0.550000
13.338900,0.560000
13.565200,0.570000
13.791200,0.580000
14.016600,0.590000
14.241800,0.600000
14.466400,0.610000
14.690700,0.620000
14.914600,0.630000
15.138000,0.640000
15.361000,0.650000
15.583800,0.660000
15.806000,0.670000
16.027600,0.680000
16.249300,0.690000
16.470100,0.700000
16.690400,0.710000
16.910700,0.720000
17.130100,0.730000
17.349500,0.740000
17.568500,0.750000
17.786600,0.760000
18.004400,0.770000
18.221900,0.780000
18.439000,0.790000
18.655500,0.800000
18.871600,0.810000
19.087100,0.820000
19.302600,0.830000
19.517200,0.840000
19.731300,0.850000
19.945300,0.860000
20.157900,0.870000
20.371400,0.880000
20.583200,0.890000
20.795200,0.900000
21.006600,0.910000
21.216800,0.920000
21.427100,0.930000
21.636700,0.940000
21.845900,0.950000
22.055000,0.960000
22.262600,0.970000
22.470200,0.980000
22.676800,0.990000
22.883600,1.000000
