case,normal_bound_changes,temporary_recovery_bound_changes,actuator_bound_changes,nominal_parity
clean_unviolated_holdout,0,0,0,exact
nominal_recovery_policy,0,0,0,exact
directional_schedule_unit_test,0,temporary_only,0,normal stages restored
