event_index,source_stamp_ns,status,steering_rate_radps,target_speed_rate_mps2,steering_command_rad,target_speed_mps,iterations,primal_residual,dual_residual,rti_iterations_used,rti2_triggered,rti2_trigger_reason_mask,rti2_budget_skipped,r1_status,r2_status,r1_objective,r2_objective,r1_slack_m,r2_slack_m,selected_candidate,r1_iterations,r2_iterations,r1_steering_rate_radps,r1_target_speed_rate_mps2,r1_next_progress_m,r1_next_e_y_m,r1_next_raw_bound_clearance_m,r1_next_first_step_clearance_m,r2_steering_rate_radps,r2_target_speed_rate_mps2,r2_next_progress_m,r2_next_e_y_m,r2_next_raw_bound_clearance_m,r2_next_first_step_clearance_m,r1_solve_us,r2_solve_us,total_rti_us,rho_start,rho_final,rho_u_start,rho_u_final,rho_change_count,factorization_count,progress_m,e_y_m,e_psi_rad,u_mps,v_mps,r_radps,target_speed_state_mps,steering_state_rad,state_age_s,path_curvature_per_m,raw_left_bound_m,raw_right_bound_m,current_raw_bound_clearance_m,current_inset_corridor_clearance_m,first_prediction_corridor_margin_m,lateral_accel_proxy_mps2,minimum_predicted_corridor_slack_m,candidate_progress_error_max_m,candidate_curvature_error_max_per_m,candidate_left_bound_error_max_m,candidate_right_bound_error_max_m,nonlinear_failure_stage,nonlinear_failure_reason,recovery_active,recovery_not_found,recovery_reentry_stage,recovery_initial_violation_m,recovery_max_seed_violation_m
161,1789729638886458884,0,0.01162016392,3,0.0002905041038,0.07500000298,49,0.009834766388,0.00906265527,2,1,32,0,0,0,344403.1875,344402.875,0.8055509925,0.8055486679,R1,49,27,0.01162016392,3,21.80566961,0.1656917483,0.8906917483,0.8406917475,0.009859442711,3,21.80566961,0.1656917483,0.8906917483,0.8406917475,2549.279999,882.4069996,3756.383999,7,1,7,14,24,26,21.80566961,0.1656917483,-0.3013786972,0,0,0,0,0,0.004600728,-0.05188309756,1.195860037,0.725,0.8906917483,0.8406917475,0.05000000075,0.267937839,0.8055509925,0.006014320999,0.005636457354,0.001356601715,0.00366204977,-1,-1,0,0,1,0,0
182,1789729638909300748,0,0.009883463383,3,0.000247086602,0.07500000298,27,0.009094715118,0.007116787136,2,1,32,0,0,0,344402.8438,344402.875,0.8055485487,0.8055486679,R2,27,27,0.009805321693,3,21.80566961,0.1656917483,0.8906917483,0.8406917475,0.009883463383,3,21.80566961,0.1656917483,0.8906917483,0.8406917475,966.3040009,1045.011,2236.886,1,1,14,14,4,6,21.80566961,0.1656917483,-0.3013786972,0,0,0,0,0,0.003968609,-0.05188309756,1.195860037,0.725,0.8906917483,0.8406917475,0.05000000075,0.2599781156,0.8055486679,3.087334335e-06,2.786517143e-06,5.960464478e-07,1.966953278e-06,-1,-1,0,0,1,0,0
203,1789729638934214105,0,0.009883284569,3,0.00024708212,0.07500000298,27,0.00910115242,0.007123045623,2,1,32,0,0,0,344402.875,344402.875,0.8055486083,0.8055486679,R2,27,27,0.009827613831,3,21.80566961,0.1656917483,0.8906917483,0.8406917475,0.009883284569,3,21.80566961,0.1656917483,0.8906917483,0.8406917475,953.4099998,1170.676001,2329.710001,1,1,14,14,4,6,21.80566961,0.1656917483,-0.3013786972,0,0,0,0,0,0.004079268,-0.05188309756,1.195860037,0.725,0.8906917483,0.8406917475,0.05000000075,0.2599771321,0.8055486679,1.9967556e-06,1.840293407e-06,3.576278687e-07,1.25169754e-06,-1,-1,0,0,1,0,0
224,1789729638959384526,0,0.009883284569,3,0.00024708212,0.07500000298,27,0.00910115242,0.007130399346,2,1,32,0,0,0,344402.875,344402.875,0.8055486083,0.8055486679,R2,27,27,0.009827613831,3,21.80566961,0.1656917483,0.8906917483,0.8406917475,0.009883284569,3,21.80566961,0.1656917483,0.8906917483,0.8406917475,967.9069996,1029.722,2211.368999,1,1,14,14,4,6,21.80566961,0.1656917483,-0.3013786972,0,0,0,0,0,0.003336491,-0.05188309756,1.195860037,0.725,0.8906917483,0.8406917475,0.05000000075,0.259976685,0.8055486679,1.9967556e-06,1.840293407e-06,3.576278687e-07,1.25169754e-06,-1,-1,0,0,1,0,0
244,1789729638984254933,0,0.009883463383,3,0.000247086602,0.07500000298,27,0.009094238281,0.007124088705,2,1,32,0,0,0,344402.875,344402.875,0.8055486083,0.8055486679,R2,27,27,0.009827673435,3,21.80566961,0.1656917483,0.8906917483,0.8406917475,0.009883463383,3,21.80566961,0.1656917483,0.8906917483,0.8406917475,954.0209999,913.4350014,2102.215,1,1,14,14,4,6,21.80566961,0.1656917483,-0.3013786972,0,0,0,0,0,0.00362326,-0.05188309756,1.195860037,0.725,0.8906917483,0.8406917475,0.05000000075,0.2599773407,0.8055486679,2.007931471e-06,1.851469278e-06,3.576278687e-07,1.25169754e-06,-1,-1,0,0,1,0,0
267,1789729639009481278,0,0.06799855828,3,0.004899963737,0.07800000161,27,0.009069442749,0.007082521915,2,1,32,0,0,0,344179.5,344179.5,0.8054326773,0.8054328561,R2,27,27,0.06790293753,3,21.80566961,0.1656917483,0.8906917483,0.8406917475,0.06799855828,3,21.80566961,0.1656917483,0.8906917483,0.8406917475,1065.578999,1159.796,2492.764,1,1,14,14,4,6,21.80566961,0.1656917483,-0.3013786972,0,0,0,0.003000000026,0.003199999919,0.003465143,-0.05188309756,1.195860037,0.725,0.8906917483,0.8406917475,0.05000000075,0.2598684728,0.8054328561,4.153698683e-06,3.695487976e-06,7.152557373e-07,2.562999725e-06,-1,-1,0,0,1,0,0
288,1789729639033925694,0,1.313271284,3,0.105600372,0.1525041908,28,0.009107589722,0.006033599377,2,1,96,0,0,0,338624.7812,338624.875,0.8058085442,0.805809021,R2,27,28,1.312980294,3,21.80580985,0.1656477749,0.8906477749,0.8406477742,1.313271284,3,21.80580985,0.1656477749,0.8906477749,0.8406477742,1990.697001,1358.937,3590.554001,1,1,14,14,14,16,21.80566961,0.1656917483,-0.3013786972,0,0,0,0.07750418782,0.07276859134,0.003391555,-0.05188309756,1.195860037,0.725,0.8906917483,0.8406917475,0.05000000075,0.256608814,0.805809021,1.73485605e-05,1.33626163e-05,1.084804535e-05,9.477138519e-06,-1,-1,0,0,1,0,0
310,1789729639059650577,0,-0.07189736515,3,0.07097115368,0.2256385535,29,0.009199142456,0.007119134068,2,1,96,0,0,0,333118.8438,333118.6562,0.8056740761,0.8056739569,R1,29,26,-0.07189736515,3,21.80600707,0.16558595,0.89058595,0.8405859493,-0.07285977155,3,21.80600707,0.16558595,0.89058595,0.8405859493,1425.751999,1099.052,2789.367001,1,1,14,14,6,8,21.80566961,0.1656917483,-0.3013786972,0,0,0,0.1506385505,0.07276859134,0.0043574,-0.05188309756,1.195860037,0.725,0.8906917483,0.8406917475,0.05000000075,0.3655175269,0.8056740761,0.004146491177,0.002297196537,0.002588272095,0.001867711544,-1,-1,0,0,1,0,0
333,1789729639083841867,0,-0.07307069749,3,0.0701668188,0.304015398,25,0.008753538132,0.00581330061,2,1,32,0,0,0,327293.4688,327293.4688,0.8056361675,0.8056361675,R1,25,24,-0.07307069749,3,21.80621843,0.1655196846,0.8905196846,0.8405196838,-0.07313145697,3,21.80621843,0.1655196846,0.8905196846,0.8405196838,943.3810005,1054.889,2232.868999,1,1,14,14,6,8,21.80566961,0.1656917483,-0.3013786972,0,0,0,0.229015395,0.0719935894,0.003316885,-0.05188309756,1.195860037,0.725,0.8906917483,0.8406917475,0.05000000075,0.4312649369,0.8056361675,0.0007884368533,0.0004650317132,0.0004402399063,0.0003418326378,-1,-1,0,0,1,0,0
355,1789729639109663121,0,-0.05002585053,3,0.07074294239,0.376247704,23,0.009108066559,0.005869366229,2,1,32,0,0,0,321871.25,321871.25,0.8066949844,0.8066949844,R1,23,24,-0.05002585053,3,21.80670215,0.1653684229,0.8903684229,0.8403684221,-0.05008242652,3,21.80670215,0.1653684229,0.8903684229,0.8403684221,1006.459002,1155.006001,2398.387001,1,1,14,14,6,8,21.80577648,0.1656584591,-0.3013655841,0.008686403744,0,0.01240000036,0.3012476861,0.0719935894,0.003172353,-0.05187451569,1.195793242,0.725,0.8906584591,0.8406584583,0.05000000075,0.4851767123,0.8066949844,0.0004833631683,0.0002502053976,0.0002712607384,0.0003004670143,-1,-1,0,0,1,0,0
