simulation_time_k_s,simulation_time_k1_s,simulation_physics_step_k,simulation_physics_step_k1,physics_step_delta,dt_sim_s,x_k_m,y_k_m,yaw_k_rad,u_k_mps,v_k_mps,r_k_radps,applied_command_sequence_k1,throttle_k_norm,steering_k_rad,x_k1_m,y_k1_m,yaw_k1_rad,u_k1_mps,v_k1_mps,r_k1_radps
0.131000012,0.155,132.0,156.0,24.0,0.023999988,0.8005,3.1598,-1.5707963267948966,0.1035,0.0002,-0.0001,6.0,0.0,0.0,0.8005,3.1587,-1.5707963267948966,0.0182,0.0001,0.0
0.155,0.18,156.0,181.0,25.0,0.024999999999999994,0.8005,3.1587,-1.5707963267948966,0.0182,0.0001,0.0,7.0,0.0,0.0,0.8005,3.1586,-1.570798237720549,0.0042,0.0,0.0
0.18,0.206000015,181.0,207.0,26.0,0.026000015000000015,0.8005,3.1586,-1.570798237720549,0.0042,0.0,0.0,8.0,0.0,0.0,0.8005,3.1585,-1.5707963267948966,0.0027,0.0,0.0
0.206000015,0.23,207.0,231.0,24.0,0.023999985,0.8005,3.1585,-1.5707963267948966,0.0027,0.0,0.0,9.0,0.0,0.0,0.8005,3.1585,-1.5707963267948966,0.0024,0.0,0.0
0.23,0.256,231.0,257.0,26.0,0.025999999999999995,0.8005,3.1585,-1.5707963267948966,0.0024,0.0,0.0,10.0,0.0,0.0,0.8005,3.1585,-1.5707983378084478,0.0021,0.0,0.0
0.256,0.28,257.0,281.0,24.0,0.02400000000000002,0.8005,3.1585,-1.5707983378084478,0.0021,0.0,0.0,11.0,0.0,0.0,0.8005,3.1585,-1.5707963267948966,0.0019,0.0,0.0
0.28,0.305,281.0,306.0,25.0,0.024999999999999967,0.8005,3.1585,-1.5707963267948966,0.0019,0.0,0.0,12.0,0.0,0.0,0.8005,3.1585,-1.5707963267948966,0.0017,0.0,0.0
0.305,0.33,306.0,331.0,25.0,0.025000000000000022,0.8005,3.1585,-1.5707963267948966,0.0017,0.0,0.0,13.0,0.0,0.0,0.8005,3.1584,-1.5707963267948966,0.0015,0.0,0.0
0.33,0.356,331.0,357.0,26.0,0.025999999999999968,0.8005,3.1584,-1.5707963267948966,0.0015,0.0,0.0,14.0,0.0,0.0,0.8005,3.1584,-1.5707984178830987,0.0013,0.0,0.0
0.356,0.381,357.0,382.0,25.0,0.025000000000000022,0.8005,3.1584,-1.5707984178830987,0.0013,0.0,0.0,15.0,0.0,0.0,0.8005,3.1584,-1.5707963267948966,0.0011,0.0,0.0
0.381,0.406000018,382.0,407.0,25.0,0.025000018000000013,0.8005,3.1584,-1.5707963267948966,0.0011,0.0,0.0,16.0,0.0,0.0,0.8005,3.1584,-1.5707963267948966,0.001,0.0,0.0
0.406000018,0.431000024,407.0,432.0,25.0,0.025000005999999964,0.8005,3.1584,-1.5707963267948966,0.001,0.0,0.0,17.0,0.0,0.0,0.8005,3.1584,-1.5707984579219216,0.0009,0.0,0.0
0.431000024,0.455,432.0,456.0,24.0,0.023999976000000034,0.8005,3.1584,-1.5707984579219216,0.0009,0.0,0.0,18.0,0.0,0.0,0.8005,3.1584,-1.5707963267948966,0.0008,0.0,0.0
0.455,0.480000019,456.0,481.0,25.0,0.025000018999999984,0.8005,3.1584,-1.5707963267948966,0.0008,0.0,0.0,19.0,0.0,0.0,0.8005,3.1584,-1.5707963267948966,0.0007,0.0,0.0
0.480000019,0.505,481.0,506.0,25.0,0.024999981000000004,0.8005,3.1584,-1.5707963267948966,0.0007,0.0,0.0,20.0,0.0,0.0,0.8005,3.1584,-1.570796326794897,0.0006,0.0,0.0
0.505,0.531,506.0,532.0,26.0,0.026000000000000023,0.8005,3.1584,-1.570796326794897,0.0006,0.0,0.0,21.0,0.0,0.0,0.8005,3.1584,-1.570796326794897,0.0005,0.0,0.0
0.531,0.556000054,532.0,557.0,25.0,0.02500005399999994,0.8005,3.1584,-1.570796326794897,0.0005,0.0,0.0,22.0,0.0,0.0,0.8005,3.1584,-1.570796326794897,0.0005,0.0,0.0
0.556000054,0.580000043,557.0,581.0,24.0,0.023999989,0.8005,3.1584,-1.570796326794897,0.0005,0.0,0.0,23.0,0.0,0.0,0.8005,3.1584,-1.570796326794897,0.0004,0.0,0.0
0.580000043,0.606,581.0,607.0,26.0,0.025999957000000018,0.8005,3.1584,-1.570796326794897,0.0004,0.0,0.0,24.0,0.0,0.0,0.8005,3.1584,-1.570796326794897,0.0004,0.0,0.0
0.606,0.631000042,607.0,632.0,25.0,0.025000042000000056,0.8005,3.1584,-1.570796326794897,0.0004,0.0,0.0,25.0,0.0,0.0,0.8005,3.1584,-1.570796326794897,0.0003,0.0,0.0
0.631000042,0.656,632.0,657.0,25.0,0.02499995799999999,0.8005,3.1584,-1.570796326794897,0.0003,0.0,0.0,26.0,0.0,0.0,0.8005,3.1583,-1.570796326794897,0.0003,0.0,0.0
0.656,0.68,657.0,681.0,24.0,0.02400000000000002,0.8005,3.1583,-1.570796326794897,0.0003,0.0,0.0,27.0,0.0,0.0,0.8005,3.1583,-1.570796326794897,0.0003,0.0,0.0
0.68,0.70600003,681.0,707.0,26.0,0.026000029999999952,0.8005,3.1583,-1.570796326794897,0.0003,0.0,0.0,28.0,0.0,0.0,0.8005,3.1583,-1.570796326794897,0.0002,0.0,0.0
0.70600003,0.73,707.0,731.0,24.0,0.02399996999999998,0.8005,3.1583,-1.570796326794897,0.0002,0.0,0.0,29.0,0.0,0.0,0.8005,3.1583,-1.570796326794897,0.0002,0.0,0.0
0.73,0.755000055,731.0,756.0,25.0,0.02500005500000002,0.8005,3.1583,-1.570796326794897,0.0002,0.0,0.0,30.0,0.0,0.0,0.8005,3.1583,-1.570796326794897,0.0002,0.0,0.0
0.755000055,0.780000031,756.0,781.0,25.0,0.024999976000000035,0.8005,3.1583,-1.570796326794897,0.0002,0.0,0.0,31.0,0.0,0.0,0.8005,3.1583,-1.570796326794897,0.0002,0.0,0.0
0.780000031,0.805000067,781.0,806.0,25.0,0.025000036000000003,0.8005,3.1583,-1.570796326794897,0.0002,0.0,0.0,32.0,0.0,0.0,0.8005,3.1583,-1.570796326794897,0.0001,0.0,0.0
0.805000067,0.830000043,806.0,831.0,25.0,0.024999975999999924,0.8005,3.1583,-1.570796326794897,0.0001,0.0,0.0,33.0,0.0,0.0,0.8005,3.1583,-1.570796326794897,0.0001,0.0,0.0
0.830000043,0.856000066,831.0,857.0,26.0,0.02600002300000004,0.8005,3.1583,-1.570796326794897,0.0001,0.0,0.0,34.0,0.0,0.0,0.8005,3.1583,-1.570796326794897,0.0001,0.0,0.0
0.856000066,0.880000055,857.0,881.0,24.0,0.023999989,0.8005,3.1583,-1.570796326794897,0.0001,0.0,0.0,35.0,0.0,0.0,0.8005,3.1583,-1.570796326794897,0.0001,0.0,0.0
0.880000055,0.906,881.0,907.0,26.0,0.025999945000000024,0.8005,3.1583,-1.570796326794897,0.0001,0.0,0.0,36.0,0.0,0.0,0.8005,3.1583,-1.570796326794897,0.0001,0.0,0.0
0.906,0.931000054,907.0,932.0,25.0,0.02500005399999994,0.8005,3.1583,-1.570796326794897,0.0001,0.0,0.0,37.0,0.0,0.0,0.8005,3.1583,-1.570796326794897,0.0001,0.0,0.0
0.931000054,0.95600003,932.0,957.0,25.0,0.024999976000000035,0.8005,3.1583,-1.570796326794897,0.0001,0.0,0.0,38.0,0.0,0.0,0.8005,3.1583,-1.5707985380026583,0.0001,0.0,0.0
0.95600003,0.981000066,957.0,982.0,25.0,0.025000036000000003,0.8005,3.1583,-1.5707985380026583,0.0001,0.0,0.0,39.0,0.0,0.0,0.8005,3.1583,-1.5707963267948966,0.0001,0.0,0.0
0.981000066,1.005,982.0,1006.0,24.0,0.02399993399999989,0.8005,3.1583,-1.5707963267948966,0.0001,0.0,0.0,40.0,0.0,0.0,0.8005,3.1583,-1.5707963267948966,0.0001,0.0,0.0
1.005,1.03000009,1006.0,1031.0,25.0,0.02500009000000003,0.8005,3.1583,-1.5707963267948966,0.0001,0.0,0.0,41.0,0.0,0.0,0.8005,3.1583,-1.5707963267948966,0.0,0.0,0.0
1.03000009,1.056,1031.0,1057.0,26.0,0.025999910000000126,0.8005,3.1583,-1.5707963267948966,0.0,0.0,0.0,42.0,0.0,0.0,0.8005,3.1583,-1.5707963267948966,0.0,0.0,0.0
1.056,1.08100009,1057.0,1082.0,25.0,0.02500009000000003,0.8005,3.1583,-1.5707963267948966,0.0,0.0,0.0,43.0,0.0,0.0,0.8005,3.1584,-1.5707963267948966,0.0,0.0,0.0
1.08100009,1.105,1082.0,1106.0,24.0,0.023999909999999902,0.8005,3.1584,-1.5707963267948966,0.0,0.0,0.0,44.0,0.0,0.0,0.8005,3.1584,-1.5707963267948966,0.0,0.0,0.0
1.105,1.131,1106.0,1132.0,26.0,0.026000000000000023,0.8005,3.1584,-1.5707963267948966,0.0,0.0,0.0,45.0,0.0,0.0,0.8005,3.1584,-1.5707963267948966,0.0,0.0,0.0
1.131,1.15500009,1132.0,1156.0,24.0,0.02400008999999992,0.8005,3.1584,-1.5707963267948966,0.0,0.0,0.0,46.0,0.0,0.0,0.8005,3.1584,-1.5707963267948966,0.0,0.0,0.0
1.15500009,1.18000007,1156.0,1181.0,25.0,0.024999980000000033,0.8005,3.1584,-1.5707963267948966,0.0,0.0,0.0,47.0,0.0,0.0,0.8005,3.1584,-1.5707963267948966,0.0,0.0,0.0
1.18000007,1.205,1181.0,1206.0,25.0,0.024999930000000115,0.8005,3.1584,-1.5707963267948966,0.0,0.0,0.0,48.0,0.2,0.0,0.8005,3.1568,-1.5707963267948966,0.1272,0.0,0.0
1.205,1.23100007,1206.0,1232.0,26.0,0.02600006999999982,0.8005,3.1568,-1.5707963267948966,0.1272,0.0,0.0,49.0,0.2,0.0,0.8005,3.1516,-1.5707963267948966,0.2657,0.0,0.0
1.23100007,1.256,1232.0,1257.0,25.0,0.024999930000000115,0.8005,3.1516,-1.5707963267948966,0.2657,0.0,0.0,50.0,0.2,0.0,0.8005,3.1432,-1.5707963267948966,0.398,0.0,0.0
1.256,1.28000009,1257.0,1281.0,24.0,0.02400008999999992,0.8005,3.1432,-1.5707963267948966,0.398,0.0,0.0,51.0,0.2,0.0,0.8005,3.132,-1.5707963267948966,0.5242,0.0,0.0
1.28000009,1.30600011,1281.0,1307.0,26.0,0.026000020000000124,0.8005,3.132,-1.5707963267948966,0.5242,0.0,0.0,52.0,0.2,0.0,0.8005,3.1165,-1.5707963267948966,0.66,0.0,0.0
1.30600011,1.33,1307.0,1331.0,24.0,0.023999890000000024,0.8005,3.1165,-1.5707963267948966,0.66,0.0,0.0,53.0,0.2,0.0,0.8006,3.0991,-1.5707963267948966,0.7845,0.0,0.0
1.33,1.35600007,1331.0,1357.0,26.0,0.02600006999999982,0.8006,3.0991,-1.5707963267948966,0.7845,0.0,0.0,54.0,0.2,0.0,0.8006,3.0769,-1.5707963267948966,0.9185,0.0,0.0
1.35600007,1.38000011,1357.0,1381.0,24.0,0.02400004,0.8006,3.0769,-1.5707963267948966,0.9185,0.0,0.0,55.0,0.2,0.0,0.8006,3.0533,-1.5707963267948966,1.0413,0.0,0.0
1.38000011,1.406,1381.0,1407.0,26.0,0.025999890000000025,0.8006,3.0533,-1.5707963267948966,1.0413,0.0,0.0,56.0,0.2,0.0,0.8006,3.0244,-1.5707963267948966,1.1734,0.0,0.0
1.406,1.43100011,1407.0,1432.0,25.0,0.02500011000000013,0.8006,3.0244,-1.5707963267948966,1.1734,0.0,0.0,57.0,0.2,0.0,0.8006,2.9934,-1.5707963267948966,1.2996,0.0,0.0
