estimate_x_m,estimate_y_m,estimate_yaw_rad,position_error_m,r_error_radps,source_stamp_ns,topic,truth_com_v_mps,truth_pose_u_mps,truth_pose_v_mps,truth_x_m,truth_y_m,truth_yaw_rad,u_error_mps,v_error_mps,v_error_mps_com
0.8001,3.159,-1.5708616535678834,0.0,0.0,1789416523858307258,/odom,0.0,,,0.8001,3.159,-1.5708616535678834,,,0.0
0.8001,3.159,-1.5708751560319434,9.999999999976694e-05,0.0,1789416523883307264,/odom,0.0,0.003999999029600435,2.883119506224225e-07,0.8001,3.1589,-1.5708751560319434,-0.003999999029600435,-2.883119506224225e-07,0.0
0.8001,3.159,-1.5708896590846215,0.00019999999999997797,0.0,1789416523908307250,/odom,0.0,0.004000002225189891,3.443232459403041e-07,0.8001,3.1588,-1.5708896590846215,-0.004000002225189891,-3.443232459403041e-07,0.0
0.8001,3.159,-1.5709019820088543,0.00019999999999997797,0.0,1789416523933307250,/odom,0.0,-0.0,0.0,0.8001,3.1588,-1.5709019820088543,0.0,0.0,0.0
0.8001,3.159,-1.5706320577817854,0.0002999999999997449,0.0,1789416523958307267,/odom,0.0,0.003999997278274742,-1.1722751857526867e-07,0.8001,3.1587,-1.5706320577817854,-0.003999997278274742,1.1722751857526867e-07,0.0
0.8001,3.159,-1.5706421992446846,0.0002999999999997449,0.0,1789416523983307273,/odom,0.0,0.0,0.0,0.8001,3.1587,-1.5706421992446846,0.0,0.0,0.0
0.8001,3.159,-1.570652700976375,0.00039999999999995595,0.0,1789416524008307279,/odom,0.0,0.003999998995680154,-5.955065923468697e-07,0.8001,3.1586,-1.570652700976375,-0.003999998995680154,5.955065923468697e-07,0.0
0.8001,3.159,-1.5706635629995556,0.00039999999999995595,0.0,1789416524033307250,/odom,0.0,0.0,0.0,0.8001,3.1586,-1.5706635629995556,0.0,0.0,0.0
0.8001,3.159,-1.5706710045218433,0.0004999999999997229,0.0,1789416524058307250,/odom,0.0,0.003999999966686465,-5.161721353550446e-07,0.8001,3.1585,-1.5706710045218433,-0.003999999966686465,5.161721353550446e-07,0.0
0.8001,3.159,-1.5706786061912494,0.0004999999999997229,0.0,1789416524083307267,/odom,0.0,0.0,0.0,0.8001,3.1585,-1.5706786061912494,0.0,0.0,0.0
0.8001,3.159,-1.570686368015077,0.0004999999999997229,0.0,1789416524109307250,/odom,0.0,0.0,0.0,0.8001,3.1585,-1.570686368015077,0.0,0.0,0.0
0.8001,3.159,-1.5706903089872228,0.0005999999999999339,0.0,1789416524134307266,/odom,0.0,0.003999997416687149,-4.3195289769855456e-07,0.8001,3.1584,-1.5706903089872228,-0.003999997416687149,4.3195289769855456e-07,0.0
0.8001,3.159,-1.5706983110567119,0.0005999999999999339,0.0,1789416524158307285,/odom,0.0,0.0,0.0,0.8001,3.1584,-1.5706983110567119,0.0,0.0,0.0
0.8001,3.159,-1.5707023721559765,0.0005999999999999339,0.0,1789416524183307250,/odom,0.0,0.0,0.0,0.8001,3.1584,-1.5707023721559765,0.0,0.0,0.0
0.8001,3.159,-1.5707064732995522,0.0005999999999999339,0.0,1789416524208307297,/odom,0.0,0.0,0.0,0.8001,3.1584,-1.5707064732995522,0.0,0.0,0.0
0.800100007975035,3.158915100149298,-1.5706983110567119,0.001318896056458053,0.0,1789416524232307286,/odom,0.0017,0.03333373985846784,0.004163537402683902,0.8002,3.1576,-1.5706983110567119,-0.02625873146473095,-0.004163537402683902,-0.0017
0.8001001980890922,3.1584285344656373,-1.5701128897759595,0.0034299867351762687,0.0,1789416524258307250,/odom,0.0043,0.10000013082837089,-3.907269096254785e-05,0.8002,3.155,-1.5701128897759595,-0.06964738301141783,3.907269096254785e-05,-0.0043
0.8001020825904667,3.1569286416485802,-1.5689669170804614,0.006429387316451622,0.0,1789416524284307250,/odom,0.0068,0.17307678646734298,-0.00021745783317481733,0.8002,3.1505,-1.5689669170804614,-0.08805211623866124,0.00021745783317481733,-0.0068
0.8001088098482391,3.154125591278425,-1.567825790758816,0.009326037118520012,0.0,1789416524308307250,/odom,0.0091,0.23749931601579072,-0.000569993010692439,0.8002,3.1448,-1.567825790758816,-0.08893741629345428,0.000569993010692439,-0.0091
0.8001249793635292,3.149558702432494,-1.5666856973942747,0.012658924731995454,0.0,1789416524333307297,/odom,0.0087,0.31599742528221314,-0.0011188196980740004,0.8002,3.1369,-1.5666856973942747,-0.09920732105470698,0.0011188196980740004,-0.0087
0.8001544757036805,3.1436146568866867,-1.5649823693752638,0.016315305901243013,0.0,1789416524358307250,/odom,0.0104,0.38401584317532944,0.002094441839810892,0.8003,3.1273,-1.5649823693752638,-0.12527372792929203,-0.002094441839810892,-0.0104
0.8002035103514437,3.136257395189174,-1.5632808897286687,0.020358343426472473,0.0,1789416524383307309,/odom,0.0121,0.456015455085462,0.0009608294521335621,0.8004,3.1159,-1.5632808897286687,-0.12616580773820557,-0.0009608294521335621,-0.0121
0.800281760842663,3.127055832904738,-1.5613040856960414,0.02445680664752187,0.0,1789416524408307285,/odom,0.014,0.5320152899327097,-0.0005241329987326455,0.8005,3.1026,-1.5613040856960414,-0.12570912486392571,0.0005241329987326455,-0.014
0.8004120451284689,3.1151082465521793,-1.5584801258818484,0.02820971626153969,0.0,1789416524434307308,/odom,0.0175,0.6038935976807099,0.0011075079702084862,0.8007,3.0869,-1.5584801258818484,-0.09110082692890542,-0.0011075079702084862,-0.0175
0.8005938401320659,3.1018624228005987,-1.5556648440394374,0.031065078079436065,0.0,1789416524458307297,/odom,0.0198,0.6709420108166945,0.0032927028072458533,0.801,3.0708,-1.5556648440394374,-0.07981989907897491,-0.0032927028072458533,-0.0198
0.8008514632020034,3.0865449387866333,-1.5522932019199553,0.034447859052110674,0.0,1789416524483307250,/odom,0.0223,0.7480974317308018,-0.0005804482917611357,0.8013,3.0521,-1.5522932019199553,-0.11364050442974027,0.0005804482917611357,-0.0223
0.8011942315333058,3.069800083478499,-1.5483650319915148,0.03810344030150707,0.0,1789416524508307309,/odom,0.025,0.8161546184108651,-0.0007034266858139416,0.8017,3.0317,-1.5483650319915148,-0.11073482397403767,0.0007034266858139416,-0.025
0.8016491931648813,3.05125530223914,-1.544171190895244,0.04176037373657687,0.0,1789416524533307285,/odom,0.0273,0.8883223591173894,0.002213911624151781,0.8023,3.0095,-1.544171190895244,-0.10973306980842601,-0.002213911624151781,-0.0273
0.8022382156764154,3.0308498717652577,-1.5397055527871524,0.04535626951680406,0.0,1789416524558307350,/odom,0.0301,0.9604057061269292,0.0002885493809667986,0.803,2.9855,-1.5397055527871524,-0.10587124612277976,-0.0002885493809667986,-0.0301
0.8029870065704201,3.008569307202651,-1.534697674396231,0.048877834889339195,0.0,1789416524583307297,/odom,0.0325,1.032629066086291,0.0013164668284895262,0.8039,2.9597,-1.534697674396231,-0.10370184477322453,-0.0013164668284895262,-0.0325
0.8039408574498361,2.984048357174869,-1.5291353325810004,0.051959153150424785,0.0,1789416524608307250,/odom,0.0352,1.10487803789459,0.0010542384362558837,0.805,2.9321,-1.5291353325810004,-0.07065313677501273,-0.0010542384362558837,-0.0352
0.8051896659069437,2.9561316820018897,-1.523050078930908,0.054645087491671344,0.0,1789416524634307296,/odom,0.0383,1.178151515110306,0.00119715593208446,0.8064,2.9015,-1.523050078930908,-0.06279423527605643,-0.00119715593208446,-0.0383
0.806593685836873,2.928508381284334,-1.5169752235206193,0.05682339870897432,0.0,1789416524658307285,/odom,0.0407,1.2432390783777343,-0.0006098732492466909,0.8079,2.8717,-1.5169752235206193,-0.053699225458882394,0.0006098732492466909,-0.0407
0.8084236191943477,2.896663342753424,-1.5098163037172947,0.05928172985493172,0.0,1789416524684307250,/odom,0.0436,1.3214728314243953,0.0011133764317410842,0.8099,2.8374,-1.5098163037172947,-0.05733291666363338,-0.0011133764317410842,-0.0436
0.8104374839067062,2.865506791033575,-1.502682017450535,0.06142666718602712,0.0,1789416524708307360,/odom,0.0464,1.3902481913922409,-0.0021792210772444026,0.812,2.8041,-1.502682017450535,-0.052608891552685,0.0021792210772444026,-0.0464
0.8128799797476718,2.8316145666316874,-1.4950262749027257,0.06394047467320907,0.0,1789416524733307330,/odom,0.0487,1.459998538671896,0.0030631560777501536,0.8147,2.7677,-1.4950262749027257,-0.07923848404272249,-0.0030631560777501536,-0.0487
0.8156906982474285,2.7964304391321733,-1.487132999478641,0.06666072841245535,0.0,1789416524758307250,/odom,0.0504,1.5207463901202003,-0.0011036329996541672,0.8177,2.7298,-1.487132999478641,-0.07779289120700539,0.0011036329996541672,-0.0504
0.8190821732954381,2.7579296598345513,-1.4787362747405832,0.06866548597583591,0.0,1789416524784307330,/odom,0.0513,1.5638287409195126,0.0012419808213884247,0.8213,2.6893,-1.4787362747405832,-0.03371827381530501,-0.0012419808213884247,-0.0513
0.8226265680215571,2.721114051519886,-1.4708995046644693,0.06985438403548926,0.0,1789416524808307250,/odom,0.0509,1.5908254785498943,0.0017244849831813322,0.825,2.6513,-1.4708995046644693,-0.03877423750992204,-0.0017244849831813322,-0.0509
0.8266952508253828,2.6821082433403167,-1.4628255444747218,0.07095246818848017,0.0,1789416524833307360,/odom,0.0504,1.6127667666810894,0.0006835846988757758,0.8292,2.6112,-1.4628255444747218,-0.027435131498206644,-0.0006835846988757758,-0.0504
0.8311572203173231,2.6424352692713042,-1.454770918799557,0.07168400161837651,0.0,1789416524858307330,/odom,0.0497,1.62644192863031,0.002236415339330974,0.8338,2.5708,-1.454770918799557,-0.01790715849581237,-0.002236415339330974,-0.0497
0.8359965816201652,2.6022660534133895,-1.4470286470761178,0.07231660215250241,0.0,1789416524883307250,/odom,0.0486,1.6437326181681404,-0.0006097779304877969,0.8387,2.53,-1.4470286470761178,-0.015505716434851324,0.0006097779304877969,-0.0486
0.841204915736907,2.5616809032108123,-1.4392971628405065,0.07293448120650203,0.0,1789416524908307250,/odom,0.048,1.6615798938508217,0.0005063108711191399,0.844,2.4888,-1.4392971628405065,-0.01634959241398648,-0.0005063108711191399,-0.048
0.8467754596215005,2.5207330868151065,-1.431875405589797,0.07359122089613315,0.0,1789416524933307250,/odom,0.0468,1.6795467821862466,0.0016144496976862725,0.8497,2.4472,-1.431875405589797,-0.018759132683225044,-0.0016144496976862725,-0.0468
0.8527188749839594,2.4793449929502067,-1.4244632620337463,0.07410498017918517,0.0,1789416524958307360,/odom,0.0457,1.6930889891475973,-0.0006701677650214975,0.8557,2.4053,-1.4244632620337463,-0.008908533552973052,0.0006701677650214975,-0.0457
0.8585079958142792,2.4409095908546843,-1.4181378816270531,0.07457371936022072,0.0,1789416524981307360,/odom,0.0441,1.710646283515465,0.0017584984133914364,0.8616,2.3664,-1.4181378816270531,-0.014919688277173826,-0.0017584984133914364,-0.0441
0.8656677972056644,2.3954867897371495,-1.4107760006937715,0.07515632460368611,0.0,1789416525008307250,/odom,0.042,1.725029695844226,0.0018006356264102337,0.8689,2.3204,-1.4107760006937715,-0.014525633765586798,-0.0018006356264102337,-0.042
0.8726615684620312,2.3530060919077904,-1.404475870959056,0.07567976122255503,0.0,1789416525033307250,/odom,0.0399,1.7432886537575576,0.0008183398703975221,0.876,2.2774,-1.404475870959056,-0.009601424254832125,-0.0008183398703975221,-0.0399
0.8799905076155152,2.31013657066207,-1.3984722444284932,0.07611297337752478,0.0,1789416525058307250,/odom,0.0378,1.7571112628465433,-9.988909731410735e-05,0.8834,2.2341,-1.3984722444284932,-0.01149302605600111,9.988909731410735e-05,-0.0378
0.8876490152357677,2.2668716546400693,-1.3927215814479383,0.07675384106376625,0.0,1789416525083307360,/odom,0.0352,1.783493957690018,0.0011451305371904814,0.8912,2.1902,-1.3927215814479383,-0.014090450766954143,-0.0011451305371904814,-0.0352
0.895641282922126,2.223117909180818,-1.3875253296574201,0.07720465094200497,0.0,1789416525108307330,/odom,0.0333,1.7974444886237644,0.001031624954705851,0.8993,2.146,-1.3875253296574201,-0.008678794286736347,-0.001031624954705851,-0.0333
0.903925564140936,2.179029519697099,-1.3825954584206044,0.07772122422129286,0.0,1789416525133307250,/odom,0.0306,1.815371173827612,0.0007699803550349979,0.9077,2.1014,-1.3825954584206044,-0.015285849329429224,-0.0007699803550349979,-0.0306
0.9125097382973566,2.134525256627499,-1.3779086276330508,0.07822205481338111,0.0,1789416525158307250,/odom,0.0283,1.8333312221696938,0.0007936106042094632,0.9164,2.0564,-1.3779086276330508,-0.007498623961120332,-0.0007936106042094632,-0.0283
0.9214129521725974,2.0894989530858723,-1.373253227937207,0.07870001255764299,0.0,1789416525183307380,/odom,0.0302,1.8552531332641498,0.00012244500966037474,0.9254,2.0109,-1.373253227937207,-0.00921703084426273,-0.00012244500966037474,-0.0302
0.9305925578135409,2.0441533160459953,-1.3688652036838282,0.07925981656799555,0.0,1789416525208307360,/odom,0.0266,1.8733087071361227,0.0003203477668808413,0.9347,1.965,-1.3688652036838282,-0.018122846831787998,-0.0003203477668808413,-0.0266
