event_index,arrival_monotonic_ns,arrival_epoch_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
43,87790752367902,1789729638735382058,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
44,87790752600339,1789729638735614084,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
61,87790779701799,1789729638762715885,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
62,87790779868973,1789729638762882308,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
79,87790802275589,1789729638785289916,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
80,87790802458824,1789729638785472960,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
99,87790829201018,1789729638812214684,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
100,87790829363724,1789729638812377610,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
115,87790853145575,1789729638836160022,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
121,87790856114175,1789729638839127600,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
134,87790877649864,1789729638860664090,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
135,87790877862614,1789729638860876028,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
155,87790904825734,1789729638887839940,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
159,87790906604146,1789729638889617451,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
176,87790927652269,1789729638910666224,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
177,87790927862925,1789729638910876480,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
197,87790952434931,1789729638935449307,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
202,87790954297381,1789729638937310676,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
218,87790977498580,1789729638960512646,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
219,87790977680482,1789729638960693847,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
239,87791002391459,1789729638985405636,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
245,87791005028356,1789729638988041740,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
261,87791027571598,1789729639010585905,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
262,87791027754031,1789729639010767626,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
283,87791051965389,1789729639034979295,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
289,87791054472391,1789729639037485766,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
305,87791077935062,1789729639060949499,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
311,87791081170473,1789729639064183898,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.003100000089034438}"
327,87791102072902,1789729639085087268,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.003100000089034438}"
328,87791102276174,1789729639085290070,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
349,87791127694701,1789729639110709348,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07280000299215317}"
350,87791127858048,1789729639110871372,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.003000000026077032}"
371,87791152383156,1789729639135397111,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07280000299215317}"
372,87791152572532,1789729639135585926,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.006000000052154064}"
393,87791178491519,1789729639161505745,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.008999999612569809}"
399,87791181540761,1789729639164554366,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07169999927282333}"
415,87791202992632,1789729639186007800,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.012000000104308128}"
421,87791205558675,1789729639188572160,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07169999927282333}"
437,87791227830447,1789729639210844714,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.054499998688697815}"
438,87791228058035,1789729639211071710,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.014999999664723873}"
459,87791252608641,1789729639235622737,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.05389999970793724}"
460,87791252800441,1789729639235813856,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.017999999225139618}"
481,87791278181818,1789729639261196896,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.020999999716877937}"
487,87791280938680,1789729639263951924,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.05389999970793724}"
503,87791303519543,1789729639286534581,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.024000000208616257}"
509,87791306074205,1789729639289087560,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.05389999970793724}"
525,87791328318426,1789729639311332552,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.027000000700354576}"
