record_type,name,speed_mps,value,value_2,samples
coefficient,c0,,0.756175280,,15560
coefficient,c1,,5.665264668,,15560
coefficient,c2,,-0.211530966,,15560
coefficient,c3,,-0.079300736,,15560
operating_point,,0.000000,0.000000,0.176514,15560
operating_point,,2.000000,0.000000,0.181598,15560
operating_point,,4.000000,0.016819,0.186984,15560
operating_point,,6.000000,0.098856,0.192698,15560
operating_point,,8.000000,0.186066,0.198773,15560
operating_point,,10.000000,0.278954,0.205244,15560
operating_point,,12.000000,0.378092,0.212150,15560
operating_point,,14.000000,0.484134,0.219536,15560
operating_point,,16.000000,0.597827,0.227456,15560
operating_point,,18.000000,0.720030,0.235969,15560
operating_point,,20.000000,0.851736,0.245143,15560
operating_point,,23.000000,1.000000,0.260325,15560
