speed_mps,observed_full_throttle_acceleration_mps2,monotonic_acceleration_limit_mps2,samples
0.000000,4.698344,4.698344,6
2.000000,4.388698,4.553168,15
4.000000,4.676521,4.553168,20
6.000000,3.064514,3.130555,21
8.000000,3.183895,3.130555,26
10.000000,2.256835,2.256835,29
12.000000,1.794115,1.794115,38
14.000000,1.452877,1.452877,53
16.000000,0.900065,0.900065,80
18.000000,0.373920,0.499340,195
20.000000,0.406136,0.499340,109
22.000000,1.615995,0.499340,31
23.000000,0.021294,0.021294,121
