throttle,speed_bin_mps,acceleration_mps2,acceleration_std_mps2,samples
0.0,0.0,0.0,0.0,77
0.01,0.0,0.0,0.4490780377992875,108
0.02,0.0,2.9607145123573675,1.248136999057869,6
0.02,0.5,0.0,0.33581899411482913,70
0.03,0.0,3.4375728745155936,1.2872330861870007,4
0.03,0.5,0.0,0.7957638819325348,87
0.04,0.0,3.2056494223003105,0.6103430741734714,4
0.04,0.5,3.8698858603712614,0.8746152757837388,5
0.04,1.0,0.0,0.04165410126617949,117
0.05,0.0,2.8909587080622097,0.998541117527769,5
0.05,0.5,2.5880446274891873,0.0,1
0.05,1.0,0.0,1.184593869246068,123
0.06,0.0,1.8246568662424705,1.3843176920572156,5
0.06,0.5,5.250706575707475,0.8673118845566247,5
0.06,1.0,0.0,1.1375379204780636,66
0.06,1.5,0.06911960442879447,0.08407240436206746,8
0.07,0.0,2.1799952324209713,1.3942328564834727,4
0.07,0.5,4.370519474209244,1.0077521850243658,5
0.07,1.0,3.362482762150368,0.0,1
0.07,1.5,0.0,1.4959179210891358,67
0.08,0.0,2.7486712011633245,0.6317199663341992,5
0.08,0.5,3.322754784020567,0.0,1
0.08,1.0,4.388914574097855,1.6587032262701942,5
0.08,1.5,0.0,1.302111470464466,102
0.09,0.0,2.262720402995128,0.3229615787280841,3
0.09,0.5,4.064733802562767,1.1105593538951497,4
0.09,1.0,5.406229943280083,0.8833250007985604,3
0.09,1.5,4.515021886381552,1.0626893116890195,4
0.09,2.0,0.0,0.9298302252479327,76
0.1,0.0,3.581942721764415,0.0,1
0.1,0.5,5.09344630883582,1.0500674086972084,5
0.1,1.0,3.7651364908212814,0.5751779690533668,4
0.1,1.5,5.468698996269608,0.0,1
0.1,2.0,0.0,0.9436083987514228,221
0.11,0.0,3.542734055807385,0.0,1
0.11,0.5,4.549643351931914,0.6395876936500515,5
0.11,1.0,5.321090094807322,0.4149289189556488,3
0.11,1.5,4.765171077516332,0.7104545070019431,5
0.11,2.0,4.823143111117881,1.3312092452426287,4
0.11,2.5,0.0,0.6880298813039316,84
0.12,0.0,2.334340209794631,0.5534182158938483,3
0.12,0.5,6.328452261195484,1.0622603756365256,3
0.12,1.0,4.332012305140839,1.0917870555460492,5
0.12,1.5,4.703732709998684,0.8267043365787227,5
