record_type,parameter,value,speed_bin_mps,median_body_speed_mps,median_deceleration_mps2,samples
fit,intercept_mps2,8.553423086,,,,
fit,speed_gain_per_s,0.790840051,,,,
fit,max_deceleration_p95_mps2,200.089600000,,,,
fit,fit_rmse_mps2,1.332169871,,,,
fit,samples,3109.000000000,,,,
fit,bins,12.000000000,,,,
speed_bin,,,0.000000000,1.351250000,10.147483393,434
speed_bin,,,2.000000000,2.954600000,11.449436343,590
speed_bin,,,4.000000000,4.966300000,13.534281966,495
speed_bin,,,6.000000000,6.963300000,13.805571555,421
speed_bin,,,8.000000000,8.971200000,14.817822101,337
speed_bin,,,10.000000000,10.914500000,16.785702961,268
speed_bin,,,12.000000000,12.905700000,18.909228888,211
speed_bin,,,14.000000000,15.019200000,18.675451725,155
speed_bin,,,16.000000000,16.923600000,20.904776312,108
speed_bin,,,18.000000000,18.856450000,22.700791525,62
speed_bin,,,20.000000000,20.775500000,24.106309372,26
speed_bin,,,22.000000000,22.207200000,29.743139628,2
