event_index,arrival_monotonic_ns,arrival_epoch_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
2018,95818681685088,1789737666664698473,/current_map_pose,PoseWithCovarianceStamped,1789737666659428518,,"{""covariance_6x6"":[0.010188327792400007,-0.00021433763322420418,0.0,0.0,0.0,-3.803230811172398e-06,-0.00021433763322420418,0.010188327792400007,0.0,0.0,0.0,4.820968024432659e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.803230811172398e-06,4.820968024432659e-05,0.0,0.0,0.0,0.00010000047619963126],""covariance_xx_m2"":0.010188327792400007,""covariance_yawyaw_rad2"":0.00010000047619963126,""covariance_yy_m2"":0.010188327792400007,""x_m"":0.8006,""y_m"":3.1583,""yaw_rad"":-1.570720829686875}"
2023,95818684446999,1789737666667460524,/amcl_pose,PoseWithCovarianceStamped,1789737666659428518,,"{""covariance_6x6"":[0.0001,-0.0002122543955920264,0.0,0.0,0.0,-3.72959470951173e-06,-0.0002122543955920264,0.0034101391211152077,0.0,0.0,0.0,4.77276262245141e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.72959470951173e-06,4.77276262245141e-05,0.0,0.0,0.0,0.0001],""covariance_xx_m2"":0.0001,""covariance_yawyaw_rad2"":0.0001,""covariance_yy_m2"":0.0034101391211152077,""x_m"":0.8006,""y_m"":3.1583,""yaw_rad"":-1.570720829686875}"
2036,95818705369400,1789737666688382955,/odom,Odometry,1789737666684314870,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":7.549710802146059e-05,""yaw_rate_radps"":0.0}"
2038,95818706681887,1789737666689695863,/ekf_odom,Odometry,1789737666684314870,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":7.549710802146062e-05,""yaw_rate_radps"":0.0}"
2039,95818707023810,1789737666690037575,/current_map_pose,PoseWithCovarianceStamped,1789737666684314870,,"{""covariance_6x6"":[0.010195793698000007,-0.0002122543955920264,0.0,0.0,0.0,-3.72959470951173e-06,-0.0002122543955920264,0.010195793698000007,0.0,0.0,0.0,4.77276262245141e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.72959470951173e-06,4.77276262245141e-05,0.0,0.0,0.0,0.00010000047619963126],""covariance_xx_m2"":0.010195793698000007,""covariance_yawyaw_rad2"":0.00010000047619963126,""covariance_yy_m2"":0.010195793698000007,""x_m"":0.8006,""y_m"":3.1583,""yaw_rad"":-1.570720829686875}"
2042,95818708647491,1789737666691660916,/amcl_pose,PoseWithCovarianceStamped,1789737666684314870,,"{""covariance_6x6"":[0.0001,-0.00021016467185590602,0.0,0.0,0.0,-3.6632718727993316e-06,-0.00021016467185590602,0.003374972909692179,0.0,0.0,0.0,4.723754846825618e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6632718727993316e-06,4.723754846825618e-05,0.0,0.0,0.0,0.0001],""covariance_xx_m2"":0.0001,""covariance_yawyaw_rad2"":0.0001,""covariance_yy_m2"":0.003374972909692179,""x_m"":0.8006,""y_m"":3.1583,""yaw_rad"":-1.570720829686875}"
2056,95818730475144,1789737666713488549,/odom,Odometry,1789737666709570405,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":7.549710802146059e-05,""yaw_rate_radps"":0.0}"
2057,95818730791559,1789737666713804953,/ekf_odom,Odometry,1789737666709570405,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":7.549710802146062e-05,""yaw_rate_radps"":0.0}"
2059,95818732025418,1789737666715039093,/current_map_pose,PoseWithCovarianceStamped,1789737666709570405,,"{""covariance_6x6"":[0.010203370358500007,-0.00021016467185590602,0.0,0.0,0.0,-3.6632718727993316e-06,-0.00021016467185590602,0.010203370358500007,0.0,0.0,0.0,4.723754846825618e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6632718727993316e-06,4.723754846825618e-05,0.0,0.0,0.0,0.00010000047619963126],""covariance_xx_m2"":0.010203370358500007,""covariance_yawyaw_rad2"":0.00010000047619963126,""covariance_yy_m2"":0.010203370358500007,""x_m"":0.8006,""y_m"":3.1583,""yaw_rad"":-1.570720829686875}"
2065,95818734641224,1789737666717654658,/amcl_pose,PoseWithCovarianceStamped,1789737666709570405,,"{""covariance_6x6"":[0.0001,-0.00020806346285890485,0.0,0.0,0.0,-3.603713164606332e-06,-0.00020806346285890485,0.0033392420248845784,0.0,0.0,0.0,4.6750779685937054e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.603713164606332e-06,4.6750779685937054e-05,0.0,0.0,0.0,0.0001],""covariance_xx_m2"":0.0001,""covariance_yawyaw_rad2"":0.0001,""covariance_yy_m2"":0.0033392420248845784,""x_m"":0.8006,""y_m"":3.1583,""yaw_rad"":-1.570720829686875}"
