scan_index,scan_stamp_s,gt_x_m,gt_y_m,gt_yaw_rad,seed_x_m,seed_y_m,seed_yaw_rad,match_x_m,match_y_m,match_yaw_rad,seed_error_m,match_error_m,seed_yaw_error_rad,match_yaw_error_rad,match_score,score_margin,gt_score,seed_score,valid_beams
0,1788990962.2874486,0.8006,3.1583,-1.5708,0.8006,3.1583,-1.5708,0.8006,3.0833,-1.5708,0.0,0.07500000000000018,0.0,0.0,0.9836666666666666,0.0,0.9818653156302255,0.9818653156302255,60
50,1788990964.8128703,1.1516707134835142,0.9774791833958081,-1.3692904451554013,1.163510106786582,0.9741689360706189,-1.3692904451554013,1.1385101067865822,1.049168936070619,-1.3692904451554013,0.012293452368584225,0.07288773701526806,0.0,0.0,0.9512024753708237,0.0005767360063492211,0.9482979734453383,0.8630286047057893,60
100,1788990967.315488,1.3045560469261994,-2.6435298865760033,-1.674798799743851,1.3209047228461581,-2.7494504498851793,-1.674798799743851,1.2959047228461582,-2.7244504498851794,-1.674798799743851,0.1071748335014755,0.08138171154880115,0.0,0.0,0.9981986489635588,0.0,0.9871861220176805,0.9391579144605369,60
150,1788990969.9903162,0.6464227844964311,-6.578190876913486,-1.7938546680274534,0.6615020251928548,-6.6944236501349055,-1.7938546680274534,0.6365020251928548,-6.644423650134906,-1.7938546680274534,0.11720683030746376,0.06697164858176552,0.0,0.0,0.9945959468906764,0.001801351036441079,0.9721292079566299,0.9073043530432925,60
200,1788990972.8380623,-0.9887816228380887,-10.026093942000115,-2.7651786211958296,-1.0733132325923918,-10.304850482744591,-2.7651786211958296,-1.0483132325923918,-10.054850482744591,-2.81517862119583,0.2912916099984355,0.06611316960732838,0.0,0.050000000000000266,0.9918939203360148,0.008909409215511088,0.826026519251046,0.12851665659908867,60
250,1788990975.7159846,-3.1469258748294107,-7.398865994600646,1.6476336991208005,-3.4033859759522986,-7.520029717404908,1.6476336991208005,-3.1533859759522986,-7.370029717404908,1.6476336991208005,0.2836413777849592,0.029551037021184275,0.0,0.0,0.9762736436619529,0.0032772121799504728,0.9685535949232107,0.12378210857877169,60
300,1788990978.6128168,-2.410981490913691,-3.2766096168649166,1.2916025621010958,-2.6546898469030022,-3.303975795145032,1.2916025621010958,-2.3796898469030023,-3.178975795145032,1.2916025621010958,0.24524002628582448,0.10252575348916922,0.0,0.0,1.0,0.00360270207288238,0.9793818090476213,0.2404685070512593,60
350,1788990981.5146632,-1.39683272049283,0.9196302680146231,1.4097986350507778,-1.6273587953898827,0.9458203180229356,1.4097986350507778,-1.3773587953898827,0.9458203180229358,1.4097986350507778,0.23200902983909807,0.032636673824903095,0.0,0.0,0.9882912182631325,0.00180135103644119,0.981134487100715,0.32768115484976607,60
400,1788990984.3166645,-2.3680623670654666,3.7931878511541,-3.0617464219088815,-2.6646887616708543,3.9186345079641858,-3.061746421908882,-2.4146887616708543,3.768634507964186,-3.0117464219088816,0.3220622326219245,0.052696179517105826,4.440892098500626e-16,0.04999999999999982,0.9797121408191312,0.006683733382401136,0.6103500656429067,0.5430581807519208,60
450,1788990987.1408768,-3.4925529977648706,0.5776545094719991,-1.8706623128589843,-3.868039486230872,0.5603209292597116,-1.8706623128589843,-3.518039486230872,0.5603209292597116,-1.8706623128589843,0.37588636051804863,0.03082229870245609,0.0,0.0,0.9762450785843693,0.003554029089534949,0.9387676841439286,0.13935671820196183,60
500,1788990989.9673507,-5.866541593337018,0.7700952486448078,1.8477624241818058,-6.391822452292463,0.8273074490638789,1.8477624241818058,-5.866822452292463,0.7523074490638788,1.8477624241818058,0.5283873736774584,0.0177900167420987,0.0,0.0,0.9650341395721969,0.00028165878816233114,0.9665538318204756,0.022322378708655607,60
550,1788990992.7918084,-6.007499792649789,4.848803612336248,1.3472773180131574,-6.54370360426868,5.016324686287446,1.3472773180131574,-5.99370360426868,4.866324686287446,1.3472773180131574,0.5617631509919379,0.022300736450852638,0.0,0.0,0.995496622408897,0.007156731162417218,0.9774831120444856,0.07211300880115455,60
600,1788990995.617432,-3.558236760842137,7.598758415786731,0.11469297146432833,-3.9268419900987697,7.944745869607183,0.11469297146432855,-3.50184199009877,7.594745869607182,0.08969297146432854,0.505546371005167,0.05653733893667027,2.220446049250313e-16,0.024999999999999786,0.9963972979271176,0.008106079663985133,0.9722250778852041,0.07482947683380775,60
