bag_time,time,status,level,closest_point_dist_m,command_speed_mps,command_steering_rad,drivable_gap_count,emergency_stop,forward_clearance_m,gap_0_deepest_angle,gap_0_end_angle,gap_0_max_clearance,gap_0_mean_clearance,gap_0_mean_clipped_clearance,gap_0_score,gap_0_start_angle,gap_0_weighted_center,gap_0_width,gap_1_deepest_angle,gap_1_end_angle,gap_1_max_clearance,gap_1_mean_clearance,gap_1_mean_clipped_clearance,gap_1_score,gap_1_start_angle,gap_1_weighted_center,gap_1_width,no_path,rate_limited_steering,raw_steering,raw_target_angle,selected_gap_deepest_angle,selected_gap_end_angle,selected_gap_max_clearance,selected_gap_mean_clearance,selected_gap_mean_clipped_clearance,selected_gap_score,selected_gap_start_angle,selected_gap_weighted_center,selected_gap_width,smoothed_target_angle,source_stamp_s,trajectory_collision_free,trajectory_free_distance_m,trajectory_min_clearance_m
1788893915.8131127,1788893915.8129742,gap_selected,b'\x00',0.667987,0.260000,-0.174533,2.000000,0.000000,1.500000,-0.030539,-0.030539,7.887078,2.020804,1.340316,2.051603,-1.444255,-0.639049,1.413717,0.178901,1.361361,8.704715,1.757721,1.093760,1.250700,0.178901,0.604357,1.182461,0.000000,-0.174533,-0.174533,-0.334794,-0.030539,-0.030539,7.887078,2.020804,1.340316,2.051603,-1.444255,-0.639049,1.413717,-0.334794,1788893915.752481,0.000000,1.500000,0.000000
1788893915.885649,1788893915.8855124,gap_selected,b'\x00',0.674812,0.274000,-0.139627,2.000000,0.000000,1.500000,-0.021812,-0.021812,7.817896,2.001262,1.334872,2.054916,-1.444255,-0.632133,1.422443,0.187627,1.365725,8.739487,1.782777,1.102331,1.258418,0.187627,0.614222,1.178097,0.000000,-0.139627,-0.139627,-0.326973,-0.021812,-0.021812,7.817896,2.001262,1.334872,2.054916,-1.444255,-0.632133,1.422443,-0.326973,1788893915.821467,1.000000,1.500000,0.063487
1788893915.938268,1788893915.9381235,gap_selected,b'\x00',0.679458,0.274000,-0.139627,2.000000,0.000000,1.500000,-0.017449,-0.017449,7.711761,1.982435,1.331030,2.053998,-1.444255,-0.628350,1.426807,0.196354,1.365725,8.672700,1.784175,1.108197,1.257025,0.196354,0.621841,1.169371,0.000000,-0.139627,-0.139627,-0.322899,-0.017449,-0.017449,7.711761,1.982435,1.331030,2.053998,-1.444255,-0.628350,1.426807,-0.322899,1788893915.875652,1.000000,1.500000,0.051716
1788893916.0103772,1788893916.0102403,gap_selected,b'\x00',0.686570,0.274000,-0.139627,2.000000,0.000000,1.500000,-0.004359,-0.004359,7.822775,1.980925,1.325943,2.065632,-1.444255,-0.618856,1.439897,0.205081,1.370088,8.708330,1.810296,1.116951,1.264849,0.205081,0.631710,1.165007,0.000000,-0.139627,-0.139627,-0.311607,-0.004359,-0.004359,7.822775,1.980925,1.325943,2.065632,-1.444255,-0.618856,1.439897,-0.311607,1788893915.945708,1.000000,1.500000,0.034079
1788893916.0593455,1788893916.0590303,gap_selected,b'\x00',0.691403,0.274000,-0.139627,2.000000,0.000000,1.500000,0.000005,0.000005,7.714945,1.961821,1.321921,2.064162,-1.444255,-0.615025,1.444260,0.209444,1.374451,8.774323,1.833801,1.122753,1.273385,0.209444,0.637796,1.165007,0.000000,-0.139627,-0.139627,-0.307510,0.000005,0.000005,7.714945,1.961821,1.321921,2.064162,-1.444255,-0.615025,1.444260,-0.307510,1788893915.999424,1.000000,1.500000,0.022212
1788893916.1129673,1788893916.1128008,gap_selected,b'\x00',0.696313,0.274000,-0.139627,2.000000,0.000000,1.500000,0.008731,0.008731,7.788145,1.960404,1.318409,2.071487,-1.444255,-0.608658,1.452987,0.218171,1.374451,8.711325,1.836869,1.128805,1.272001,0.218171,0.645403,1.156281,0.000000,-0.139627,-0.139627,-0.299963,0.008731,0.008731,7.788145,1.960404,1.318409,2.071487,-1.444255,-0.608658,1.452987,-0.299963,1788893916.051088,1.000000,1.500000,0.010618
1788893916.1832716,1788893916.1830907,gap_selected,b'\x00',0.703817,0.274000,-0.139627,2.000000,0.000000,1.500000,0.017458,0.017458,7.715596,1.943302,1.313130,2.068836,-1.439892,-0.600000,1.457350,0.226897,1.378815,8.745357,1.863802,1.137763,1.279930,0.226897,0.655291,1.151917,0.000000,-0.139627,-0.139627,-0.291271,0.017458,0.017458,7.715596,1.943302,1.313130,2.068836,-1.439892,-0.600000,1.457350,-0.291271,1788893916.121406,0.000000,1.500000,0.000000
1788893916.237142,1788893916.236981,gap_selected,b'\x00',0.708913,0.274000,-0.139627,2.000000,0.000000,1.500000,0.026184,0.026184,7.788154,1.941395,1.309476,2.075675,-1.439892,-0.593623,1.466077,0.235624,1.378815,8.683671,1.866854,1.143929,1.278486,0.235624,0.662877,1.143191,0.000000,-0.139627,-0.139627,-0.283719,0.026184,0.026184,7.788154,1.941395,1.309476,2.075675,-1.439892,-0.593623,1.466077,-0.283719,1788893916.174976,0.000000,1.500000,0.000000
1788893916.3061504,1788893916.3059516,gap_selected,b'\x00',0.716697,0.274000,-0.139627,2.000000,0.000000,1.500000,0.034911,0.034911,7.713294,1.921683,1.303384,2.076750,-1.439892,-0.586575,1.474803,0.244351,1.383178,8.718659,1.894618,1.152936,1.286281,0.244351,0.672764,1.138827,0.000000,-0.139627,-0.139627,-0.275832,0.034911,0.034911,7.713294,1.921683,1.303384,2.076750,-1.439892,-0.586575,1.474803,-0.275832,1788893916.246060,0.000000,1.500000,0.000000
1788893916.361082,1788893916.3609517,gap_selected,b'\x00',0.722290,0.288000,-0.104720,2.000000,0.000000,1.500000,0.043638,0.043638,7.766387,1.917150,1.299307,2.082407,-1.439892,-0.580100,1.483530,0.253077,1.383178,8.670288,1.901630,1.159738,1.285624,0.253077,0.680459,1.130101,0.000000,-0.104720,-0.104720,-0.268231,0.043638,0.043638,7.766387,1.917150,1.299307,2.082407,-1.439892,-0.580100,1.483530,-0.268231,1788893916.298090,1.000000,1.500000,0.089016
