metric,bin,samples,relative_samples,absolute_error_median,absolute_error_p95,absolute_error_max,relative_error_median_pct,relative_error_p95_pct,relative_error_max_pct,reference_median,reference_max
odom_speed_vs_truth,0-1_mps,988,0,0.0,0.0,0.13453271949125262,nan,nan,nan,nan,nan
odom_speed_vs_truth,1-3_mps,9,9,0.1206363536997459,0.6808790747013145,0.6808790747013145,4.744925577889956,24.37107433249748,24.37107433249748,2.6067,2.9839
odom_speed_vs_truth,3-5_mps,128,128,0.9038765808705171,1.984584309774771,2.808692503110242,20.78157077872752,40.68521924956992,57.06984665468337,4.3437,4.991
odom_speed_vs_truth,5-10_mps,253,253,2.7536084890660644,3.8743860263074,4.277038231706374,44.51752794323984,56.78445806069103,63.34441789170658,6.013,8.0382
odom_position_vs_truth,distance_ge_1m,385,385,16.649030929704693,59.00597665868696,64.68183992290173,22.58445970528993,35.740056729155434,40.85328144007541,75.1577000111982,175.70670004249504
odom_position_vs_truth,distance_ge_5m,370,370,17.998584265832356,59.01701959119119,64.68183992290173,22.76326486693197,35.740056729155434,36.81239241716923,78.9784500111982,175.70670004249504
odom_position_vs_truth,distance_ge_10m,354,354,19.49785395985448,59.01701959119119,64.68183992290173,23.60509724290512,35.740056729155434,36.81239241716923,82.59905001119822,175.70670004249504
odom_position_vs_truth,distance_ge_50m,256,256,32.042492564679925,60.663709098661904,64.68183992290173,29.34347009759705,36.00596307235971,36.81239241716923,109.03555001119821,175.70670004249504
odom_position_vs_truth,distance_ge_100m,145,145,44.84749014606756,62.45507348887585,64.68183992290173,32.76246708293848,36.40682648231643,36.81239241716923,136.83970002039277,175.70670004249504
odom_position_endpoint,epoch_1,1,1,0.15260327650479855,0.15260327650479855,0.15260327650479855,16955.919611644375,16955.919611644375,16955.919611644375,0.0008999999999999952,0.0008999999999999952
odom_position_endpoint,epoch_2,1,1,64.68183992290173,64.68183992290173,64.68183992290173,36.81239241716923,36.81239241716923,36.81239241716923,175.70670004249504,175.70670004249504
speed_target_vs_truth,speed_4.00,159,159,2.3099,3.346,4.0382,57.747499999999995,83.65,100.955,4.0,4.0
