bag_time,time,speed,steering
1788880173.0302775,1788880173.0302103,0.2849999964237213,0.07999999821186066
1788880173.1183481,1788880173.1183128,0.2849999964237213,0.3627670705318451
1788880173.179082,1788880173.1790454,0.2849999964237213,0.5235999822616577
1788880173.2271242,1788880173.2270887,0.2849999964237213,0.5235999822616577
1788880173.2751782,1788880173.275142,0.2849999964237213,0.5235999822616577
1788880173.3253791,1788880173.3253446,0.2849999964237213,0.5235999822616577
1788880173.3752327,1788880173.3751693,0.2849999964237213,0.5235999822616577
1788880173.4266527,1788880173.4266074,0.2849999964237213,0.5235999822616577
1788880173.4779634,1788880173.4779067,0.2849999964237213,0.5235999822616577
1788880173.524789,1788880173.524717,0.2849999964237213,0.5235999822616577
1788880173.5750248,1788880173.574984,0.2849999964237213,0.4909844994544983
1788880173.6250265,1788880173.6249852,0.2849999964237213,0.4224126935005188
1788880173.6760302,1788880173.6759984,0.2955264151096344,0.35427191853523254
1788880173.7257166,1788880173.725689,0.356094628572464,0.2837974727153778
1788880173.7753005,1788880173.775277,0.4201871454715729,0.2092222422361374
1788880173.825884,1788880173.8258567,0.45379042625427246,0.17012296617031097
1788880173.8766863,1788880173.876651,0.5038781762123108,0.11184307932853699
1788880173.9248683,1788880173.924834,0.5416544675827026,0.0678882896900177
1788880173.976997,1788880173.9769182,0.579947292804718,0.023332441225647926
1788880174.0252764,1788880174.0252278,0.5950035452842712,-0.005813658237457275
1788880174.075358,1788880174.0753274,0.5657849311828613,-0.0398111566901207
1788880174.1255577,1788880174.1255124,0.5482456088066101,-0.06021912023425102
1788880174.1753104,1788880174.175282,0.5282022953033447,-0.08354061841964722
1788880174.2254748,1788880174.2254372,0.5555877089500427,-0.05167613551020622
1788880174.2756386,1788880174.2755876,0.5324956178665161,-0.07854509353637695
1788880174.325459,1788880174.325409,0.5721432566642761,-0.03241289034485817
1788880174.3750882,1788880174.375051,0.5831926465034485,-0.01955627091228962
1788880174.427384,1788880174.427344,0.5919200778007507,-0.009401416406035423
1788880174.4760103,1788880174.475971,0.5671833753585815,-0.038183990865945816
1788880174.5256093,1788880174.525511,0.5597781538963318,-0.04680032655596733
1788880174.5770454,1788880174.576999,0.5558151602745056,-0.051411520689725876
1788880174.6263857,1788880174.6263473,0.5850463509559631,-0.017399407923221588
1788880174.6753666,1788880174.675307,0.5634651184082031,-0.042510345578193665
1788880174.7270966,1788880174.7270632,0.57090824842453,-0.03384986147284508
1788880174.775379,1788880174.7753403,0.5667167901992798,-0.03872686251997948
1788880174.8259885,1788880174.825955,0.5608132481575012,-0.04559599235653877
1788880174.8764153,1788880174.8763688,0.5715091824531555,-0.03315063565969467
1788880174.9252925,1788880174.9252574,0.5672581791877747,-0.038096942007541656
1788880174.9761078,1788880174.97607,0.5768177509307861,-0.026973843574523926
1788880175.02596,1788880175.0259073,0.5719415545463562,-0.03264756500720978
1788880175.0755203,1788880175.0754726,0.5664081573486328,-0.0390859954059124
1788880175.1261604,1788880175.1261246,0.5774289965629578,-0.026262642815709114
1788880175.177738,1788880175.1776648,0.574289083480835,-0.02991609461605549
1788880175.2250726,1788880175.2250433,0.5684597492218018,-0.036698851734399796
1788880175.2758892,1788880175.2758596,0.5802289843559265,-0.023004652932286263
1788880175.3260791,1788880175.3260336,0.577523946762085,-0.026152126491069794
1788880175.3763237,1788880175.3762836,0.5715599060058594,-0.033091627061367035
1788880175.4259682,1788880175.4259295,0.5843760967254639,-0.01817925088107586
1788880175.4751334,1788880175.4750736,0.5817707180976868,-0.021210748702287674
1788880175.5263832,1788880175.5263486,0.5768029689788818,-0.026991013437509537
1788880175.5752301,1788880175.575196,0.5732889175415039,-0.031079819425940514
1788880175.6254203,1788880175.625374,0.5700015425682068,-0.034904845058918
1788880175.675839,1788880175.6757958,0.566490113735199,-0.038990624248981476
1788880175.7242084,1788880175.7241757,0.5785423517227173,-0.024967173114418983
1788880175.7754226,1788880175.7753863,0.5761420726776123,-0.027760015800595284
1788880175.8252373,1788880175.825186,0.5876485109329224,-0.014371671713888645
1788880175.8754299,1788880175.8753862,0.5855787992477417,-0.01677984558045864
1788880175.9254618,1788880175.9254286,0.581786036491394,-0.021192988380789757
1788880175.9752204,1788880175.9751701,0.5784721970558167,-0.02504878304898739
1788880176.0261986,1788880176.026165,0.5762327909469604,-0.02765447087585926
1788880176.0762632,1788880176.0762339,0.5736005306243896,-0.03071722574532032
1788880176.1255763,1788880176.1255276,0.5706245303153992,-0.034179966896772385
1788880176.1760507,1788880176.176017,0.5838498473167419,-0.018791623413562775
1788880176.2254102,1788880176.225359,0.5815894603729248,-0.021421687677502632
1788880176.2751687,1788880176.2751224,0.5768981575965881,-0.026880305260419846
1788880176.3249555,1788880176.324899,0.5905383825302124,-0.0110090933740139
1788880176.3764396,1788880176.3763943,0.5891892313957214,-0.012578907422721386
1788880176.4251733,1788880176.4251304,0.5860716700553894,-0.016206352040171623
1788880176.4759967,1788880176.4759476,0.5836490392684937,-0.019025243818759918
1788880176.526455,1788880176.5264049,0.5818605422973633,-0.021106243133544922
1788880176.5753293,1788880176.5752954,0.5791432857513428,-0.024267956614494324
1788880176.6249423,1788880176.6248958,0.5766247510910034,-0.027198398485779762
1788880176.6762984,1788880176.6762528,0.5736305117607117,-0.03068239614367485
1788880176.7260854,1788880176.7260547,0.5702104568481445,-0.03466176986694336
1788880176.7756505,1788880176.7755713,0.5661903619766235,-0.039339397102594376
1788880176.825195,1788880176.825159,0.5792698860168457,-0.024120669811964035
1788880176.8761,1788880176.876052,0.5768470168113708,-0.026939768344163895
1788880176.9252663,1788880176.9252427,0.5886522531509399,-0.013203713111579418
1788880176.9753456,1788880176.9752967,0.5863596200942993,-0.015871310606598854
1788880177.0265589,1788880177.0265105,0.5824598670005798,-0.020408913493156433
1788880177.0760076,1788880177.07593,0.5794727206230164,-0.02388460747897625
1788880177.126107,1788880177.1260743,0.5773019790649414,-0.026410413905978203
1788880177.1750352,1788880177.175,0.5748279690742493,-0.029289061203598976
1788880177.22557,1788880177.2255168,0.5713468790054321,-0.03333951160311699
1788880177.275122,1788880177.2750719,0.5847868919372559,-0.017701318487524986
1788880177.3255167,1788880177.325478,0.5826355218887329,-0.020204506814479828
1788880177.3761058,1788880177.37606,0.5780714154243469,-0.025515109300613403
1788880177.4260888,1788880177.4260466,0.5912391543388367,-0.01019375305622816
1788880177.4753592,1788880177.4753048,0.5901475548744202,-0.011463879607617855
1788880177.5263147,1788880177.5262692,0.5866035223007202,-0.015587562695145607
1788880177.576323,1788880177.5762835,0.5842646360397339,-0.018308937549591064
1788880177.6256382,1788880177.6255963,0.582462728023529,-0.020405566319823265
1788880177.6755822,1788880177.6755402,0.5802471041679382,-0.022983603179454803
1788880177.7256916,1788880177.7256505,0.5777808427810669,-0.025853231549263
1788880177.77407,1788880177.7740371,0.575329065322876,-0.028706014156341553
1788880177.824977,1788880177.8249357,0.57294762134552,-0.03147692605853081
1788880177.8757205,1788880177.8756967,0.5858094096183777,-0.01651151478290558
1788880177.9238384,1788880177.9238005,0.584277331829071,-0.018294192850589752
1788880177.9751775,1788880177.9751377,0.5809426307678223,-0.022174304351210594
1788880178.0254514,1788880178.0254223,0.5783260464668274,-0.02521887607872486
