bag_time,time,count
1788880173.0297077,1788880173.0297077,0
1788880173.1180665,1788880173.1180665,0
1788880173.1788545,1788880173.1788545,0
1788880173.2268906,1788880173.2268906,0
1788880173.275,1788880173.275,0
1788880173.3251903,1788880173.3251903,0
1788880173.3748167,1788880173.3748167,0
1788880173.4266927,1788880173.4266927,0
1788880173.4776149,1788880173.4776149,0
1788880173.5244303,1788880173.5244303,0
1788880173.574778,1788880173.574778,0
1788880173.6248033,1788880173.6248033,0
1788880173.6758382,1788880173.6758382,0
1788880173.7255273,1788880173.7255273,0
1788880173.7750921,1788880173.7750921,0
1788880173.8257213,1788880173.8257213,0
1788880173.8765004,1788880173.8765004,0
1788880173.924677,1788880173.924677,0
1788880173.976508,1788880173.976508,0
1788880174.0250137,1788880174.0250137,0
1788880174.075157,1788880174.075157,0
1788880174.1252954,1788880174.1252954,0
1788880174.1750324,1788880174.1750324,0
1788880174.2252727,1788880174.2252727,0
1788880174.2754207,1788880174.2754207,0
1788880174.3252382,1788880174.3252382,0
1788880174.3748958,1788880174.3748958,0
1788880174.427155,1788880174.427155,0
1788880174.4758022,1788880174.4758022,0
1788880174.5253184,1788880174.5253184,0
1788880174.57684,1788880174.57684,0
1788880174.626143,1788880174.626143,0
1788880174.675091,1788880174.675091,0
1788880174.7269168,1788880174.7269168,0
1788880174.7752395,1788880174.7752395,0
1788880174.8257985,1788880174.8257985,0
1788880174.8762145,1788880174.8762145,0
1788880174.9250371,1788880174.9250371,0
1788880174.9758954,1788880174.9758954,0
1788880175.0257542,1788880175.0257542,0
1788880175.0746655,1788880175.0746655,0
1788880175.125939,1788880175.125939,0
1788880175.1770353,1788880175.1770353,0
1788880175.2248144,1788880175.2248144,0
1788880175.275789,1788880175.275789,0
1788880175.3258653,1788880175.3258653,0
1788880175.37605,1788880175.37605,0
1788880175.425675,1788880175.425675,0
1788880175.474887,1788880175.474887,0
1788880175.526222,1788880175.526222,0
1788880175.5751007,1788880175.5751007,0
1788880175.6252303,1788880175.6252303,0
1788880175.6755915,1788880175.6755915,0
1788880175.7239738,1788880175.7239738,0
1788880175.7751591,1788880175.7751591,0
1788880175.8250165,1788880175.8250165,0
1788880175.875196,1788880175.875196,0
1788880175.9251866,1788880175.9251866,0
1788880175.9750326,1788880175.9750326,0
1788880176.0260026,1788880176.0260026,0
1788880176.0760453,1788880176.0760453,0
1788880176.1253176,1788880176.1253176,0
1788880176.1758351,1788880176.1758351,0
1788880176.2251477,1788880176.2251477,0
1788880176.274961,1788880176.274961,0
1788880176.3247252,1788880176.3247252,0
1788880176.3761797,1788880176.3761797,0
1788880176.42496,1788880176.42496,0
1788880176.4757812,1788880176.4757812,0
1788880176.5262008,1788880176.5262008,0
1788880176.5750906,1788880176.5750906,0
1788880176.624697,1788880176.624697,0
1788880176.6760905,1788880176.6760905,0
1788880176.7258294,1788880176.7258294,0
1788880176.7752206,1788880176.7752206,0
1788880176.8249786,1788880176.8249786,0
