simulation_time_k_s,simulation_time_k1_s,simulation_physics_step_k,simulation_physics_step_k1,physics_step_delta,dt_sim_s,x_k_m,y_k_m,yaw_k_rad,u_k_mps,v_k_mps,r_k_radps,throttle_k_norm,x_k1_m,y_k1_m,yaw_k1_rad,u_k1_mps,v_k1_mps,r_k1_radps,steering_k1_rad,throttle_k1_norm
49.2390022,49.339,49240.0,49340.0,100.0,0.09999779999999703,-6.2853,25.6978,1.1842136483032217,0.4857,0.1359,6.9763,0.0,-6.2788,25.7479,1.1842064900279488,0.4849,0.1242,6.969,0.0,0.0
49.339,49.439003,49340.0,49440.0,100.0,0.10000300000000095,-6.2788,25.7479,1.1842064900279488,0.4849,0.1242,6.969,0.0,-6.271,25.7975,1.1842112756724859,0.494,0.1176,6.9759,0.0,0.0
49.439003,49.539,49440.0,49540.0,100.0,0.09999700000000189,-6.271,25.7975,1.1842112756724859,0.494,0.1176,6.9759,0.0,-6.2629,25.8476,1.1842088737227494,0.4977,0.1182,6.9764,0.0,0.0
49.539,49.6390038,49540.0,49640.0,100.0,0.10000379999999609,-6.2629,25.8476,1.1842088737227494,0.4977,0.1182,6.9764,0.0,-6.2536,25.8991,1.184047275760068,0.5084,0.1058,6.9758,0.0,0.0
49.6390038,49.7390022,49640.0,49740.0,100.0,0.09999840000000404,-6.2536,25.8991,1.184047275760068,0.5084,0.1058,6.9758,0.0,-6.2447,25.9488,1.1842136483032217,0.4918,0.1043,6.9697,0.0,0.0
49.7390022,49.839,49740.0,49840.0,100.0,0.09999779999999703,-6.2447,25.9488,1.1842136483032217,0.4918,0.1043,6.9697,0.0,-6.2353,25.999,1.1842064900279488,0.4999,0.1053,6.9676,0.0,0.0
49.839,49.939003,49840.0,49940.0,100.0,0.10000300000000095,-6.2353,25.999,1.1842064900279488,0.4999,0.1053,6.9676,0.0,-6.2263,26.0498,1.1842112756724859,0.4993,0.1071,6.9634,0.0,0.0
49.939003,50.039,49940.0,50040.0,100.0,0.09999700000000189,-6.2263,26.0498,1.1842112756724859,0.4993,0.1071,6.9634,0.0,-6.218,26.0994,1.1842112756724859,0.4853,0.1005,6.9761,0.0,0.0
50.039,50.1390038,50040.0,50140.0,100.0,0.10000379999999609,-6.218,26.0994,1.1842112756724859,0.4853,0.1005,6.9761,0.0,-6.2081,26.1475,1.1842064900279483,0.4782,0.0824,6.9685,0.0,0.0
50.1390038,50.2390022,50140.0,50240.0,100.0,0.09999840000000404,-6.2081,26.1475,1.1842064900279483,0.4782,0.0824,6.9685,0.0,-6.1968,26.1942,1.1842064900279483,0.4702,0.0576,6.9787,0.0,0.0
50.2390022,50.339,50240.0,50340.0,100.0,0.09999779999999703,-6.1968,26.1942,1.1842064900279483,0.4702,0.0576,6.9787,0.0,-6.1838,26.2399,1.1842040911390022,0.4685,0.0435,6.9761,0.0,0.0
50.339,50.439003,50340.0,50440.0,100.0,0.10000300000000095,-6.1838,26.2399,1.1842040911390022,0.4685,0.0435,6.9761,0.0,-6.1693,26.2846,1.1842040911390022,0.4677,0.0278,6.9684,0.0,0.0
50.439003,50.539,50440.0,50540.0,100.0,0.09999700000000189,-6.1693,26.2846,1.1842040911390022,0.4677,0.0278,6.9684,0.0,-6.1532,26.3288,1.1842040911390022,0.4667,0.0072,6.9786,0.0,0.0
50.539,50.6390038,50540.0,50640.0,100.0,0.10000379999999609,-6.1532,26.3288,1.1842040911390022,0.4667,0.0072,6.9786,0.0,-6.1359,26.3725,1.184201677055096,0.4657,-0.0017,6.9759,0.0,0.0
50.6390038,50.7390022,50640.0,50740.0,100.0,0.09999840000000404,-6.1359,26.3725,1.184201677055096,0.4657,-0.0017,6.9759,0.0,-6.1176,26.4153,1.1841968879439688,0.4643,-0.0122,6.9684,0.0,0.0
50.7390022,50.839,50740.0,50840.0,100.0,0.09999779999999703,-6.1176,26.4153,1.1841968879439688,0.4643,-0.0122,6.9684,0.0,-6.0982,26.4576,1.184201677055096,0.4622,-0.0279,6.9786,0.0,0.0
50.839,50.939003,50840.0,50940.0,100.0,0.10000300000000095,-6.0982,26.4576,1.184201677055096,0.4622,-0.0279,6.9786,0.0,-6.0781,26.4997,1.184201677055096,0.4612,-0.0309,6.9758,0.0,0.0
50.939003,51.039,50940.0,51040.0,100.0,0.09999700000000189,-6.0781,26.4997,1.184201677055096,0.4612,-0.0309,6.9758,0.0,-6.0576,26.5411,1.184480035124915,0.4598,-0.0344,6.9683,0.0,0.0
51.039,51.1390038,51040.0,51140.0,100.0,0.10000379999999609,-6.0576,26.5411,1.184480035124915,0.4598,-0.0344,6.9683,0.0,-6.0367,26.5823,1.184480035124915,0.4571,-0.0435,6.9787,0.0,0.0
51.1390038,51.2390022,51140.0,51240.0,100.0,0.09999840000000404,-6.0367,26.5823,1.184480035124915,0.4571,-0.0435,6.9787,0.0,-6.0155,26.6234,1.1844776090638642,0.456,-0.0414,6.9757,0.0,0.0
51.2390022,51.339,51240.0,51340.0,100.0,0.09999779999999703,-6.0155,26.6234,1.1844776090638642,0.456,-0.0414,6.9757,0.0,-5.9944,26.664,1.1844776090638642,0.4545,-0.0412,6.9682,0.0,0.0
51.339,51.439003,51340.0,51440.0,100.0,0.10000300000000095,-5.9944,26.664,1.1844776090638642,0.4545,-0.0412,6.9682,0.0,-5.9732,26.7045,1.1844776090638642,0.452,-0.0476,6.9786,0.0,0.0
51.439003,51.539,51440.0,51540.0,100.0,0.09999700000000189,-5.9732,26.7045,1.1844776090638642,0.452,-0.0476,6.9786,0.0,-5.952,26.745,1.1844776090638642,0.4508,-0.0438,6.9756,0.0,0.0
51.539,51.6390038,51540.0,51640.0,100.0,0.10000379999999609,-5.952,26.745,1.1844776090638642,0.4508,-0.0438,6.9756,0.0,-5.9309,26.785,1.1844776090638642,0.4479,-0.0425,6.9681,0.0,0.0
51.6390038,51.7390022,51640.0,51740.0,100.0,0.09999840000000404,-5.9309,26.785,1.1844776090638642,0.4479,-0.0425,6.9681,0.0,-5.91,26.8246,1.1844776090638642,0.4404,-0.0481,6.9786,0.0,0.0
51.7390022,51.839,51740.0,51840.0,100.0,0.09999779999999703,-5.91,26.8246,1.1844776090638642,0.4404,-0.0481,6.9786,0.0,-5.8892,26.8638,1.1844824301824388,0.4359,-0.0447,6.9756,0.0,0.0
51.839,51.939003,51840.0,51940.0,100.0,0.10000300000000095,-5.8892,26.8638,1.1844824301824388,0.4359,-0.0447,6.9756,0.0,-5.8685,26.9024,1.1844776090638642,0.4347,-0.0443,6.9679,0.0,0.0
51.939003,52.039,51940.0,52040.0,100.0,0.09999700000000189,-5.8685,26.9024,1.1844776090638642,0.4347,-0.0443,6.9679,0.0,-5.8478,26.941,1.1844776090638642,0.4337,-0.0501,6.9788,0.0,0.0
52.039,52.1390038,52040.0,52140.0,100.0,0.10000379999999609,-5.8478,26.941,1.1844776090638642,0.4337,-0.0501,6.9788,0.0,-5.827,26.9797,1.1844824301824388,0.434,-0.046,6.9756,0.0,0.0
