gt_source_stamp_s,gt_x_m,gt_y_m,gt_z_m,gt_yaw_rad,gt_vx_mps,gt_vy_mps,gt_vz_mps,gt_speed_mps,gt_ax_mps2,gt_ay_mps2,gt_accel_mps2,gt_longitudinal_accel_mps2,gt_dt_s,gt_yaw_rate_radps,gt_collision_count,odom_diagnostics_match_dt_ms,odom_diagnostics_source_stamp_s,odom_diagnostics_odom_observer_version,odom_diagnostics_odom_observer_source_stamp_s,odom_diagnostics_odom_observer_dt_s,odom_diagnostics_odom_raw_wheel_speed_mps,odom_diagnostics_odom_corrected_wheel_speed_mps,odom_diagnostics_odom_observer_speed_pred_mps,odom_diagnostics_odom_diagnostics_speed_mps,odom_diagnostics_odom_observer_body_u_mps,odom_diagnostics_odom_observer_body_v_mps,odom_diagnostics_odom_observer_ax_mps2,odom_diagnostics_odom_observer_ay_mps2,odom_diagnostics_odom_observer_yaw_rate_radps,odom_diagnostics_odom_observer_wheel_update_used,odom_diagnostics_odom_observer_turn_mode,odom_diagnostics_odom_observer_reset_epoch,odom_diagnostics_odom_observer_timing_degraded,odom_diagnostics_odom_observer_packet_drop_count,odom_diagnostics_odom_observer_packet_coherence_fault_count,odom_diagnostics_odom_observer_x_m,odom_diagnostics_odom_observer_y_m,odom_diagnostics_odom_observer_yaw_rad,odom_diagnostics_odom_observer_sensor_outlier,odom_diagnostics_odom_observer_left_angle_rad,odom_diagnostics_odom_observer_right_angle_rad,odom_diagnostics_odom_observer_imu_yaw_rad,odom_diagnostics_odom_observer_packet_wheel_speed_mps,odom_diagnostics_odom_observer_wheel_burst_rejected,ekf_odom_match_dt_ms,ekf_odom_source_stamp_s,ekf_odom_x_ekf_odom_m,ekf_odom_y_ekf_odom_m,ekf_odom_yaw_ekf_odom_rad,ekf_odom_ekf_odom_xy_variance,ekf_odom_ekf_odom_yaw_variance,ekf_match_dt_ms,ekf_source_stamp_s,ekf_x_ekf_m,ekf_y_ekf_m,ekf_yaw_ekf_rad,ekf_ekf_xy_variance,ekf_ekf_yaw_variance,amcl_match_dt_ms,amcl_source_stamp_s,amcl_x_amcl_m,amcl_y_amcl_m,amcl_yaw_amcl_rad,amcl_amcl_xy_variance,amcl_amcl_yaw_variance,current_map_pose_match_dt_ms,current_map_pose_source_stamp_s,pp_diagnostics_match_dt_ms,pp_diagnostics_source_stamp_s,amcl_scan_alignment_match_dt_ms,amcl_scan_alignment_source_stamp_s,amcl_scan_alignment_amcl_scan_stamp_s,amcl_scan_alignment_amcl_scan_matched_odom_stamp_s,amcl_scan_alignment_amcl_scan_source_error_ms,amcl_scan_alignment_amcl_scan_accepted,amcl_scan_alignment_amcl_scan_queued,amcl_scan_alignment_amcl_scan_dropped,amcl_scan_alignment_amcl_scan_bracket_before_stamp_s,amcl_scan_alignment_amcl_scan_bracket_after_stamp_s,amcl_scan_alignment_amcl_scan_processing_dropped,amcl_localization_health_match_dt_ms,amcl_localization_health_source_stamp_s,collision_match_dt_ms,collision_source_stamp_s,imu_match_dt_ms,imu_source_stamp_s,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,imu_imu_accel_norm_mps2,imu_imu_yaw_rate_radps,imu_imu_yaw_rad,left_encoder_match_dt_ms,left_encoder_source_stamp_s,left_encoder_left_encoder_rad,left_encoder_left_encoder_speed_radps,right_encoder_match_dt_ms,right_encoder_source_stamp_s,right_encoder_right_encoder_rad,right_encoder_right_encoder_speed_radps,lidar_match_dt_ms,lidar_source_stamp_s,lidar_lidar_rate_hz,gt_reset_detected,collision_epoch,pre_collision_valid,gt_local_x_m,gt_local_y_m,gt_local_yaw_rad,gt_map_x_m,gt_map_y_m,gt_map_yaw_rad,observer_x_m,observer_y_m,observer_yaw_rad,ekf_odom_x_m,ekf_odom_y_m,ekf_odom_yaw_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,observer_xy_error_m,observer_yaw_error_rad,ekf_odom_xy_error_m,ekf_odom_yaw_error_rad,amcl_xy_error_m,amcl_yaw_error_rad,ekf_xy_error_m,ekf_yaw_error_rad,current_map_pose_x_current_map_m,current_map_pose_y_current_map_m,current_map_pose_yaw_current_map_rad,current_map_pose_current_map_xy_variance,current_map_pose_current_map_yaw_variance,collision_gt_collision_count,gt_step_distance_m,gt_step_yaw_change_rad,current_map_x_m,current_map_y_m,current_map_yaw_rad,current_map_xy_error_m,current_map_yaw_error_rad,amcl_localization_health_amcl_health_correction_age_s,amcl_localization_health_amcl_health_correction_accepted,amcl_localization_health_amcl_health_rejected_scans,amcl_localization_health_amcl_health_degraded,amcl_localization_health_amcl_health_xy_variance,amcl_localization_health_amcl_health_yaw_variance,amcl_localization_health_amcl_health_scan_correction_distance_m,amcl_localization_health_amcl_health_scan_correction_yaw_rad,amcl_localization_health_amcl_health_applied_xy_correction_m,amcl_localization_health_amcl_health_applied_yaw_correction_rad,amcl_localization_health_amcl_health_scan_correction_x_m,amcl_localization_health_amcl_health_scan_correction_y_m,amcl_localization_health_amcl_health_applied_x_m,amcl_localization_health_amcl_health_applied_y_m,pp_diagnostics_pp_pose_x_m,pp_diagnostics_pp_pose_y_m,pp_diagnostics_pp_pose_yaw_rad,pp_diagnostics_pp_velocity_mps,pp_diagnostics_pp_valid,pp_diagnostics_pp_cross_track_error_m,pp_diagnostics_pp_closest_distance_m,pp_diagnostics_pp_heading_error_rad,pp_diagnostics_pp_lookahead_distance_m,pp_diagnostics_pp_closest_index,pp_diagnostics_pp_target_index,pp_diagnostics_pp_target_speed_mps,pp_diagnostics_pp_raw_steering_rad,pp_diagnostics_pp_command_steering_rad,pp_diagnostics_pp_command_speed_mps,pp_diagnostics_pp_target_x_m,pp_diagnostics_pp_target_y_m,pp_x_m,pp_y_m,pp_yaw_rad,pp_xy_error_m,pp_yaw_error_rad
1789006028.7280831,0.8008,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0002384185791015625,1789006028.7280834,4.0,1789006028.7280834,0.05000662803649902,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789006028.7280831,0.0,0.0,0.0,0.010075121259100001,0.0001,0.0,1789006028.7280831,0.0,0.0,0.0,0.010075121259100001,0.0001,0.0,1789006028.7280831,0.8006,3.1583,-1.5707963267948963,0.007796281098297018,0.0001,,,,,0.0,1789006028.7280831,1789006028.7280831,1789006028.7280831,0.0,0.0,0.0,0.0,1789006028.7280831,1789006028.7280831,0.0,,,,,0.0,1789006028.7280831,0.0001,-0.0001,0.0008,0.000812403840463596,0.0,-1.5707407162970446,0.0,1789006028.7280831,0.0,nan,0.0,1789006028.7280831,0.0,nan,0.0,1789006028.7280831,nan,0,,1,0.0,0.0,0.0,0.8006,3.1583,-1.57079632679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.0,0.0,0.0,0.0,0.0,-4.896305583201865e-12,3.258192635495943,1.57079632679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789006028.7780888,0.8008,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000567436218262,0.0,0,0.0002384185791015625,1789006028.778089,4.0,1789006028.778089,0.05000567436218262,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789006028.7780888,0.0,0.0,0.0,0.010090122960100001,0.0001,0.0,1789006028.7780888,0.0,0.0,0.0,0.010090122960100001,0.0001,0.0,1789006028.7780888,0.8006,3.1583,-1.5707963267948963,0.007589680489003426,0.0001,0.0,1789006028.7780888,,,0.0002384185791015625,1789006028.778089,1789006028.778089,1789006028.778089,0.0,0.0,0.0,0.0,1789006028.778089,1789006028.778089,0.0,,,-0.5338191986083984,1789006028.777555,0.0,1789006028.7780888,-0.0005,0.0,0.006,0.006020797289396148,0.0,-1.5707407162970446,0.0,1789006028.7780888,0.0,0.0,0.0,1789006028.7780888,0.0,0.0,0.0,1789006028.7780888,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.57079632679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.0,0.0,0.0,0.0,0.0,-4.896305583201865e-12,3.258192635495943,1.57079632679,0.8006,3.1583,-1.5707963267948963,0.010090122960100001,0.0001,0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.0,-4.896305583201865e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789006028.8278508,0.8008,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04976201057434082,0.0,0,0.0,1789006028.8278508,4.0,1789006028.8278508,0.04976177215576172,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789006028.8278508,0.0,0.0,0.0,0.010105051518700002,0.0001,0.0,1789006028.8278508,0.0,0.0,0.0,0.010105051518700002,0.0001,0.0,1789006028.8278508,0.8006,3.1583,-1.5707963267948963,0.007379612556072803,0.0001,0.0,1789006028.8278508,,,0.0,1789006028.8278508,1789006028.8278508,1789006028.8278508,0.0,0.0,0.0,0.0,1789006028.8278508,1789006028.8278508,0.0,-1.4739036560058594,1789006028.826377,-1.8508434295654297,1789006028.826,0.0,1789006028.8278508,0.0003,0.0,-0.0026,0.00261725046566048,0.0,-1.5707407162970446,0.0,1789006028.8278508,0.0,0.0,0.0,1789006028.8278508,0.0,0.0,0.0,1789006028.8278508,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.57079632679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.0,0.0,0.0,0.0,0.0,-4.896305583201865e-12,3.258192635495943,1.57079632679,0.8006,3.1583,-1.5707963267948963,0.010105051518700002,0.0001,0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.0,-4.896305583201865e-12,nan,0.0,0.0,1.0,0.010090122960100001,0.0001,nan,nan,0.0,0.0,nan,nan,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1789006028.878237,0.8008,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05038619041442871,0.0,0,0.0002384185791015625,1789006028.8782372,4.0,1789006028.8782372,0.05038642883300781,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789006028.878237,0.0,0.0,0.0,0.010120167404500002,0.0001,0.0,1789006028.878237,0.0,0.0,0.0,0.010120167404500002,0.0001,0.0,1789006028.878237,0.8006,3.1583,-1.5707963267948963,0.007174943716877465,0.0001,0.0,1789006028.878237,,,0.0002384185791015625,1789006028.8782372,1789006028.8782372,1789006028.8782372,0.0,0.0,0.0,0.0,1789006028.8782372,1789006028.8782372,0.0,-1.646280288696289,1789006028.8765907,-1.214742660522461,1789006028.8770223,0.0,1789006028.878237,0.0002,-0.0002,-0.0047,0.0047085029467974215,0.0,-1.5707407162970446,0.0,1789006028.878237,0.0,0.0,0.0,1789006028.878237,0.0,0.0,0.0,1789006028.878237,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.57079632679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.0,0.0,0.0,0.0,0.0,-4.896305583201865e-12,3.258192635495943,1.57079632679,0.8006,3.1583,-1.5707963267948963,0.010120167404500002,0.0001,0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.0,-4.896305583201865e-12,nan,0.0,0.0,1.0,0.010105051518700002,0.0001,nan,nan,0.0,0.0,nan,nan,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1789006028.9283688,0.8008,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050131797790527344,0.0,0,0.0,1789006028.9283688,4.0,1789006028.9283688,0.05013155937194824,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789006028.9283688,0.0,0.0,0.0,0.010135206898600002,0.0001,0.0,1789006028.9283688,0.0,0.0,0.0,0.010135206898600002,0.0001,0.0,1789006028.9283688,0.8006,3.1583,-1.5707963267948963,0.006977303323816058,0.0001,0.0,1789006028.9283688,,,-0.0002384185791015625,1789006028.9283686,1789006028.9283686,1789006028.9283686,0.0,0.0,0.0,0.0,1789006028.9283686,1789006028.9283686,0.0,0.9973049163818359,1789006028.929366,0.7421970367431641,1789006028.929111,0.0,1789006028.9283688,0.0002,0.0004,0.0027,0.002736786436680802,0.0,-1.5707407162970446,0.0,1789006028.9283688,0.0,0.0,0.0,1789006028.9283688,0.0,0.0,0.0,1789006028.9283688,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.57079632679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.0,0.0,0.0,0.0,0.0,-4.896305583201865e-12,3.258192635495943,1.57079632679,0.8006,3.1583,-1.5707963267948963,0.010135206898600002,0.0001,0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.0,-4.896305583201865e-12,nan,0.0,0.0,1.0,0.010120167404500002,0.0001,nan,nan,0.0,0.0,nan,nan,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1789006028.9779718,0.8008,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04960298538208008,0.0,0,0.0,1789006028.9779718,4.0,1789006028.9779718,0.04960298538208008,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789006028.9779718,0.0,0.0,0.0,0.010150087811500003,0.0001,0.0,1789006028.9779718,0.0,0.0,0.0,0.010150087811500003,0.0001,0.0,1789006028.9779718,0.8006,3.1583,-1.5707963267948963,0.006777622903871724,0.0001,0.0,1789006028.9779718,,,0.0,1789006028.9779718,1789006028.9779718,1789006028.9779718,0.0,0.0,0.0,0.0,1789006028.9779718,1789006028.9779718,0.0,0.23651123046875,1789006028.9782083,-0.3752708435058594,1789006028.9775965,0.0,1789006028.9779718,0.0001,-0.0001,0.0,0.0001414213562373095,0.0,-1.5707407162970446,0.0,1789006028.9779718,0.0,0.0,0.0,1789006028.9779718,0.0,0.0,0.0,1789006028.9779718,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.57079632679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.0,0.0,0.0,0.0,0.0,-4.896305583201865e-12,3.258192635495943,1.57079632679,0.8006,3.1583,-1.5707963267948963,0.010150087811500003,0.0001,0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.0,-4.896305583201865e-12,nan,0.0,0.0,1.0,0.010135206898600002,0.0001,nan,nan,0.0,0.0,nan,nan,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1789006029.0278676,0.8008,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0498957633972168,0.0,0,0.0002384185791015625,1789006029.0278678,4.0,1789006029.0278678,0.0498960018157959,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789006029.0278676,0.0,0.0,0.0,0.010165056552400003,0.0001,0.0,1789006029.0278676,0.0,0.0,0.0,0.010165056552400003,0.0001,0.0,1789006029.0278676,0.8006,3.1583,-1.5707963267948963,0.0065871134522954514,0.0001,0.0,1789006029.0278676,0.0,1789006029.0278676,0.0,1789006029.0278676,1789006029.0278676,1789006029.0278676,0.0,0.0,0.0,0.0,1789006029.0278676,1789006029.0278676,0.0,0.08893013000488281,1789006029.0279565,0.5693435668945312,1789006029.028437,0.0,1789006029.0278676,0.0005,-0.0005,-0.0044,0.004456455991031438,0.0,-1.5707407162970446,0.0,1789006029.0278676,0.0,0.0,0.0,1789006029.0278676,0.0,0.0,0.0,1789006029.0278676,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.57079632679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.0,0.0,0.0,0.0,0.0,-4.896305583201865e-12,3.258192635495943,1.57079632679,0.8006,3.1583,-1.5707963267948963,0.010165056552400003,0.0001,0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.0,-4.896305583201865e-12,nan,0.0,0.0,1.0,0.010150087811500003,0.0001,nan,nan,0.0,0.0,nan,nan,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.0,1.0,-0.1656917405269845,0.16569174294470637,0.30154953786449834,0.7705166751507015,0.0,38.0,0.0,0.05821487057719834,0.0032,0.0,0.8539966494268785,2.3896357400559887,0.8006,3.1583,-1.5707963267948963,0.0,-4.896305583201865e-12
1789006029.0779161,0.8008,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0500485897064209,0.0,0,0.0002384185791015625,1789006029.0779164,4.0,1789006029.0779164,0.0500485897064209,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789006029.0779161,0.0,0.0,0.0,0.010180071135700002,0.0001,0.0,1789006029.0779161,0.0,0.0,0.0,0.010180071135700002,0.0001,0.0,1789006029.0779161,0.8006,3.1583,-1.5707963267948963,0.006377177600099895,0.0001,0.0,1789006029.0779161,0.0,1789006029.0779161,0.0,1789006029.0779161,1789006029.0779161,1789006029.0779161,0.0,0.0,0.0,0.0,1789006029.0779161,1789006029.0779161,0.0,0.8935928344726562,1789006029.0788097,1.4624595642089844,1789006029.0793786,0.0,1789006029.0779161,0.0003,0.0001,0.0019,0.0019261360284258222,0.0,-1.5707407162970446,0.0,1789006029.0779161,0.0,0.0,0.0,1789006029.0779161,0.0,0.0,0.0,1789006029.0779161,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.57079632679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.0,0.0,0.0,0.0,0.0,-4.896305583201865e-12,3.258192635495943,1.57079632679,0.8006,3.1583,-1.5707963267948963,0.010180071135700002,0.0001,0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.0,-4.896305583201865e-12,nan,0.0,0.0,1.0,0.010165056552400003,0.0001,nan,nan,0.0,0.0,nan,nan,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.0,1.0,-0.1656917405269845,0.16569174294470637,0.30154953786449834,0.7705166751507015,0.0,38.0,0.0,0.05821487057719834,0.07276858822149793,0.0,0.8539966494268785,2.3896357400559887,0.8006,3.1583,-1.5707963267948963,0.0,-4.896305583201865e-12
1789006029.1287656,0.8008,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05084943771362305,0.0,0,0.0,1789006029.1287656,4.0,1789006029.1287656,0.050849199295043945,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789006029.1287656,0.0,0.0,0.0,0.010195325951800002,0.0001,0.0,1789006029.1287656,0.0,0.0,0.0,0.010195325951800002,0.0001,0.0,1789006029.1287656,0.8006,3.1583,-1.5707963267948963,0.006182267964162141,0.0001,0.0,1789006029.1287656,-0.0002384185791015625,1789006029.1287653,-0.0002384185791015625,1789006029.1287653,1789006029.1287653,1789006029.1287653,0.0,0.0,0.0,0.0,1789006029.1287653,1789006029.1287653,0.0,-1.893758773803711,1789006029.1268718,-2.689361572265625,1789006029.1260762,0.0,1789006029.1287656,0.0001,-0.0001,0.0009,0.0009110433579144299,0.0,-1.5707407162970446,0.0,1789006029.1287656,0.0,0.0,0.0,1789006029.1287656,0.0,0.0,0.0,1789006029.1287656,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.57079632679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.0,0.0,0.0,0.0,0.0,-4.896305583201865e-12,3.258192635495943,1.57079632679,0.8006,3.1583,-1.5707963267948963,0.010195325951800002,0.0001,0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.0,-4.896305583201865e-12,nan,0.0,0.0,1.0,0.010180071135700002,0.0001,nan,nan,0.0,0.0,nan,nan,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.0,1.0,-0.1656917405269845,0.16569174294470637,0.30154953786449834,0.7705166751507015,0.0,38.0,0.0,0.05821487057719834,0.07276858822149793,0.0,0.8539966494268785,2.3896357400559887,0.8006,3.1583,-1.5707963267948963,0.0,-4.896305583201865e-12
1789006029.178063,0.8008,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049297332763671875,0.0,0,0.0,1789006029.178063,4.0,1789006029.178063,0.049297332763671875,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789006029.178063,0.0,0.0,0.0,0.010210115150200002,0.0001,0.0,1789006029.178063,0.0,0.0,0.0,0.010210115150200002,0.0001,0.0,1789006029.178063,0.8006,3.1583,-1.5707963267948963,0.00600600526251952,0.0001,0.0,1789006029.178063,0.0,1789006029.178063,0.0,1789006029.178063,1789006029.178063,1789006029.178063,0.0,0.0,0.0,0.0,1789006029.178063,1789006029.178063,0.0,-0.05888938903808594,1789006029.178004,-0.6201267242431641,1789006029.1774428,0.0,1789006029.178063,-0.0003,-0.0004,0.0017,0.0017720045146669351,0.0,-1.5707407162970446,0.0,1789006029.178063,0.0,0.0,0.0,1789006029.178063,0.0,0.0,0.0,1789006029.178063,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.57079632679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.0,0.0,0.0,0.0,0.0,-4.896305583201865e-12,3.258192635495943,1.57079632679,0.8006,3.1583,-1.5707963267948963,0.010210115150200002,0.0001,0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.0,-4.896305583201865e-12,nan,0.0,0.0,1.0,0.010195325951800002,0.0001,nan,nan,0.0,0.0,nan,nan,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.0,1.0,-0.1656917405269845,0.16569174294470637,0.30154953786449834,0.7705166751507015,0.0,38.0,0.0,0.05821487057719834,0.07199358819923932,0.0,0.8539966494268785,2.3896357400559887,0.8006,3.1583,-1.5707963267948963,0.0,-4.896305583201865e-12
