gt_source_stamp_s,gt_x_m,gt_y_m,gt_z_m,gt_yaw_rad,gt_vx_mps,gt_vy_mps,gt_vz_mps,gt_speed_mps,gt_ax_mps2,gt_ay_mps2,gt_accel_mps2,gt_longitudinal_accel_mps2,gt_dt_s,gt_yaw_rate_radps,gt_collision_count,odom_diagnostics_match_dt_ms,odom_diagnostics_source_stamp_s,odom_diagnostics_odom_observer_version,odom_diagnostics_odom_observer_source_stamp_s,odom_diagnostics_odom_observer_dt_s,odom_diagnostics_odom_raw_wheel_speed_mps,odom_diagnostics_odom_corrected_wheel_speed_mps,odom_diagnostics_odom_observer_speed_pred_mps,odom_diagnostics_odom_diagnostics_speed_mps,odom_diagnostics_odom_observer_body_u_mps,odom_diagnostics_odom_observer_body_v_mps,odom_diagnostics_odom_observer_ax_mps2,odom_diagnostics_odom_observer_ay_mps2,odom_diagnostics_odom_observer_yaw_rate_radps,odom_diagnostics_odom_observer_wheel_update_used,odom_diagnostics_odom_observer_turn_mode,odom_diagnostics_odom_observer_reset_epoch,odom_diagnostics_odom_observer_timing_degraded,odom_diagnostics_odom_observer_packet_drop_count,odom_diagnostics_odom_observer_packet_coherence_fault_count,odom_diagnostics_odom_observer_x_m,odom_diagnostics_odom_observer_y_m,odom_diagnostics_odom_observer_yaw_rad,odom_diagnostics_odom_observer_sensor_outlier,odom_diagnostics_odom_observer_left_angle_rad,odom_diagnostics_odom_observer_right_angle_rad,odom_diagnostics_odom_observer_imu_yaw_rad,odom_diagnostics_odom_observer_packet_wheel_speed_mps,ekf_odom_match_dt_ms,ekf_odom_source_stamp_s,ekf_odom_x_ekf_odom_m,ekf_odom_y_ekf_odom_m,ekf_odom_yaw_ekf_odom_rad,ekf_odom_ekf_odom_xy_variance,ekf_odom_ekf_odom_yaw_variance,ekf_match_dt_ms,ekf_source_stamp_s,ekf_x_ekf_m,ekf_y_ekf_m,ekf_yaw_ekf_rad,ekf_ekf_xy_variance,ekf_ekf_yaw_variance,amcl_match_dt_ms,amcl_source_stamp_s,current_map_pose_match_dt_ms,current_map_pose_source_stamp_s,pp_diagnostics_match_dt_ms,pp_diagnostics_source_stamp_s,amcl_scan_alignment_match_dt_ms,amcl_scan_alignment_source_stamp_s,amcl_scan_alignment_amcl_scan_stamp_s,amcl_scan_alignment_amcl_scan_matched_odom_stamp_s,amcl_scan_alignment_amcl_scan_source_error_ms,amcl_scan_alignment_amcl_scan_accepted,amcl_scan_alignment_amcl_scan_queued,amcl_scan_alignment_amcl_scan_dropped,amcl_scan_alignment_amcl_scan_bracket_before_stamp_s,amcl_scan_alignment_amcl_scan_bracket_after_stamp_s,amcl_scan_alignment_amcl_scan_processing_dropped,amcl_localization_health_match_dt_ms,amcl_localization_health_source_stamp_s,collision_match_dt_ms,collision_source_stamp_s,imu_match_dt_ms,imu_source_stamp_s,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,imu_imu_accel_norm_mps2,imu_imu_yaw_rate_radps,imu_imu_yaw_rad,left_encoder_match_dt_ms,left_encoder_source_stamp_s,left_encoder_left_encoder_rad,left_encoder_left_encoder_speed_radps,right_encoder_match_dt_ms,right_encoder_source_stamp_s,right_encoder_right_encoder_rad,right_encoder_right_encoder_speed_radps,lidar_match_dt_ms,lidar_source_stamp_s,lidar_lidar_rate_hz,gt_reset_detected,collision_epoch,pre_collision_valid,gt_local_x_m,gt_local_y_m,gt_local_yaw_rad,gt_map_x_m,gt_map_y_m,gt_map_yaw_rad,observer_x_m,observer_y_m,observer_yaw_rad,ekf_odom_x_m,ekf_odom_y_m,ekf_odom_yaw_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,observer_xy_error_m,observer_yaw_error_rad,ekf_odom_xy_error_m,ekf_odom_yaw_error_rad,ekf_xy_error_m,ekf_yaw_error_rad,collision_gt_collision_count,gt_step_distance_m,gt_step_yaw_change_rad,amcl_x_amcl_m,amcl_y_amcl_m,amcl_yaw_amcl_rad,amcl_amcl_xy_variance,amcl_amcl_yaw_variance,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_xy_error_m,amcl_yaw_error_rad,current_map_pose_x_current_map_m,current_map_pose_y_current_map_m,current_map_pose_yaw_current_map_rad,current_map_pose_current_map_xy_variance,current_map_pose_current_map_yaw_variance,current_map_x_m,current_map_y_m,current_map_yaw_rad,current_map_xy_error_m,current_map_yaw_error_rad,amcl_localization_health_amcl_health_correction_age_s,amcl_localization_health_amcl_health_correction_accepted,amcl_localization_health_amcl_health_rejected_scans,amcl_localization_health_amcl_health_degraded,amcl_localization_health_amcl_health_xy_variance,amcl_localization_health_amcl_health_yaw_variance,amcl_localization_health_amcl_health_scan_correction_distance_m,amcl_localization_health_amcl_health_scan_correction_yaw_rad,amcl_localization_health_amcl_health_applied_xy_correction_m,amcl_localization_health_amcl_health_applied_yaw_correction_rad,amcl_localization_health_amcl_health_scan_correction_x_m,amcl_localization_health_amcl_health_scan_correction_y_m,amcl_localization_health_amcl_health_applied_x_m,amcl_localization_health_amcl_health_applied_y_m,pp_diagnostics_pp_pose_x_m,pp_diagnostics_pp_pose_y_m,pp_diagnostics_pp_pose_yaw_rad,pp_diagnostics_pp_velocity_mps,pp_diagnostics_pp_valid,pp_diagnostics_pp_cross_track_error_m,pp_diagnostics_pp_closest_distance_m,pp_diagnostics_pp_heading_error_rad,pp_diagnostics_pp_lookahead_distance_m,pp_diagnostics_pp_closest_index,pp_diagnostics_pp_target_index,pp_diagnostics_pp_target_speed_mps,pp_diagnostics_pp_raw_steering_rad,pp_diagnostics_pp_command_steering_rad,pp_diagnostics_pp_command_speed_mps,pp_diagnostics_pp_target_x_m,pp_diagnostics_pp_target_y_m,pp_x_m,pp_y_m,pp_yaw_rad,pp_xy_error_m,pp_yaw_error_rad
1788996800.5552146,0.8017,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,1788996800.5552146,3.0,1788996800.5552146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788996800.5552146,0.0,0.0,0.0,0.01,0.0001,0.0,1788996800.5552146,0.0,0.0,0.0,0.01,0.0001,,,,,,,0.0,1788996800.5552146,1788996800.5552146,1788996800.5552146,0.0,0.0,0.0,0.0,1788996800.5552146,1788996800.5552146,0.0,,,,,0.0,1788996800.5552146,-0.0002,-0.0002,0.0013,0.001330413469565007,0.0,-1.5707407162970446,0.0,1788996800.5552146,0.0,nan,0.0,1788996800.5552146,0.0,nan,0.0,1788996800.5552146,nan,0,,1,0.0,0.0,0.0,0.8006,3.1583,-1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258192635495943,1.5707963267948966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788996800.630875,0.8017,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07566046714782715,0.0,0,0.0002384185791015625,1788996800.6308753,3.0,1788996800.6308753,0.07566070556640625,0.0,0.0,1.513214111328125e-05,0.0,0.0,0.0,0.0002,-0.0002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788996800.630875,0.0,0.0,0.0,0.010022698142800001,0.0001,0.0,1788996800.630875,0.0,0.0,0.0,0.010022698142800001,0.0001,,,,,,,0.0,1788996800.630875,1788996800.630875,1788996800.630875,0.0,0.0,0.0,0.0,1788996800.630875,1788996800.630875,0.0,,,-4.67681884765625,1788996800.6261983,0.0,1788996800.630875,0.0002,-0.0002,-0.0021,0.002118962010041709,0.0,-1.5707407162970446,0.0,1788996800.630875,0.0,0.0,0.0,1788996800.630875,0.0,0.0,0.0,1788996800.630875,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258192635495943,1.5707963267948966,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788996800.680922,0.8017,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05004692077636719,0.0,0,0.0002384185791015625,1788996800.6809223,3.0,1788996800.6809223,0.05004692077636719,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788996800.680922,0.0,0.0,0.0,0.010037712207100001,0.0001,0.0,1788996800.680922,0.0,0.0,0.0,0.010037712207100001,0.0001,,,,,,,0.0,1788996800.680922,1788996800.680922,1788996800.680922,0.0,0.0,0.0,0.0,1788996800.680922,1788996800.680922,0.0,,,0.5767345428466797,1788996800.6814988,0.0,1788996800.680922,-0.0001,0.0002,0.0004,0.000458257569495584,0.0,-1.5707407162970446,0.0,1788996800.680922,0.0,0.0,0.0,1788996800.680922,0.0,0.0,0.0,1788996800.680922,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258192635495943,1.5707963267948966,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788996800.731572,0.8017,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05064988136291504,0.0,0,0.0002384185791015625,1788996800.7315722,3.0,1788996800.7315722,0.05064988136291504,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788996800.731572,0.0,0.0,0.0,0.010052907178600001,0.0001,0.0,1788996800.731572,0.0,0.0,0.0,0.010052907178600001,0.0001,,,,,,,0.0,1788996800.731572,1788996800.731572,1788996800.731572,0.0,0.0,0.0,0.0,1788996800.731572,1788996800.731572,0.0,,,1.8928050994873047,1788996800.7334647,0.0,1788996800.731572,-0.0002,0.0002,0.006,0.006006662967072482,0.0,-1.5707407162970446,0.0,1788996800.731572,0.0,0.0,0.0,1788996800.731572,0.0,0.0,0.0,1788996800.731572,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258192635495943,1.5707963267948966,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788996800.7816446,0.8017,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050072669982910156,0.0,0,0.0,1788996800.7816446,3.0,1788996800.7816446,0.050072431564331055,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788996800.7816446,0.0,0.0,0.0,0.010067929006600002,0.0001,0.0,1788996800.7816446,0.0,0.0,0.0,0.010067929006600002,0.0001,0.0,1788996800.7816446,,,,,0.0,1788996800.7816446,1788996800.7816446,1788996800.7816446,0.0,0.0,0.0,0.0,1788996800.7816446,1788996800.7816446,0.0,,,1.2350082397460938,1788996800.7828796,0.0,1788996800.7816446,-0.0001,-0.0001,-0.0008,0.000812403840463596,0.0,-1.5707407162970446,0.0,1788996800.7816446,0.0,0.0,0.0,1788996800.7816446,0.0,0.0,0.0,1788996800.7816446,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258192635495943,1.5707963267948966,0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.007904823641630195,0.0001,0.8006,3.1583,-1.5707963267948963,0.0,2.220446049250313e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788996800.83173,0.8017,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05008530616760254,0.0,0,0.0,1788996800.83173,3.0,1788996800.83173,0.05008530616760254,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788996800.83173,0.0,0.0,0.0,0.010082954546500001,0.0001,0.0,1788996800.83173,0.0,0.0,0.0,0.010082954546500001,0.0001,0.0,1788996800.83173,0.0,1788996800.83173,,,-0.0002384185791015625,1788996800.8317297,1788996800.8317297,1788996800.8317297,0.0,0.0,0.0,0.0,1788996800.8317297,1788996800.8317297,0.0,,,1.4917850494384766,1788996800.8332217,0.0,1788996800.83173,-0.0001,0.0003,-0.0021,0.00212367605815953,0.0,-1.5707407162970446,0.0,1788996800.83173,0.0,0.0,0.0,1788996800.83173,0.0,0.0,0.0,1788996800.83173,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258192635495943,1.5707963267948966,0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.0077175576370714545,0.0001,0.8006,3.1583,-1.5707963267948963,0.0,2.220446049250313e-16,0.8006,3.1583,-1.5707963267948963,0.010082954546500001,0.0001,0.8006,3.1583,-1.5707963267948963,0.0,2.220446049250313e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788996800.88151,0.8017,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04978013038635254,0.0,0,0.0,1788996800.88151,3.0,1788996800.88151,0.04978013038635254,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788996800.88151,0.0,0.0,0.0,0.010097888588200002,0.0001,0.0,1788996800.88151,0.0,0.0,0.0,0.010097888588200002,0.0001,0.0,1788996800.88151,0.0,1788996800.88151,,,-0.0002384185791015625,1788996800.8815098,1788996800.8815098,1788996800.8815098,0.0,0.0,0.0,0.0,1788996800.8815098,1788996800.8815098,0.0,1.6548633575439453,1788996800.883165,0.9605884552001953,1788996800.8824706,0.0,1788996800.88151,0.0003,0.0,-0.0025,0.002517935662402834,0.0,-1.5707407162970446,0.0,1788996800.88151,0.0,0.0,0.0,1788996800.88151,0.0,0.0,0.0,1788996800.88151,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258192635495943,1.5707963267948966,0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.007515181207286547,0.0001,0.8006,3.1583,-1.5707963267948963,0.0,2.220446049250313e-16,0.8006,3.1583,-1.5707963267948963,0.010097888588200002,0.0001,0.8006,3.1583,-1.5707963267948963,0.0,2.220446049250313e-16,nan,0.0,0.0,1.0,0.010082954546500001,0.0001,nan,nan,0.0,0.0,nan,nan,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1788996800.9314954,0.8017,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049985408782958984,0.0,0,0.0,1788996800.9314954,3.0,1788996800.9314954,0.049985408782958984,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788996800.9314954,0.0,0.0,0.0,0.010112884216000002,0.0001,0.0,1788996800.9314954,0.0,0.0,0.0,0.010112884216000002,0.0001,0.0,1788996800.9314954,0.0,1788996800.9314954,,,0.0,1788996800.9314954,1788996800.9314954,1788996800.9314954,0.0,0.0,0.0,0.0,1788996800.9314954,1788996800.9314954,0.0,1.6176700592041016,1788996800.933113,2.051115036010742,1788996800.9335465,0.0,1788996800.9314954,0.0004,-0.0002,-0.0029,0.002934280150224242,0.0,-1.5707407162970446,0.0,1788996800.9314954,0.0,0.0,0.0,1788996800.9314954,0.0,0.0,0.0,1788996800.9314954,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258192635495943,1.5707963267948966,0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.007328269576324071,0.0001,0.8006,3.1583,-1.5707963267948963,0.0,2.220446049250313e-16,0.8006,3.1583,-1.5707963267948963,0.010112884216000002,0.0001,0.8006,3.1583,-1.5707963267948963,0.0,2.220446049250313e-16,nan,0.0,0.0,1.0,0.010097888588200002,0.0001,nan,nan,0.0,0.0,nan,nan,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1788996800.9808202,0.8017,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049324750900268555,0.0,0,0.0,1788996800.9808202,3.0,1788996800.9808202,0.049324750900268555,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788996800.9808202,0.0,0.0,0.0,0.010127681629900001,0.0001,0.0,1788996800.9808202,0.0,0.0,0.0,0.010127681629900001,0.0001,0.0,1788996800.9808202,0.0,1788996800.9808202,,,-0.0002384185791015625,1788996800.98082,1788996800.98082,1788996800.98082,0.0,0.0,0.0,0.0,1788996800.98082,1788996800.98082,0.0,0.6136894226074219,1788996800.9814339,1.049041748046875,1788996800.9818692,0.0,1788996800.9808202,0.0001,0.0,-0.0034,0.0034014702703389897,0.0,-1.5707407162970446,0.0,1788996800.9808202,0.0,0.0,0.0,1788996800.9808202,0.0,0.0,0.0,1788996800.9808202,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258192635495943,1.5707963267948966,0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.007147943926585854,0.0001,0.8006,3.1583,-1.5707963267948963,0.0,2.220446049250313e-16,0.8006,3.1583,-1.5707963267948963,0.010127681629900001,0.0001,0.8006,3.1583,-1.5707963267948963,0.0,2.220446049250313e-16,nan,0.0,0.0,1.0,0.010112884216000002,0.0001,nan,nan,0.0,0.0,nan,nan,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1788996801.0306396,0.8017,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0498194694519043,0.0,0,0.0002384185791015625,1788996801.03064,3.0,1788996801.03064,0.0498197078704834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788996801.0306396,0.0,0.0,0.0,0.010142627535100002,0.0001,0.0,1788996801.0306396,0.0,0.0,0.0,0.010142627535100002,0.0001,0.0,1788996801.0306396,0.0,1788996801.0306396,,,0.0002384185791015625,1788996801.03064,1788996801.03064,1788996801.03064,0.0,0.0,0.0,0.0,1788996801.03064,1788996801.03064,0.0,0.3364086151123047,1788996801.030976,2.2618770599365234,1788996801.0329015,0.0,1788996801.0306396,0.0,0.0002,0.0005,0.0005385164807134503,0.0,-1.5707407162970446,0.0,1788996801.0306396,0.0,0.0,0.0,1788996801.0306396,0.0,0.0,0.0,1788996801.0306396,nan,0,0.0,1,0.0,0.0,0.0,0.8006,3.1583,-1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258192635495943,1.5707963267948966,0,0.0,0.0,0.8006,3.1583,-1.5707963267948963,0.006922629230501268,0.0001,0.8006,3.1583,-1.5707963267948963,0.0,2.220446049250313e-16,0.8006,3.1583,-1.5707963267948963,0.010142627535100002,0.0001,0.8006,3.1583,-1.5707963267948963,0.0,2.220446049250313e-16,nan,0.0,0.0,1.0,0.010127681629900001,0.0001,nan,nan,0.0,0.0,nan,nan,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
