stamp_s,time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad,gt_speed_mps
1788158628.380327,2.865588,5.113054,-0.185900,0.341506,5.087747,-0.298955,0.320351,0.115852,0.021155,5.121504,-0.307887,0.331934,0.122279,0.009572,5.132169,-0.305059,0.341506,0.120682,0.000000,1.903134
1788158628.437870,2.923131,5.250533,-0.139234,0.304318,5.223569,-0.248258,0.282475,0.112309,0.021844,5.259250,-0.261398,0.293914,0.122475,0.010404,5.272424,-0.258126,0.304318,0.120890,0.000000,2.455687
1788158628.560491,3.045752,5.372825,-0.104286,0.234653,5.412137,-0.193069,0.212997,0.097096,0.021657,5.453924,-0.207656,0.223595,0.131386,0.011058,5.470061,-0.203537,0.234653,0.138945,0.000000,1.057339
1788158628.618503,3.103764,5.496904,-0.079794,0.145934,5.613719,-0.153494,0.124028,0.138121,0.021906,5.663998,-0.167667,0.134394,0.188791,0.011540,5.683817,-0.162363,0.145934,0.204339,0.000000,2.107635
1788158628.731361,3.216622,5.798695,-0.064359,-0.053111,6.019491,-0.139734,-0.076301,0.233307,0.023189,5.663998,-0.167667,0.134394,0.169752,0.187506,5.683817,-0.162363,0.145934,0.151002,0.199045,2.668385
1788158628.798721,3.283982,6.118749,-0.109649,-0.238092,6.370062,-0.198247,-0.261200,0.266474,0.023108,6.440672,-0.209302,-0.250737,0.336994,0.012645,6.471971,-0.196291,-0.238092,0.363693,0.000000,5.003994
1788158628.897699,3.382960,6.314797,-0.167424,-0.342658,6.563060,-0.261986,-0.364100,0.265661,0.021443,6.440672,-0.209302,-0.250737,0.132658,0.091921,6.471971,-0.196291,-0.238092,0.159802,0.104566,2.010984
1788158628.971359,3.456620,6.634266,-0.312267,-0.491788,6.881090,-0.414915,-0.513404,0.267318,0.021616,6.650778,-0.274991,-0.355303,0.040769,0.136486,6.682891,-0.259318,-0.342658,0.071889,0.149131,4.755322
1788158629.093021,3.578282,6.874123,-0.439474,-0.458102,7.117640,-0.548609,-0.481529,0.266854,0.023427,7.213869,-0.561029,-0.473570,0.360836,0.015467,7.272534,-0.538481,-0.458102,0.410528,0.000000,2.282619
1788158629.161914,3.647175,7.182973,-0.569100,-0.315123,7.421874,-0.687105,-0.341107,0.266456,0.025984,7.213869,-0.561029,-0.473570,0.031933,0.158447,7.272534,-0.538481,-0.458102,0.094650,0.142979,4.740240
