time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad,gt_speed_mps
1.153493,0.480657,-0.127529,0.026865,0.480657,-0.127529,0.026865,0.000000,0.000000,0.480663,-0.127561,0.026864,0.000033,0.000001,0.480657,-0.127529,0.026865,0.000000,0.000000,0.000000
1.258234,0.480657,-0.127529,0.026865,0.480657,-0.127529,0.026865,0.000000,0.000000,0.480662,-0.127554,0.026864,0.000026,0.000001,0.480657,-0.127529,0.026865,0.000000,0.000000,0.000000
1.361243,0.480657,-0.127529,0.026865,0.480657,-0.127529,0.026865,0.000000,0.000000,0.480661,-0.127550,0.026865,0.000022,0.000001,0.480657,-0.127529,0.026865,0.000000,0.000000,0.000000
1.457278,0.480657,-0.127529,0.026865,0.480657,-0.127529,0.026865,0.000000,0.000000,0.480661,-0.127547,0.026865,0.000019,0.000000,0.480657,-0.127529,0.026865,0.000000,0.000000,0.000000
1.553493,0.480657,-0.127529,0.026865,0.480657,-0.127529,0.026865,0.000000,0.000000,0.480660,-0.127545,0.026865,0.000016,0.000000,0.480657,-0.127529,0.026865,0.000000,0.000000,0.000000
1.656978,0.481457,-0.127507,0.026883,0.480657,-0.127529,0.026865,0.000800,0.000017,0.488158,-0.127341,0.026882,0.006704,0.000000,0.488156,-0.127327,0.026883,0.006701,0.000000,0.007734
1.760905,0.515545,-0.126593,0.027552,0.537935,-0.125869,0.027574,0.022402,0.000022,0.537085,-0.126008,0.027550,0.021548,0.000002,0.537861,-0.125974,0.027552,0.022325,0.000000,0.334267
1.819333,0.604207,-0.124016,0.029305,0.655770,-0.122395,0.029326,0.051588,0.000020,0.654926,-0.122646,0.029306,0.050737,0.000000,0.655621,-0.122625,0.029305,0.051433,0.000000,1.477675
1.929321,0.680974,-0.121757,0.031029,0.752158,-0.119375,0.031052,0.071224,0.000023,0.751355,-0.119715,0.031032,0.070410,0.000003,0.751976,-0.119718,0.031029,0.071031,0.000000,0.706752
1.995358,0.845488,-0.116345,0.034109,0.929803,-0.113452,0.034119,0.084364,0.000010,0.929021,-0.113899,0.034116,0.083569,0.000007,0.929577,-0.113931,0.034109,0.084123,0.000000,2.492248
2.090951,0.957024,-0.112454,0.036660,1.087104,-0.107758,0.036656,0.130165,0.000003,1.086353,-0.108295,0.036670,0.129396,0.000010,1.086849,-0.108364,0.036660,0.129889,0.000000,1.148178
2.203540,1.172680,-0.104170,0.039779,1.363236,-0.097076,0.039748,0.190689,0.000031,1.362569,-0.097692,0.039792,0.190000,0.000012,1.363011,-0.097804,0.039779,0.190438,0.000000,1.973428
2.283843,1.449186,-0.093254,0.038653,1.666548,-0.085065,0.038591,0.217515,0.000062,1.665974,-0.085740,0.038668,0.216917,0.000015,1.666370,-0.085901,0.038653,0.217308,0.000000,3.303251
2.338137,1.750308,-0.082578,0.031594,1.992271,-0.073523,0.031497,0.242132,0.000097,1.991704,-0.074243,0.031612,0.241539,0.000017,1.992064,-0.074457,0.031594,0.241892,0.000000,5.611411
2.437839,1.938543,-0.077630,0.019120,2.195230,-0.068286,0.018995,0.256856,0.000125,2.194728,-0.069043,0.019139,0.256328,0.000020,2.195053,-0.069309,0.019120,0.256644,0.000000,1.882867
2.542608,2.276691,-0.074865,-0.005803,2.550519,-0.065848,-0.005963,0.273977,0.000160,2.550143,-0.066621,-0.005782,0.273576,0.000021,2.550438,-0.066942,-0.005803,0.273862,0.000000,3.218870
