time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad
28.588717,0.457919,-0.024279,0.008571,0.456422,-0.024591,0.008530,0.001530,0.000042,0.456422,-0.024591,0.008530,0.001530,0.000042,0.456422,-0.024591,0.008571,0.001530,0.000000
29.608434,0.457919,-0.024279,0.008571,0.456422,-0.024591,0.008530,0.001530,0.000042,0.456422,-0.024591,0.008530,0.001530,0.000042,0.456422,-0.024591,0.008571,0.001530,0.000000
30.611471,0.457919,-0.024279,0.008571,0.456422,-0.024591,0.008530,0.001530,0.000042,0.456422,-0.024591,0.008530,0.001530,0.000042,0.456422,-0.024591,0.008571,0.001530,0.000000
31.695154,0.457918,-0.024179,0.008571,0.456422,-0.024591,0.008530,0.001552,0.000042,0.456422,-0.024591,0.008530,0.001552,0.000042,0.456422,-0.024591,0.008571,0.001552,0.000000
32.748522,0.457918,-0.024179,0.008571,0.456422,-0.024591,0.008530,0.001552,0.000042,0.456422,-0.024591,0.008530,0.001552,0.000042,0.456422,-0.024591,0.008571,0.001552,0.000000
33.761640,0.457918,-0.024179,0.008571,0.456422,-0.024591,0.008530,0.001552,0.000042,0.456422,-0.024591,0.008530,0.001552,0.000042,0.456422,-0.024591,0.008571,0.001552,0.000000
34.830488,0.457918,-0.024179,0.008571,0.456422,-0.024591,0.008530,0.001552,0.000042,0.456422,-0.024591,0.008530,0.001552,0.000042,0.456422,-0.024591,0.008571,0.001552,0.000000
35.833747,0.457918,-0.024179,0.008571,0.456422,-0.024591,0.008530,0.001552,0.000042,0.456422,-0.024591,0.008530,0.001552,0.000042,0.456422,-0.024591,0.008571,0.001552,0.000000
36.882472,0.457917,-0.024079,0.008571,0.456422,-0.024591,0.008530,0.001581,0.000042,0.456422,-0.024591,0.008530,0.001581,0.000042,0.456422,-0.024591,0.008571,0.001581,0.000000
37.970099,0.457917,-0.024079,0.008571,0.456422,-0.024591,0.008530,0.001581,0.000042,0.456422,-0.024591,0.008530,0.001581,0.000042,0.456422,-0.024591,0.008571,0.001581,0.000000
39.054449,0.457917,-0.024079,0.008571,0.456422,-0.024591,0.008530,0.001581,0.000042,0.456422,-0.024591,0.008530,0.001581,0.000042,0.456422,-0.024591,0.008571,0.001581,0.000000
40.135683,0.457917,-0.024079,0.008571,0.456422,-0.024591,0.008530,0.001581,0.000042,0.456422,-0.024591,0.008530,0.001581,0.000042,0.456422,-0.024591,0.008571,0.001581,0.000000
41.152194,0.457917,-0.024079,0.008571,0.456422,-0.024591,0.008530,0.001581,0.000042,0.456422,-0.024591,0.008530,0.001581,0.000042,0.456422,-0.024591,0.008571,0.001581,0.000000
42.237194,0.457916,-0.023979,0.008571,0.456422,-0.024591,0.008530,0.001616,0.000042,0.456422,-0.024591,0.008530,0.001616,0.000042,0.456422,-0.024591,0.008571,0.001616,0.000000
43.254817,0.457916,-0.023979,0.008571,0.456422,-0.024591,0.008530,0.001616,0.000042,0.456422,-0.024591,0.008530,0.001616,0.000042,0.456422,-0.024591,0.008571,0.001616,0.000000
44.303633,0.457916,-0.023979,0.008571,0.456422,-0.024591,0.008530,0.001616,0.000042,0.456422,-0.024591,0.008530,0.001616,0.000042,0.456422,-0.024591,0.008571,0.001616,0.000000
45.307135,0.457916,-0.023979,0.008571,0.456422,-0.024591,0.008530,0.001616,0.000042,0.456422,-0.024591,0.008530,0.001616,0.000042,0.456422,-0.024591,0.008571,0.001616,0.000000
46.372504,0.457916,-0.023979,0.008571,0.456422,-0.024591,0.008530,0.001616,0.000042,0.456422,-0.024591,0.008530,0.001616,0.000042,0.456422,-0.024591,0.008571,0.001616,0.000000
47.373902,0.457916,-0.023979,0.008571,0.456422,-0.024591,0.008530,0.001616,0.000042,0.456422,-0.024591,0.008530,0.001616,0.000042,0.456422,-0.024591,0.008571,0.001616,0.000000
48.424947,0.457916,-0.023979,0.008571,0.456422,-0.024591,0.008530,0.001616,0.000042,0.456422,-0.024591,0.008530,0.001616,0.000042,0.456422,-0.024591,0.008571,0.001616,0.000000
49.492146,0.457916,-0.023879,0.008571,0.456422,-0.024591,0.008530,0.001655,0.000042,0.456422,-0.024591,0.008530,0.001655,0.000042,0.456422,-0.024591,0.008571,0.001655,0.000000
50.493034,0.457916,-0.023879,0.008571,0.456422,-0.024591,0.008530,0.001655,0.000042,0.456422,-0.024591,0.008530,0.001655,0.000042,0.456422,-0.024591,0.008571,0.001655,0.000000
51.531013,0.457916,-0.023879,0.008571,0.456422,-0.024591,0.008530,0.001655,0.000042,0.456422,-0.024591,0.008530,0.001655,0.000042,0.456422,-0.024591,0.008571,0.001655,0.000000
52.531818,0.457916,-0.023879,0.008571,0.456422,-0.024591,0.008530,0.001655,0.000042,0.456422,-0.024591,0.008530,0.001655,0.000042,0.456422,-0.024591,0.008571,0.001655,0.000000
53.592316,0.457916,-0.023879,0.008571,0.456422,-0.024591,0.008530,0.001655,0.000042,0.456422,-0.024591,0.008530,0.001655,0.000042,0.456422,-0.024591,0.008571,0.001655,0.000000
54.651262,0.457916,-0.023879,0.008571,0.456422,-0.024591,0.008530,0.001655,0.000042,0.456422,-0.024591,0.008530,0.001655,0.000042,0.456422,-0.024591,0.008571,0.001655,0.000000
55.749949,0.457916,-0.023879,0.008571,0.456422,-0.024591,0.008530,0.001655,0.000042,0.456422,-0.024591,0.008530,0.001655,0.000042,0.456422,-0.024591,0.008571,0.001655,0.000000
56.850828,0.457915,-0.023779,0.008571,0.456422,-0.024591,0.008530,0.001700,0.000042,0.456422,-0.024591,0.008530,0.001700,0.000042,0.456422,-0.024591,0.008571,0.001700,0.000000
57.895068,0.457915,-0.023779,0.008571,0.456422,-0.024591,0.008530,0.001700,0.000042,0.456422,-0.024591,0.008530,0.001700,0.000042,0.456422,-0.024591,0.008571,0.001700,0.000000
58.901772,0.457915,-0.023779,0.008571,0.456422,-0.024591,0.008530,0.001700,0.000042,0.456422,-0.024591,0.008530,0.001700,0.000042,0.456422,-0.024591,0.008571,0.001700,0.000000
59.965726,0.457915,-0.023779,0.008571,0.456422,-0.024591,0.008530,0.001700,0.000042,0.456422,-0.024591,0.008530,0.001700,0.000042,0.456422,-0.024591,0.008571,0.001700,0.000000
