stamp_s,time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad,gt_speed_mps
1788153156.988294,1.019268,0.480006,-0.102525,0.026861,0.480006,-0.102525,0.026861,0.000000,0.000000,0.480171,-0.108614,0.026861,0.006092,0.000000,0.480006,-0.102525,0.026861,0.000000,0.000000,0.000000
1788153157.091889,1.122863,0.480006,-0.102525,0.026861,0.480006,-0.102525,0.026861,0.000000,0.000000,0.480100,-0.105975,0.026861,0.003452,0.000000,0.480006,-0.102525,0.026861,0.000000,0.000000,0.000000
1788153157.150380,1.181353,0.480006,-0.102525,0.026861,0.480006,-0.102525,0.026861,0.000000,0.000000,0.480071,-0.104921,0.026861,0.002397,0.000000,0.480006,-0.102525,0.026861,0.000000,0.000000,0.000000
1788153157.255614,1.286587,0.480006,-0.102525,0.026861,0.480006,-0.102525,0.026861,0.000000,0.000000,0.480056,-0.104355,0.026861,0.001831,0.000000,0.480006,-0.102525,0.026861,0.000000,0.000000,0.000000
1788153157.360906,1.391880,0.480006,-0.102525,0.026861,0.480006,-0.102525,0.026861,0.000000,0.000000,0.480046,-0.103998,0.026861,0.001474,0.000000,0.480006,-0.102525,0.026861,0.000000,0.000000,0.000000
1788153157.473862,1.504836,0.480906,-0.102500,0.026878,0.480006,-0.102525,0.026861,0.000900,0.000017,0.488860,-0.103513,0.026878,0.008018,0.000000,0.488826,-0.102288,0.026878,0.007923,0.000000,0.007972
1788153157.590113,1.621087,0.525890,-0.101294,0.024164,0.559642,-0.087370,0.024164,0.036512,0.000000,0.558673,-0.101550,0.024162,0.032784,0.000002,0.559958,-0.100472,0.024164,0.034079,0.000000,0.387186
1788153157.692090,1.723063,0.617870,-0.099328,0.017971,0.675639,-0.072913,0.017971,0.063522,0.000000,0.675017,-0.097173,0.018035,0.057187,0.000063,0.676172,-0.098023,0.017971,0.058316,0.000000,0.901911
1788153157.754867,1.785841,0.771474,-0.097411,0.007744,0.864929,-0.063558,0.007744,0.099397,0.000000,0.864436,-0.091638,0.008040,0.093141,0.000296,0.865515,-0.095588,0.007744,0.094059,0.000000,2.482187
1788153157.858492,1.889465,0.893802,-0.096832,0.000034,1.015669,-0.056541,0.000034,0.128354,0.000000,1.015229,-0.087614,0.000790,0.121776,0.000756,1.016255,-0.095002,0.000034,0.122466,0.000000,1.180219
1788153157.960910,1.991884,1.114719,-0.098212,-0.012643,1.252608,-0.053920,-0.012643,0.144829,0.000000,1.252162,-0.085234,-0.011321,0.138055,0.001321,1.253143,-0.096495,-0.012643,0.138435,0.000000,2.175030
1788153158.077298,2.108272,1.434866,-0.103133,-0.017254,1.608238,-0.054343,-0.017254,0.180106,0.000000,1.607760,-0.086221,-0.015220,0.173719,0.002034,1.608687,-0.101811,-0.017254,0.173827,0.000000,2.710784
1788153158.191690,2.222664,1.798577,-0.109887,-0.018999,1.998000,-0.059481,-0.018999,0.205695,0.000000,1.997554,-0.088166,-0.016007,0.200158,0.002993,1.998414,-0.108876,-0.018999,0.199839,0.000000,3.179411
1788153158.291671,2.322645,2.132052,-0.115651,-0.015258,2.349920,-0.064605,-0.015258,0.223769,0.000000,2.349530,-0.088958,-0.011296,0.219110,0.003962,2.350319,-0.114904,-0.015258,0.218269,0.000000,3.355155
1788153158.390889,2.421863,2.480207,-0.120522,-0.012689,2.710650,-0.070867,-0.012689,0.235732,0.000000,2.710340,-0.088948,-0.007951,0.232289,0.004737,2.711065,-0.119946,-0.012689,0.230858,0.000000,3.494798
1788153158.491499,2.522473,2.826677,-0.125938,-0.019091,3.068221,-0.077883,-0.019091,0.246278,0.000000,3.067996,-0.090329,-0.013902,0.243932,0.005189,3.068662,-0.125628,-0.019091,0.241985,0.000000,3.466701
1788153158.588370,2.619344,3.176668,-0.135861,-0.039834,3.429168,-0.092751,-0.039834,0.256153,0.000000,3.429186,-0.097478,-0.034493,0.255418,0.005341,3.429777,-0.136271,-0.039834,0.253109,0.000000,3.592820
1788153158.698143,2.729117,3.519293,-0.154584,-0.071782,3.782105,-0.121197,-0.071782,0.264924,0.000000,3.782841,-0.115148,-0.066675,0.266482,0.005107,3.783339,-0.156023,-0.071782,0.264050,0.000000,3.150382
1788153158.751626,2.782600,3.885196,-0.187089,-0.107027,4.158452,-0.167541,-0.107027,0.273954,0.000000,4.160590,-0.148924,-0.102663,0.278026,0.004365,4.161028,-0.189880,-0.107027,0.275846,0.000000,6.735080
1788153158.869288,2.900262,4.095220,-0.211269,-0.122909,4.373918,-0.202835,-0.122909,0.278826,0.000000,4.377154,-0.177007,-0.119819,0.284008,0.003091,4.377761,-0.214908,-0.122909,0.282565,0.000000,1.823235
1788153158.944814,2.975787,4.465398,-0.261465,-0.136701,4.752049,-0.265304,-0.136701,0.286677,0.000000,4.756774,-0.230564,-0.135012,0.293010,0.001689,4.757664,-0.264500,-0.136701,0.292282,0.000000,4.884790
1788153159.043020,3.073994,4.718479,-0.294694,-0.122219,5.009614,-0.310826,-0.122219,0.291581,0.000000,5.015221,-0.270382,-0.122255,0.297736,0.000037,5.016679,-0.298221,-0.122219,0.298220,0.000000,2.579649
1788153159.106168,3.137141,5.065796,-0.331699,-0.086320,5.369479,-0.360140,-0.086320,0.305012,0.000000,5.375344,-0.315465,-0.088094,0.309974,0.001774,5.377543,-0.335985,-0.086320,0.311777,0.000000,5.625470
1788153159.207045,3.238019,5.294909,-0.347764,-0.049160,5.593591,-0.385603,-0.049160,0.301069,0.000000,5.599169,-0.338786,-0.052769,0.304392,0.003610,5.602158,-0.351224,-0.049160,0.307269,0.000000,2.258445
1788153159.295164,3.326138,5.597913,-0.355045,0.003643,5.894150,-0.401898,0.003643,0.299919,0.000000,5.898961,-0.354357,-0.001591,0.301049,0.005234,5.902682,-0.358064,0.003643,0.304784,0.000000,3.447479
1788153159.396505,3.427479,5.845953,-0.349495,0.041591,6.136759,-0.398685,0.041591,0.294937,0.000000,6.140903,-0.357589,0.034840,0.295060,0.006750,6.145197,-0.352578,0.041591,0.299260,0.000000,2.500762
1788153159.491783,3.522757,6.092661,-0.335278,0.073939,6.389708,-0.381592,0.073939,0.300636,0.000000,6.393663,-0.350713,0.066131,0.301398,0.007808,6.398328,-0.337940,0.073939,0.305679,0.000000,2.552393
1788153159.592125,3.623098,6.358879,-0.313735,0.083274,6.661803,-0.357536,0.083274,0.306074,0.000000,6.665758,-0.335601,0.074920,0.307657,0.008353,6.670641,-0.316490,0.083274,0.311774,0.000000,2.641134
1788153159.673984,3.704958,6.635386,-0.291616,0.075023,6.954600,-0.341817,0.075023,0.323138,0.000000,6.957837,-0.317564,0.066518,0.323494,0.008505,6.962877,-0.293312,0.075023,0.327495,0.000000,3.389938
1788153159.774776,3.805750,6.881461,-0.276215,0.046641,7.220394,-0.338050,0.046641,0.344527,0.000000,7.222907,-0.306701,0.037881,0.342804,0.008760,7.228092,-0.277158,0.046641,0.346633,0.000000,2.439309
1788153159.859518,3.890492,7.185825,-0.267055,0.010989,7.537484,-0.343074,0.010989,0.359781,0.000000,7.539699,-0.304484,0.001740,0.355848,0.009248,7.545026,-0.268023,0.010989,0.359203,0.000000,3.656660
1788153159.962764,3.993737,7.463452,-0.271815,-0.055523,7.835743,-0.371102,-0.055523,0.385303,0.000000,7.838886,-0.319237,-0.065567,0.378417,0.010044,7.844473,-0.274692,-0.055523,0.381032,0.000000,2.654457
1788153160.016536,4.047510,7.779792,-0.302648,-0.146305,8.151638,-0.428258,-0.146305,0.392489,0.000000,8.157799,-0.362302,-0.157617,0.382685,0.011312,8.164023,-0.307049,-0.146305,0.384256,0.000000,5.919924
1788153160.125551,4.156524,7.985958,-0.339636,-0.210930,8.335807,-0.485171,-0.210930,0.378913,0.000000,8.345857,-0.408072,-0.224111,0.366349,0.013182,8.353069,-0.341180,-0.210930,0.367115,0.000000,1.919505
1788153160.226110,4.257083,8.222721,-0.398511,-0.276499,8.546264,-0.569910,-0.276499,0.366139,0.000000,8.563174,-0.476190,-0.291587,0.349203,0.015088,8.572117,-0.395648,-0.276499,0.349408,0.000000,2.429640
1788153160.325029,4.356003,8.412744,-0.456539,-0.315894,8.664253,-0.635682,-0.315894,0.308786,0.000000,8.687774,-0.529519,-0.333249,0.284548,0.017356,8.698952,-0.434354,-0.315894,0.287066,0.000000,2.006607
1788153160.378394,4.409367,8.535296,-0.497869,-0.329914,8.756166,-0.692496,-0.329914,0.294386,0.000000,8.784905,-0.578228,-0.349429,0.262225,0.019516,8.798870,-0.467789,-0.329914,0.265285,0.000000,2.443199
1788153160.474497,4.505471,8.591941,-0.517458,-0.331377,8.806931,-0.731725,-0.331377,0.303530,0.000000,8.839473,-0.612463,-0.352863,0.265137,0.021486,8.856345,-0.487516,-0.331377,0.266093,0.000000,0.620414
