stamp_s,time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad,gt_speed_mps
1788152136.703821,1.106674,0.478668,-0.117721,0.027205,0.478668,-0.117721,0.027205,0.000000,0.000000,0.478862,-0.118672,0.027184,0.000970,0.000021,0.478668,-0.117721,0.027205,0.000000,0.000000,0.000000
1788152136.819952,1.222806,0.478668,-0.117721,0.027205,0.478668,-0.117721,0.027205,0.000000,0.000000,0.478816,-0.118447,0.027190,0.000740,0.000015,0.478668,-0.117721,0.027205,0.000000,0.000000,0.000000
1788152136.874885,1.277739,0.478668,-0.117721,0.027205,0.478668,-0.117721,0.027205,0.000000,0.000000,0.478787,-0.118305,0.027193,0.000595,0.000012,0.478668,-0.117721,0.027205,0.000000,0.000000,0.000000
1788152136.987647,1.390500,0.478668,-0.117721,0.027205,0.478668,-0.117721,0.027205,0.000000,0.000000,0.478767,-0.118208,0.027195,0.000496,0.000010,0.478668,-0.117721,0.027205,0.000000,0.000000,0.000000
1788152137.087396,1.490250,0.478668,-0.117721,0.027205,0.478668,-0.117721,0.027205,0.000000,0.000000,0.478753,-0.118136,0.027197,0.000423,0.000008,0.478668,-0.117721,0.027205,0.000000,0.000000,0.000000
1788152137.190714,1.593567,0.478668,-0.117721,0.027205,0.478668,-0.117721,0.027205,0.000000,0.000000,0.478741,-0.118080,0.027198,0.000367,0.000007,0.478668,-0.117721,0.027205,0.000000,0.000000,0.000000
1788152137.307372,1.710225,0.478668,-0.117721,0.027205,0.478668,-0.117721,0.027205,0.000000,0.000000,0.478732,-0.118036,0.027199,0.000322,0.000005,0.478668,-0.117721,0.027205,0.000000,0.000000,0.000000
1788152137.389152,1.792006,0.478668,-0.117721,0.027205,0.478668,-0.117721,0.027205,0.000000,0.000000,0.478725,-0.118000,0.027200,0.000285,0.000005,0.478668,-0.117721,0.027205,0.000000,0.000000,0.000000
1788152137.487950,1.890804,0.478668,-0.117721,0.027205,0.478668,-0.117721,0.027205,0.000000,0.000000,0.478719,-0.117970,0.027201,0.000254,0.000004,0.478668,-0.117721,0.027205,0.000000,0.000000,0.000000
1788152137.586286,1.989139,0.478668,-0.117721,0.027205,0.478668,-0.117721,0.027205,0.000000,0.000000,0.478714,-0.117945,0.027202,0.000228,0.000003,0.478668,-0.117721,0.027205,0.000000,0.000000,0.000000
1788152137.688697,2.091550,0.478968,-0.117713,0.027214,0.516885,-0.110207,0.028963,0.038653,0.001750,0.512217,-0.117011,0.027211,0.033256,0.000003,0.512176,-0.116809,0.027214,0.033220,0.000000,0.002931
1788152137.789838,2.192692,0.510556,-0.116855,0.026767,0.865575,-0.096351,0.028241,0.355610,0.001474,0.859977,-0.106895,0.027032,0.349563,0.000265,0.859499,-0.107433,0.026767,0.349070,0.000000,0.312567
1788152137.905604,2.308457,0.613824,-0.114251,0.025131,1.274743,-0.086029,0.026067,0.661522,0.000936,1.270908,-0.094961,0.025687,0.657367,0.000556,1.269927,-0.096780,0.025131,0.656336,0.000000,0.892278
1788152138.020934,2.423787,0.786274,-0.110068,0.022888,1.687012,-0.078812,0.024420,0.901280,0.001533,1.681691,-0.083831,0.023675,0.895802,0.000787,1.680379,-0.086924,0.022888,0.894405,0.000000,1.495736
1788152138.086565,2.489419,0.984630,-0.105782,0.020345,2.037441,-0.075129,0.023241,1.053257,0.002896,2.029520,-0.075318,0.021371,1.045333,0.001026,2.027750,-0.079413,0.020345,1.043453,0.000000,3.026916
1788152138.186245,2.589099,1.148111,-0.102843,0.012950,2.274555,-0.073257,0.016508,1.126833,0.003558,2.268704,-0.070803,0.014232,1.121051,0.001281,2.266275,-0.075442,0.012950,1.118500,0.000000,1.638277
1788152138.287588,2.690441,1.434001,-0.102282,-0.011992,2.615306,-0.072532,-0.008820,1.181680,0.003171,2.617616,-0.070148,-0.010476,1.184051,0.001516,2.614704,-0.075275,-0.011992,1.181012,0.000000,2.821388
1788152138.361742,2.764595,1.765608,-0.112784,-0.054058,2.971352,-0.080846,-0.052933,1.206167,0.001126,2.971460,-0.081352,-0.052391,1.206261,0.001667,2.968721,-0.086971,-0.054058,1.203390,0.000000,4.655430
1788152138.453542,2.856395,1.998131,-0.128878,-0.086872,3.210414,-0.095041,-0.089602,1.212755,0.002729,2.971460,-0.081352,-0.052391,0.974489,0.034481,2.968721,-0.086971,-0.054058,0.971494,0.032814,2.460947
1788152138.526484,2.929337,2.331244,-0.165349,-0.134188,3.547779,-0.129922,-0.140439,1.217051,0.006251,2.971451,-0.081355,-0.052444,0.645694,0.081744,3.210797,-0.104057,-0.086872,0.881687,0.047316,4.616574
1788152138.620942,3.023796,2.567945,-0.199036,-0.144688,3.785353,-0.163646,-0.156776,1.217922,0.012088,3.801490,-0.170340,-0.144266,1.233879,0.000422,3.799743,-0.176594,-0.144688,1.232002,0.000000,2.521252
1788152138.732121,3.134974,2.907792,-0.247728,-0.138783,4.129976,-0.219230,-0.155443,1.222516,0.016660,3.801490,-0.170340,-0.144266,0.897043,0.005482,3.799743,-0.176594,-0.144688,0.894783,0.005905,3.135159
1788152138.791286,3.194139,3.255149,-0.289314,-0.090159,4.478609,-0.270685,-0.111727,1.223601,0.021569,4.507715,-0.265314,-0.093096,1.252796,0.002938,4.509210,-0.267884,-0.090159,1.254244,0.000000,5.823964
1788152138.889760,3.292614,3.482971,-0.305436,-0.045798,4.701605,-0.297037,-0.071314,1.218664,0.025517,4.740659,-0.285817,-0.051221,1.257841,0.005423,4.744677,-0.283915,-0.045798,1.261890,0.000000,2.305085
1788152139.006781,3.409634,3.887018,-0.305367,0.048814,5.099991,-0.312894,0.019787,1.212996,0.029027,5.154483,-0.292650,0.040502,1.267529,0.008312,5.161713,-0.283286,0.048814,1.274886,0.000000,3.457992
1788152139.057135,3.459989,4.209259,-0.280411,0.108947,5.403349,-0.302744,0.075299,1.194299,0.033648,5.154483,-0.292650,0.040502,0.945303,0.068446,5.161713,-0.283286,0.048814,0.952458,0.060134,6.406819
1788152139.159155,3.562008,4.391122,-0.258166,0.135698,5.565696,-0.290093,0.099346,1.175007,0.036352,5.657321,-0.263114,0.120504,1.266209,0.015193,5.674161,-0.234761,0.135698,1.283252,0.000000,1.792051
1788152139.272676,3.675529,4.766893,-0.196742,0.186968,5.933925,-0.244258,0.147265,1.167999,0.039703,6.036493,-0.213742,0.168416,1.269714,0.018552,6.059085,-0.172116,0.186968,1.292426,0.000000,3.356992
1788152139.373008,3.775862,5.084243,-0.142708,0.139842,6.246698,-0.203012,0.100278,1.164017,0.039564,6.359684,-0.173396,0.117822,1.275810,0.022020,6.388753,-0.117762,0.139842,1.304748,0.000000,3.213845
1788152139.489435,3.892288,5.472653,-0.104650,0.047337,6.633287,-0.178228,0.007530,1.162963,0.039807,6.757254,-0.151544,0.022424,1.285456,0.024913,6.793816,-0.079741,0.047337,1.321398,0.000000,3.344471
1788152139.589766,3.992619,5.790651,-0.107619,-0.075525,6.931299,-0.192323,-0.115243,1.143788,0.039718,7.065173,-0.170183,-0.102952,1.276057,0.027426,7.111243,-0.084215,-0.075525,1.320799,0.000000,3.177869
1788152139.689333,4.092187,6.064326,-0.143503,-0.188089,7.162480,-0.237006,-0.228204,1.102127,0.040114,7.065173,-0.170183,-0.102952,1.001203,0.085138,7.111243,-0.084215,-0.075525,1.048594,0.112564,2.764448
1788152139.790518,4.193371,6.282178,-0.194007,-0.263841,7.354539,-0.299065,-0.304961,1.077495,0.041120,7.506751,-0.275099,-0.295363,1.227255,0.031522,7.576820,-0.166408,-0.263841,1.294937,0.000000,2.210411
1788152139.911743,4.314596,6.510716,-0.262329,-0.310465,7.573679,-0.384543,-0.354415,1.069965,0.043950,7.722476,-0.355087,-0.344107,1.215304,0.033641,7.806644,-0.234279,-0.310465,1.296231,0.000000,2.003991
1788152140.005410,4.408264,6.682804,-0.318478,-0.318302,7.727082,-0.455396,-0.365006,1.053215,0.046704,7.878540,-0.421829,-0.354545,1.200195,0.036243,7.976562,-0.289531,-0.318302,1.294082,0.000000,1.896912
1788152140.106009,4.508862,6.868095,-0.378270,-0.299227,7.911658,-0.537672,-0.348055,1.055666,0.048828,7.878540,-0.421829,-0.354545,1.011384,0.055318,7.976562,-0.289531,-0.318302,1.112013,0.019075,1.930376
1788152140.206734,4.609588,7.088674,-0.440805,-0.249097,8.134325,-0.624468,-0.300371,1.061657,0.051274,8.293538,-0.584761,-0.291094,1.213433,0.041997,8.421845,-0.422460,-0.249097,1.333297,0.000000,2.276920
1788152140.270407,4.673260,7.339844,-0.495207,-0.173994,8.373019,-0.698987,-0.230027,1.053080,0.056034,8.293538,-0.584761,-0.291094,0.957889,0.117100,8.421845,-0.422460,-0.249097,1.084444,0.075103,4.022091
1788152140.373375,4.776228,7.491524,-0.518198,-0.123633,8.486360,-0.731005,-0.185412,1.017343,0.061779,8.280634,-0.591464,-0.294219,0.792504,0.170586,8.685175,-0.479013,-0.173994,1.194294,0.050361,1.490948
1788152140.476016,4.878870,7.687784,-0.536177,-0.060068,8.656902,-0.763483,-0.127106,0.995419,0.067038,8.836654,-0.727537,-0.112166,1.164698,0.052098,9.010142,-0.516566,-0.060068,1.322503,0.000000,1.924338
1788152140.593157,4.996010,7.867057,-0.543813,-0.029150,8.779165,-0.780550,-0.099411,0.942330,0.070261,8.836654,-0.727537,-0.112166,0.986850,0.083016,9.010142,-0.516566,-0.060068,1.143409,0.030918,1.527600
1788152140.708964,5.111817,8.002281,-0.546543,-0.016940,8.892807,-0.793529,-0.089825,0.924142,0.072885,9.089938,-0.765945,-0.076167,1.109565,0.059227,9.293995,-0.526303,-0.016940,1.291872,0.000000,1.173446
1788152140.808207,5.211060,8.107176,-0.548597,-0.023307,8.969058,-0.801737,-0.099446,0.898288,0.076140,9.179587,-0.779744,-0.085689,1.097039,0.062383,9.399727,-0.528431,-0.023307,1.292709,0.000000,1.052456
1788152140.887707,5.290560,8.206094,-0.551613,-0.039332,9.045895,-0.810897,-0.118834,0.878916,0.079502,9.262738,-0.793653,-0.104664,1.084011,0.065332,9.499942,-0.531571,-0.039332,1.294003,0.000000,1.247030
1788152140.991581,5.394434,8.298855,-0.556296,-0.061343,9.118964,-0.821369,-0.142844,0.861882,0.081501,9.344444,-0.808900,-0.129457,1.075670,0.068114,9.599007,-0.536562,-0.061343,1.300302,0.000000,0.892623
1788152141.091443,5.494296,8.424973,-0.566276,-0.095737,9.218702,-0.837613,-0.179924,0.838826,0.084187,9.456101,-0.831152,-0.166423,1.064605,0.070686,9.729154,-0.546804,-0.095737,1.304327,0.000000,1.267027
1788152141.177445,5.580299,8.544088,-0.579948,-0.131768,9.309914,-0.858130,-0.220091,0.814785,0.088323,9.456101,-0.831152,-0.166423,0.945976,0.034655,9.729154,-0.546804,-0.095737,1.185530,0.036031,1.400181
1788152141.290227,5.693080,8.657903,-0.597365,-0.169527,9.391207,-0.881566,-0.263397,0.786451,0.093870,9.652317,-0.884170,-0.245462,1.034948,0.075934,9.965602,-0.578151,-0.169527,1.307841,0.000000,1.017440
1788152141.391329,5.794183,8.770229,-0.618923,-0.207511,9.469441,-0.909023,-0.306401,0.757004,0.098890,9.652317,-0.884170,-0.245462,0.921105,0.037951,9.965602,-0.578151,-0.169527,1.196068,0.037983,1.131468
1788152141.507604,5.910458,8.885307,-0.646010,-0.251800,9.494505,-0.924527,-0.359783,0.669847,0.107982,9.835556,-0.954185,-0.334391,0.998973,0.082590,10.194978,-0.626870,-0.251800,1.309811,0.000000,1.016702
1788152141.606235,6.009088,8.972397,-0.670254,-0.287436,9.514153,-0.945622,-0.403063,0.607722,0.115627,9.835556,-0.954185,-0.334391,0.908659,0.046955,10.194978,-0.626870,-0.251800,1.223350,0.035636,0.916354
1788152141.711735,6.114588,9.052820,-0.695781,-0.322206,9.538695,-0.967607,-0.448551,0.556744,0.126345,9.942951,-1.017602,-0.414041,0.946521,0.091835,10.363896,-0.676645,-0.322206,1.311216,0.000000,0.808989
1788152141.805216,6.208069,9.122214,-0.720406,-0.353570,9.542607,-0.988717,-0.486213,0.498720,0.132643,9.942951,-1.017602,-0.414041,0.872889,0.060470,10.363896,-0.676645,-0.322206,1.242453,0.031364,0.777332
1788152141.911932,6.314785,9.189547,-0.746488,-0.382069,9.548957,-1.012681,-0.519271,0.447253,0.137202,10.016982,-1.079456,-0.485481,0.891918,0.103412,10.503037,-0.727875,-0.382069,1.313622,0.000000,0.683708
1788152142.008201,6.411055,9.254310,-0.773740,-0.409692,9.551415,-1.036449,-0.547767,0.396595,0.138076,10.052286,-1.112257,-0.518778,0.866810,0.109087,10.569050,-0.755465,-0.409692,1.314867,0.000000,0.721918
1788152142.109425,6.512278,9.319736,-0.803275,-0.434486,9.561725,-1.063876,-0.571039,0.355628,0.136553,10.089635,-1.147778,-0.548549,0.843461,0.114063,10.636289,-0.785661,-0.434486,1.316670,0.000000,0.709967
1788152142.207994,6.610847,9.386835,-0.835465,-0.457391,9.577286,-1.092867,-0.590465,0.320200,0.133075,10.089635,-1.147778,-0.548549,0.769070,0.091159,10.636289,-0.785661,-0.434486,1.250446,0.022905,0.753936
1788152142.308530,6.711383,9.457124,-0.870970,-0.473802,9.601914,-1.127745,-0.603626,0.294784,0.129824,10.171733,-1.227968,-0.594972,0.798820,0.121170,10.777598,-0.854983,-0.473802,1.320571,0.000000,0.784418
1788152142.393489,6.796343,9.527252,-0.907880,-0.492381,9.633204,-1.164069,-0.619821,0.277234,0.127440,10.171733,-1.227968,-0.594972,0.719592,0.102591,10.777598,-0.854983,-0.473802,1.251465,0.018579,0.937711
1788152142.492409,6.895262,9.587672,-0.940952,-0.507202,9.655950,-1.194636,-0.629835,0.262712,0.122633,10.246369,-1.307993,-0.632134,0.754056,0.124932,10.910712,-0.926128,-0.507202,1.323123,0.000000,0.693335
1788152142.590824,6.993678,9.656863,-0.980188,-0.524255,9.688796,-1.232371,-0.638745,0.254197,0.114490,10.246369,-1.307993,-0.632134,0.674517,0.107879,10.910712,-0.926128,-0.507202,1.255014,0.017053,0.806427
1788152142.699664,7.102517,9.718475,-1.016629,-0.540085,9.719131,-1.266104,-0.648509,0.249476,0.108424,10.319773,-1.391546,-0.665171,0.708606,0.125085,11.043216,-1.002608,-0.540085,1.324815,0.000000,0.665472
1788152142.753903,7.156756,9.772594,-1.049772,-0.555479,9.746874,-1.297031,-0.657492,0.248593,0.102013,10.319773,-1.391546,-0.665171,0.645146,0.109692,11.043216,-1.002608,-0.540085,1.271496,0.015394,1.150448
1788152142.861380,7.264233,9.817484,-1.078264,-0.573370,9.766405,-1.322733,-0.665470,0.249748,0.092100,10.295168,-1.386318,-0.663837,0.568400,0.090468,11.098268,-1.036194,-0.555479,1.281475,0.017891,0.493346
1788152142.921308,7.324161,9.871783,-1.114303,-0.596803,9.798141,-1.356807,-0.680352,0.253438,0.083549,10.388965,-1.492051,-0.715569,0.640446,0.118766,11.199295,-1.101781,-0.596803,1.327571,0.000000,1.100198
1788152143.022751,7.425604,9.908797,-1.140108,-0.615851,9.816956,-1.378602,-0.692278,0.255566,0.076427,10.399029,-1.516194,-0.731002,0.617874,0.115151,11.237312,-1.128145,-0.615851,1.328569,0.000000,0.441733
1788152143.124671,7.527524,9.963914,-1.180527,-0.645862,9.853648,-1.416551,-0.713810,0.260511,0.067948,10.425391,-1.556782,-0.756755,0.595423,0.110894,11.293980,-1.169537,-0.645862,1.330111,0.000000,0.670518
1788152143.224672,7.627526,10.017679,-1.222683,-0.678066,9.891721,-1.456224,-0.738634,0.265342,0.060568,10.425391,-1.556782,-0.756755,0.527116,0.078690,11.293980,-1.169537,-0.645862,1.277408,0.032204,0.683174
1788152143.325845,7.728698,10.071003,-1.267052,-0.706744,9.930233,-1.498098,-0.758005,0.270552,0.051261,10.472656,-1.640748,-0.807523,0.548612,0.100779,11.403716,-1.257795,-0.706744,1.332745,0.000000,0.685967
1788152143.441779,7.844632,10.133330,-1.322480,-0.743871,9.979975,-1.552171,-0.787556,0.276180,0.043685,10.472656,-1.640748,-0.807523,0.465228,0.063652,11.403716,-1.257795,-0.706744,1.272031,0.037127,0.719248
1788152143.540832,7.943686,10.187260,-1.374435,-0.784349,10.023236,-1.601255,-0.820362,0.279913,0.036014,10.525575,-1.744013,-0.873245,0.501043,0.088897,11.523366,-1.367854,-0.784349,1.336122,0.000000,0.757781
1788152143.640597,8.043450,10.240083,-1.429822,-0.828413,10.068087,-1.653097,-0.858110,0.281841,0.029697,10.525575,-1.744013,-0.873245,0.424525,0.044832,11.523366,-1.367854,-0.784349,1.284778,0.044064,0.765383
1788152143.741816,8.144669,10.291299,-1.488653,-0.876255,10.111970,-1.708921,-0.900255,0.284037,0.024000,10.496079,-1.734450,-0.867064,0.319924,0.009191,11.577906,-1.424732,-0.828413,1.288193,0.047842,0.770656
1788152143.841621,8.244474,10.340319,-1.551345,-0.933273,10.154416,-1.768183,-0.951545,0.285620,0.018272,10.577390,-1.906481,-1.004056,0.426994,0.070783,11.681244,-1.549436,-0.933273,1.340926,0.000000,0.797492
1788152143.943944,8.346797,10.385092,-1.616054,-0.991288,10.194166,-1.830188,-1.004637,0.286890,0.013349,10.577390,-1.906481,-1.004056,0.348320,0.012768,11.681244,-1.549436,-0.933273,1.297862,0.058015,0.773647
1788152144.040530,8.443384,10.428359,-1.687906,-1.058998,10.233990,-1.900324,-1.068496,0.287925,0.009498,10.593028,-2.028821,-1.118759,0.378602,0.059761,11.772798,-1.690421,-1.058998,1.344442,0.000000,0.862909
1788152144.142668,8.545521,10.466595,-1.762395,-1.126457,10.269789,-1.975218,-1.133983,0.289873,0.007527,10.596463,-2.096063,-1.181189,0.358050,0.054732,11.812930,-1.767871,-1.126457,1.346346,0.000000,0.820637
1788152144.240525,8.643378,10.503671,-1.849421,-1.205098,10.303822,-2.063086,-1.211263,0.292562,0.006166,10.602265,-2.177764,-1.255151,0.342826,0.050053,11.851975,-1.858943,-1.205098,1.348337,0.000000,0.965549
1788152144.341537,8.744390,10.534712,-1.942613,-1.288199,10.333052,-2.156112,-1.292820,0.293681,0.004621,10.602265,-2.177764,-1.255151,0.244662,0.033049,11.851975,-1.858943,-1.205098,1.319917,0.083102,0.972423
1788152144.444190,8.847043,10.558862,-2.043594,-1.376948,10.355364,-2.259201,-1.381695,0.296475,0.004747,10.603272,-2.362337,-1.419064,0.321822,0.042117,11.910107,-2.061084,-1.376948,1.351357,0.000000,1.015518
1788152144.504508,8.907362,10.569653,-2.109426,-1.435504,10.366509,-2.323504,-1.439742,0.295122,0.004238,10.603272,-2.362337,-1.419064,0.255136,0.016440,11.910107,-2.061084,-1.376948,1.341324,0.058556,1.098230
1788152144.612988,9.015841,10.578616,-2.218423,-1.533987,10.375207,-2.430774,-1.537064,0.294055,0.003078,10.579306,-2.526389,-1.570120,0.307968,0.036134,11.931112,-2.241346,-1.533987,1.352691,0.000000,1.010815
1788152144.691509,9.094362,10.577515,-2.314188,-1.622806,10.373804,-2.523762,-1.625084,0.292266,0.002278,10.579306,-2.526389,-1.570120,0.212209,0.052686,11.931112,-2.241346,-1.533987,1.355556,0.088819,1.218464
1788152144.792831,9.195684,10.571626,-2.380972,-1.685091,10.367852,-2.588072,-1.687401,0.290541,0.002310,10.537116,-2.677159,-1.716199,0.298190,0.031109,11.924686,-2.407434,-1.685091,1.353319,0.000000,0.662035
1788152144.892439,9.295293,10.558635,-2.462555,-1.763003,10.354711,-2.671457,-1.767415,0.291934,0.004412,10.508620,-2.754258,-1.791797,0.295960,0.028794,11.911640,-2.491895,-1.763003,1.353323,0.000000,0.827065
1788152144.991492,9.394345,10.539307,-2.542809,-1.840278,10.335999,-2.752485,-1.847194,0.292059,0.006916,10.474890,-2.830603,-1.867246,0.294915,0.026968,11.892063,-2.575189,-1.840278,1.353144,0.000000,0.833337
1788152145.096542,9.499395,10.513929,-2.621327,-1.916974,10.311507,-2.831487,-1.926101,0.291790,0.009127,10.436053,-2.905467,-1.942605,0.294618,0.025631,11.866138,-2.656731,-1.916974,1.352672,0.000000,0.788546
1788152145.206425,9.609278,10.475701,-2.712898,-2.008396,10.274732,-2.923077,-2.019356,0.290798,0.010960,10.384444,-2.994264,-2.033058,0.295794,0.024662,11.826683,-2.752203,-2.008396,1.351553,0.000000,0.899751
1788152145.306617,9.709471,10.434429,-2.791848,-2.090661,10.233380,-3.002189,-2.103259,0.290971,0.012598,10.330959,-3.070099,-2.114669,0.296866,0.024008,11.783925,-2.834587,-2.090661,1.350173,0.000000,0.889134
1788152145.407001,9.809854,10.386367,-2.867581,-2.174082,10.185928,-3.076064,-2.187100,0.289208,0.013017,10.272232,-3.141646,-2.197684,0.296882,0.023601,11.734865,-2.912566,-2.174082,1.349248,0.000000,0.894632
1788152145.509511,9.912364,10.342820,-2.925384,-2.245890,10.144575,-3.130209,-2.260405,0.285051,0.014514,10.220758,-3.193685,-2.269117,0.294762,0.023227,11.691656,-2.970698,-2.245890,1.349598,0.000000,0.705236
1788152145.612615,10.015468,10.297908,-2.977122,-2.315075,10.098095,-3.181738,-2.331467,0.285995,0.016392,10.167212,-3.241429,-2.338056,0.294855,0.022981,11.645483,-3.024451,-2.315075,1.348406,0.000000,0.664652
1788152145.709616,10.112469,10.249213,-3.025862,-2.385041,10.049523,-3.229184,-2.402002,0.284984,0.016962,10.109862,-3.286764,-2.407977,0.295785,0.022936,11.594925,-3.075634,-2.385041,1.346632,0.000000,0.710283
1788152145.810461,10.213314,10.189104,-3.077913,-2.463518,9.989023,-3.279213,-2.480370,0.283820,0.016853,10.040050,-3.336331,-2.486406,0.298323,0.022888,11.531261,-3.131170,-2.463518,1.343213,0.000000,0.791459
1788152145.870113,10.272966,10.117013,-3.130789,-2.549874,9.914002,-3.331588,-2.566320,0.285540,0.016446,9.955713,-3.388196,-2.572646,0.303769,0.022772,11.452349,-3.189300,-2.549874,1.336617,0.000000,1.508159
1788152145.975697,10.378550,10.053160,-3.170237,-2.620682,9.847589,-3.369620,-2.636299,0.286379,0.015618,9.883002,-3.424955,-2.643321,0.306325,0.022639,11.383848,-3.231895,-2.620682,1.332116,0.000000,0.706579
1788152146.076816,10.479669,9.947951,-3.222913,-2.731841,9.737582,-3.420606,-2.744823,0.288683,0.012982,9.764503,-3.475678,-2.754171,0.312320,0.022330,11.269369,-3.289376,-2.731841,1.323089,0.000000,1.164971
1788152146.176882,10.579736,9.812215,-3.271315,-2.866483,9.592150,-3.469138,-2.877100,0.295909,0.010617,9.606658,-3.523335,-2.888188,0.325220,0.021705,11.114733,-3.344500,-2.866483,1.304572,0.000000,1.440850
1788152146.276712,10.679565,9.651237,-3.303797,-3.019079,9.423705,-3.497449,-3.027084,0.298785,0.008005,9.429272,-3.551110,-3.039934,0.332313,0.020855,10.939095,-3.379886,-3.019079,1.290103,0.000000,1.640903
1788152146.342848,10.745701,9.469678,-3.311429,3.100012,9.226951,-3.498519,3.094969,0.306463,0.005043,9.220800,-3.551608,3.080203,0.345871,0.019809,10.731092,-3.388308,3.100012,1.263755,0.000000,2.763758
1788152146.443497,10.846350,9.335468,-3.298167,2.988975,9.116841,-3.479643,2.986897,0.284132,0.002078,9.100815,-3.534072,2.970310,0.332736,0.018665,10.610324,-3.376544,2.988975,1.277263,0.000000,1.334143
1788152146.542537,10.945390,9.186662,-3.266795,2.879688,9.047787,-3.456061,2.881655,0.234751,0.001967,9.027933,-3.513575,2.862469,0.293420,0.017219,10.535894,-3.360893,2.879688,1.352509,0.000000,1.535438
1788152146.642481,11.045334,9.092444,-3.237942,2.818650,9.044653,-3.446804,2.824684,0.214260,0.006034,9.029465,-3.509827,2.803282,0.279084,0.015369,10.535894,-3.360893,2.818650,1.448677,0.000000,0.985835
1788152146.743706,11.146559,9.054261,-3.224373,2.794033,9.044653,-3.446804,2.824684,0.222638,0.030652,9.030633,-3.505581,2.780949,0.282199,0.013083,10.535894,-3.360893,2.794033,1.487909,0.000000,0.400314
1788152146.844596,11.247450,9.054661,-3.224362,2.794227,9.044653,-3.446804,2.824684,0.222666,0.030457,9.031848,-3.502381,2.786806,0.278953,0.007422,10.535894,-3.360893,2.794227,1.487512,0.000000,0.003966
1788152146.944626,11.347479,9.054961,-3.224354,2.794187,9.044653,-3.446804,2.824684,0.222688,0.030497,9.032731,-3.498924,2.791777,0.275469,0.002410,10.535714,-3.360828,2.794187,1.487028,0.000000,0.003000
1788152147.048376,11.451229,9.500600,-3.694930,-3.115065,9.044653,-3.446804,2.824684,0.519090,0.343436,9.020781,-3.490850,2.793831,0.521416,0.374290,10.522816,-3.356140,2.791810,1.076896,0.376310,6.364394
1788152147.144598,11.547451,9.461509,-3.695792,-3.119955,9.015390,-3.492378,-3.119408,0.490305,0.000547,8.978387,-3.480929,-3.113684,0.528746,0.006271,10.478624,-3.348824,-3.119955,1.074668,0.000000,0.398181
1788152147.244714,11.647568,9.397416,-3.696932,-3.126709,8.977351,-3.542156,-3.131019,0.447672,0.004310,8.923600,-3.483127,-3.121196,0.519821,0.005512,10.421007,-3.349876,-3.126709,1.080827,0.000000,0.644727
