time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad
0.739824,0.785555,-0.071991,0.029604,0.785555,-0.071991,0.029604,0.000000,0.000000,0.785555,-0.071991,0.029604,0.000000,0.000000,0.785555,-0.071991,0.029604,0.000000,0.000000
1.753572,1.321353,-0.077564,-0.048673,1.303176,-0.070413,-0.028107,0.019534,0.020566,1.303150,-0.070152,-0.026535,0.019655,0.022138,1.303571,-0.070019,-0.026240,0.019317,0.022432
2.762622,4.377194,-0.182729,-0.141323,4.366150,-0.169508,-0.166509,0.017227,0.025186,4.369709,-0.160731,-0.160323,0.023236,0.019000,4.371232,-0.143978,-0.154037,0.039207,0.012714
3.793665,6.598367,-0.230227,-0.005127,6.550195,-0.314060,-0.037109,0.096688,0.031982,6.559556,-0.302608,-0.034526,0.082130,0.029399,6.566494,-0.248230,-0.021872,0.036606,0.016744
4.891864,9.066327,-0.439506,-0.196930,8.982311,-0.587333,-0.217373,0.170034,0.020443,9.008131,-0.569239,-0.207803,0.142188,0.010873,9.030492,-0.448707,-0.183987,0.036997,0.012943
5.939348,10.152256,-0.810285,-0.479676,10.020491,-1.021838,-0.524743,0.249232,0.045067,10.079512,-1.000457,-0.509069,0.203610,0.029393,10.146564,-0.811815,-0.462199,0.005893,0.017477
6.998536,10.814834,-1.337940,-0.904967,10.570837,-1.580114,-0.942139,0.343777,0.037172,10.652548,-1.559460,-0.934844,0.274604,0.029877,10.802635,-1.307330,-0.865006,0.032951,0.039961
8.005710,11.059599,-2.416280,-1.797757,10.744531,-2.652983,-1.795598,0.394076,0.002158,10.822810,-2.645603,-1.800212,0.329634,0.002455,11.114500,-2.358730,-1.720816,0.079537,0.076941
9.058531,10.684061,-3.063657,-2.411026,10.325666,-3.310069,-2.422997,0.434932,0.011971,10.378755,-3.311956,-2.431675,0.393528,0.020649,10.770392,-3.051477,-2.355437,0.087186,0.055589
10.108698,10.049579,-3.361332,-2.961822,9.689293,-3.590810,-2.967254,0.427160,0.005432,9.722093,-3.593984,-2.975614,0.401713,0.013792,10.165473,-3.377247,-2.909970,0.116982,0.051852
11.159652,9.469315,-3.360975,2.977388,9.102703,-3.587479,2.958618,0.430939,0.018770,9.112363,-3.587462,2.938669,0.422743,0.038718,9.572269,-3.405688,2.993135,0.112245,0.015747
12.165425,9.361611,-3.338747,2.907610,9.007158,-3.566039,2.883632,0.421068,0.023977,9.006167,-3.564691,2.880066,0.421178,0.027544,9.470952,-3.386468,2.922171,0.119301,0.014561
