time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad,gt_speed_mps
1.406899,0.785568,-0.071998,0.029611,0.785568,-0.071998,0.029611,0.000000,0.000000,1.325554,-0.064377,0.022830,0.540039,0.006781,0.785568,-0.071998,0.029611,0.000000,0.000000,0.000000
1.511103,0.785568,-0.071998,0.029611,0.785568,-0.071998,0.029611,0.000000,0.000000,0.785568,-0.071998,0.029611,0.000000,0.000000,0.785568,-0.071998,0.029611,0.000000,0.000000,0.000000
1.614616,0.785568,-0.071998,0.029611,0.785568,-0.071998,0.029611,0.000000,0.000000,1.323934,-0.064400,0.024042,0.538420,0.005569,0.785568,-0.071998,0.029611,0.000000,0.000000,0.000000
1.726062,0.785568,-0.071998,0.029611,0.785568,-0.071998,0.029611,0.000000,0.000000,1.323086,-0.064412,0.024546,0.537572,0.005065,0.785568,-0.071998,0.029611,0.000000,0.000000,0.000000
1.832035,0.785568,-0.071998,0.029611,0.785568,-0.071998,0.029611,0.000000,0.000000,1.322211,-0.064424,0.024998,0.536696,0.004614,0.785568,-0.071998,0.029611,0.000000,0.000000,0.000000
1.943035,0.785568,-0.071998,0.029611,0.785568,-0.071998,0.029611,0.000000,0.000000,0.785568,-0.071998,0.029611,0.000000,0.000000,0.785568,-0.071998,0.029611,0.000000,0.000000,0.000000
2.049034,0.785568,-0.071998,0.029611,0.785568,-0.071998,0.029611,0.000000,0.000000,0.785568,-0.071998,0.029611,0.000000,0.000000,0.785568,-0.071998,0.029611,0.000000,0.000000,0.000000
2.144184,0.785568,-0.071998,0.029611,0.785568,-0.071998,0.029611,0.000000,0.000000,1.319424,-0.064463,0.026098,0.533909,0.003513,0.785568,-0.071998,0.029611,0.000000,0.000000,0.000000
2.245918,0.811760,-0.071323,0.025766,0.812865,-0.071184,0.029590,0.001114,0.003824,1.345755,-0.063756,0.026395,0.534049,0.000629,0.812876,-0.071189,0.029611,0.001125,0.003846,0.257879
2.306747,0.897446,-0.069591,0.012749,0.900172,-0.068931,0.021641,0.002804,0.008892,1.432095,-0.061780,0.018745,0.534706,0.005996,0.900215,-0.068948,0.021695,0.002842,0.008945,1.421534
2.399426,0.960157,-0.069037,0.003046,1.000500,-0.067272,0.011480,0.040381,0.008434,1.000499,-0.067280,0.011550,0.040380,0.008504,1.000504,-0.067280,0.011558,0.040385,0.008512,0.677327
2.464517,1.132083,-0.070757,-0.022078,1.135260,-0.066997,-0.007388,0.004923,0.014690,1.665095,-0.060395,-0.009777,0.533113,0.012301,1.135274,-0.066991,-0.007272,0.004936,0.014806,2.738770
2.563534,1.244726,-0.073930,-0.035473,1.303828,-0.069378,-0.020686,0.059277,0.014786,1.303806,-0.069344,-0.020558,0.059258,0.014914,1.303812,-0.069335,-0.020533,0.059265,0.014939,1.111047
2.652671,1.478820,-0.083816,-0.049251,1.508181,-0.075120,-0.035345,0.030621,0.013906,2.035859,-0.069158,-0.037316,0.557232,0.011935,1.508200,-0.075028,-0.035163,0.030666,0.014088,2.638826
2.710342,1.678109,-0.094031,-0.052265,1.734789,-0.084629,-0.048561,0.057455,0.003705,1.734866,-0.084544,-0.048384,0.057545,0.003882,1.734872,-0.084497,-0.048333,0.057558,0.003933,3.454238
2.811951,1.839217,-0.102074,-0.045519,1.911843,-0.093254,-0.048734,0.073159,0.003215,2.437305,-0.087827,-0.050355,0.598257,0.004836,1.911907,-0.093073,-0.048477,0.073245,0.002958,1.578811
2.916487,2.058577,-0.110996,-0.035589,2.100451,-0.101523,-0.038865,0.042932,0.003277,2.624796,-0.096289,-0.040339,0.566410,0.004750,2.100557,-0.101289,-0.038575,0.043088,0.002986,2.091553
2.997193,2.265023,-0.116297,-0.015012,2.307803,-0.108482,-0.028237,0.043487,0.013225,2.830961,-0.103446,-0.029585,0.566083,0.014573,2.307904,-0.108186,-0.027922,0.043641,0.012910,2.599614
3.100428,2.406742,-0.118210,-0.014506,2.474140,-0.111946,-0.013398,0.067688,0.001108,2.474274,-0.111794,-0.013156,0.067836,0.001350,2.474302,-0.111594,-0.013035,0.067884,0.001471,1.365975
3.212939,2.593905,-0.120980,-0.015946,2.635320,-0.114138,-0.013836,0.041976,0.002110,2.635566,-0.113978,-0.013553,0.042245,0.002393,2.635603,-0.113727,-0.013411,0.042324,0.002536,1.659681
