time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad,gt_speed_mps
1.164782,0.785149,-0.071798,0.029509,0.785149,-0.071798,0.029509,0.000000,0.000000,0.785149,-0.071798,0.029509,0.000000,0.000000,0.785149,-0.071798,0.029509,0.000000,0.000000,0.000000
1.268122,0.785149,-0.071798,0.029509,0.785149,-0.071798,0.029509,0.000000,0.000000,0.785149,-0.071798,0.029509,0.000000,0.000000,0.785149,-0.071798,0.029509,0.000000,0.000000,0.000000
1.368325,0.785149,-0.071798,0.029509,0.785149,-0.071798,0.029509,0.000000,0.000000,0.785149,-0.071798,0.029509,0.000000,0.000000,0.785149,-0.071798,0.029509,0.000000,0.000000,0.000000
1.467788,0.785149,-0.071798,0.029509,0.785149,-0.071798,0.029509,0.000000,0.000000,0.785149,-0.071798,0.029509,0.000000,0.000000,0.785149,-0.071798,0.029509,0.000000,0.000000,0.000000
1.584911,0.785149,-0.071798,0.029509,0.785149,-0.071798,0.029509,0.000000,0.000000,0.785149,-0.071798,0.029509,0.000000,0.000000,0.785149,-0.071798,0.029509,0.000000,0.000000,0.000000
1.689075,0.785149,-0.071798,0.029509,0.785149,-0.071798,0.029509,0.000000,0.000000,0.785149,-0.071798,0.029509,0.000000,0.000000,0.785149,-0.071798,0.029509,0.000000,0.000000,0.000000
1.799334,0.785149,-0.071798,0.029509,0.785149,-0.071798,0.029509,0.000000,0.000000,0.785149,-0.071798,0.029509,0.000000,0.000000,0.785149,-0.071798,0.029509,0.000000,0.000000,0.000000
1.903678,0.785149,-0.071798,0.029509,0.785149,-0.071798,0.029509,0.000000,0.000000,0.785149,-0.071798,0.029509,0.000000,0.000000,0.785149,-0.071798,0.029509,0.000000,0.000000,0.000000
1.999158,0.785149,-0.071798,0.029509,0.785149,-0.071798,0.029509,0.000000,0.000000,0.785149,-0.071798,0.029509,0.000000,0.000000,0.785149,-0.071798,0.029509,0.000000,0.000000,0.000000
2.097168,0.785149,-0.071798,0.029509,0.785149,-0.071798,0.029509,0.000000,0.000000,0.785149,-0.071798,0.029509,0.000000,0.000000,0.785149,-0.071798,0.029509,0.000000,0.000000,0.000000
2.199986,0.785949,-0.071775,0.029527,0.811175,-0.071012,0.029512,0.025237,0.000015,0.811188,-0.071029,0.029527,0.025250,0.000000,0.811188,-0.071029,0.029527,0.025250,0.000000,0.007766
2.306107,0.820634,-0.070753,0.023972,0.977211,-0.066567,0.023940,0.156633,0.000032,0.977278,-0.066584,0.023970,0.156699,0.000002,0.977279,-0.066586,0.023972,0.156700,0.000000,0.331985
2.399678,0.908628,-0.069261,0.010362,1.204183,-0.062700,0.010320,0.295628,0.000042,0.977278,-0.066584,0.023970,0.068702,0.013608,0.977279,-0.066586,0.023972,0.068703,0.013610,0.924791
2.498242,1.045181,-0.069039,-0.009419,1.485013,-0.062622,-0.009463,0.439879,0.000044,1.485067,-0.062560,-0.009428,0.439934,0.000008,1.485080,-0.062556,-0.009419,0.439947,0.000000,1.393091
