record_type,name,speed_mps,value,value_2,samples
coefficient,c0,,3.061267714,,445
coefficient,c1,,2.384143606,,445
coefficient,c2,,-0.209670314,,445
coefficient,c3,,-0.044490347,,445
operating_point,,0.000000,0.000000,0.419438,445
operating_point,,2.000000,0.000000,0.435699,445
operating_point,,4.000000,0.000000,0.453272,445
operating_point,,6.000000,0.000000,0.472322,445
operating_point,,8.000000,0.000000,0.493043,445
operating_point,,10.000000,0.000000,0.515666,445
operating_point,,12.000000,0.000000,0.540465,445
operating_point,,14.000000,0.000000,0.567769,445
operating_point,,16.000000,0.175481,0.597980,445
operating_point,,18.000000,0.450193,0.631585,445
operating_point,,20.000000,0.757619,0.669193,445
operating_point,,23.000000,1.000000,0.734826,445
