motion_regime,force_curve_region,wheel_speed_bin_mps,median_wheel_speed_mps,median_body_vx_mps,median_slip_speed_mps,median_slip_ratio,slip_ratio_mad,slip_ratio_p10,slip_ratio_p90,samples
braking,asymptotic,0.0,0.0,6.5892,-6.5892,-1.0,0.0,-1.0,-1.0,102
braking,asymptotic,2.0,2.5145869335834816,3.1526500000000004,-0.6380630664165186,0.12030685446475017,0.5750818072665064,-0.4547749528017562,0.6953886617312566,2
braking,asymptotic,4.0,5.371658964005358,9.6633,-4.291641035994641,-0.4441175412120747,0.0,-0.4441175412120747,-0.4441175412120747,1
braking,asymptotic,12.0,13.131212388158925,16.180300000000003,-3.0490876118410766,-0.02993253066027632,0.38269301034014347,-0.4126255410004198,0.3527604796798672,2
braking,asymptotic,18.0,19.08754590637614,9.6633,9.42424590637614,0.9752616504068113,0.0,0.9752616504068113,0.9752616504068113,1
braking,asymptotic,42.0,43.86560670925656,22.8708,20.99480670925656,0.9179743038834043,0.0,0.9179743038834043,0.9179743038834043,1
braking,asymptotic,46.0,47.581179778203584,22.882,24.699179778203582,1.079415251210715,0.0,1.079415251210715,1.079415251210715,1
braking,post_extremum,18.0,18.20991360453276,15.361,2.8489136045327577,0.1854640716446037,0.0,0.1854640716446037,0.1854640716446037,1
braking,pre_extremum,0.0,1.4777447658822782,1.4981,-0.020355234117721777,-0.013587366743022347,0.013116345337053392,-0.02670371208007574,-0.00047102140596895514,2
braking,pre_extremum,4.0,4.6577001764346235,4.8786000000000005,-0.22089982356537652,-0.04570099911721023,0.04783885413593689,-0.0935398532531471,0.002137855018726659,2
braking,pre_extremum,14.0,15.786479792216095,15.361,0.42547979221609467,0.027698704004693358,0.0,0.027698704004693358,0.027698704004693358,1
braking,pre_extremum,16.0,17.03546720731895,15.3609,1.6745672073189475,0.10901491496715345,0.0,0.10901491496715345,0.10901491496715345,1
braking,pre_extremum,18.0,19.733801976209318,18.655,1.0788019762093164,0.05782910620258999,0.010041436509931653,0.018066528489193365,0.06787054271252164,3
steady,asymptotic,0.0,0.8103520838949788,1.4984,-0.6880479161050211,-0.4591884117091706,0.0,-0.4591884117091706,-0.4591884117091706,1
steady,asymptotic,2.0,2.914917269814618,4.907450000000001,-1.860103424831192,-0.37904071808018475,0.03463643170257283,-0.4391273734554541,0.8927637867674255,4
steady,asymptotic,4.0,5.478515053720527,9.6597,-4.184784946279472,-0.4330596117557638,0.037912672641515155,-0.48776149024619786,-0.39514693911424864,3
steady,asymptotic,6.0,6.707212920824635,9.6633,-2.956087079175364,-0.30590865223840347,0.0,-0.30590865223840347,-0.30590865223840347,1
steady,asymptotic,8.0,9.214625960286746,4.9225,4.2805634966966,0.8697327136348416,0.10059159825203012,-0.44793051719042165,0.9703243118868717,5
steady,asymptotic,10.0,11.532439507626105,18.65215,-7.102160492373895,-0.3811294952690031,0.0019846782259926865,-0.4023766053778931,-0.3789027212858237,4
steady,asymptotic,12.0,13.528315196327348,18.216,-4.687684803672653,-0.2573388671317881,0.0,-0.2573388671317881,-0.2573388671317881,1
steady,asymptotic,14.0,14.750046065259195,19.1057,-5.093532179938732,-0.26659751696816825,0.05214303089987754,-0.3553132483693106,0.6014563038597198,5
steady,asymptotic,18.0,18.60732197913292,9.660499999999999,8.946821979132917,0.9261163004251509,0.026949598480943304,0.8991667019442077,0.9530658989060943,2
steady,asymptotic,20.0,20.606845001699984,9.6461,10.960745001699983,1.1362877226754837,0.0,1.1362877226754837,1.1362877226754837,1
steady,asymptotic,22.0,23.52202628136716,18.527,4.99502628136716,0.26960793875787553,0.0,0.26960793875787553,0.26960793875787553,1
steady,asymptotic,24.0,24.937106536025233,18.73415,6.406311250060284,0.34904633400474416,0.02663769057483864,0.28411171909490074,0.38093361992160535,22
steady,asymptotic,26.0,26.27544525175051,18.531399999999998,7.74404525175051,0.41833789938453037,0.02203300819856363,0.39630489118596673,0.440370907583094,2
steady,asymptotic,28.0,29.297023506503496,19.0082,10.499977180565516,0.5523919771764563,0.01991516780830105,0.5143006634914893,0.5693745972528588,7
steady,asymptotic,30.0,30.517892624434026,17.20325,13.314642624434025,0.797815065899532,0.22222370671329045,0.5755913591862415,1.0200387726128224,2
steady,asymptotic,34.0,34.60763476280263,18.5603,16.04733476280263,0.8646053545903153,0.0,0.8646053545903153,0.8646053545903153,1
steady,asymptotic,36.0,37.26602976204076,18.6525,18.61352976204076,0.9979107230687982,0.007294553599514142,0.6154774824150151,1.0052052766683124,3
steady,asymptotic,38.0,39.18847178909688,18.9214,20.26707178909688,1.0714622073451603,0.02051570604686681,1.0509465012982935,1.091977913392027,2
steady,asymptotic,40.0,41.086332311016115,18.7518,22.334532311016115,1.190986204657983,0.01437447027313521,1.176611734384848,1.2053606749311183,2
steady,asymptotic,42.0,43.74278271138188,19.0931,24.649682711381878,1.2910256957425394,0.0,1.2910256957425394,1.2910256957425394,1
steady,asymptotic,44.0,45.027510150226114,20.912149999999997,24.115360150226117,1.173543046998114,0.21743693307919726,0.9561061139189168,1.3909799800773113,2
steady,asymptotic,48.0,48.511938720726405,22.8787,25.633238720726407,1.120397519121559,0.0,1.120397519121559,1.120397519121559,1
steady,post_extremum,4.0,5.998836846976165,4.9219,1.0769368469761647,0.2188051051374804,0.0,0.2188051051374804,0.2188051051374804,1
steady,post_extremum,10.0,11.578818313607695,12.4981,-0.9192816863923055,-0.024559002732112256,0.21595514524637388,-0.24051414797848614,0.19139614251426162,2
steady,post_extremum,12.0,13.718975612295928,17.0295,-3.2056616502004793,-0.1882416776887448,0.018003320305498616,-0.21171621892620335,-0.1702383573832462,3
steady,post_extremum,14.0,14.483591911320127,18.495,-4.321893172891555,-0.23367900367080585,0.011253576178132246,-0.2449325798489381,-0.17222900301649258,5
steady,post_extremum,16.0,16.00120045722758,18.864,-2.8627995427724215,-0.15175994183483998,0.0,-0.15175994183483998,-0.15175994183483998,1
steady,post_extremum,18.0,18.049264309388345,22.8072,-4.7579356906116566,-0.20861551135657408,0.0,-0.20861551135657408,-0.20861551135657408,1
steady,post_extremum,20.0,21.775174493286997,18.66685,3.1083244932869967,0.16650988089943158,0.004156471326068098,0.1623534095733635,0.1706663522254997,2
steady,pre_extremum,0.0,1.4817389571912318,1.4989,-0.017161042808768068,-0.01144909120606316,0.021442518037422642,-0.022108070225499283,0.0112838690431485,7
steady,pre_extremum,4.0,4.864535125296937,4.9218,-0.05756487470306304,-0.011695185937519156,0.024806925098326237,-0.13098656743525,0.032989316738793094,5
steady,pre_extremum,8.0,9.610916496319582,9.6617,-0.015783503680417255,-0.0016395549544929472,0.03297433138825057,-0.09652849041746928,0.03133477643375763,3
steady,pre_extremum,10.0,10.267485783085034,9.6633,0.6041857830850343,0.06252375307452261,0.0,0.06252375307452261,0.06252375307452261,1
steady,pre_extremum,14.0,15.778045521377283,16.6355,-1.8309927581089767,-0.1100653877616529,0.006811982838850636,-0.11687737060050353,0.032486743675385274,3
steady,pre_extremum,16.0,16.353954554915067,15.36045,0.8848910915177619,0.05762711392596608,0.009976965815948424,-0.08184936280448846,0.06961733202951602,10
steady,pre_extremum,18.0,19.69468620123751,18.5853,1.1406862012375107,0.061479260603509264,0.0071834317334541625,0.047581733400633375,0.06866269233696343,7
steady,pre_extremum,20.0,21.390375276827356,19.0701,2.3005466938898067,0.12344836490659362,0.006041535263179923,0.07505064052141984,0.12830226349586868,7
steady,pre_extremum,24.0,24.960793835634544,22.8671,2.0792938356345445,0.09087226954677555,0.011692659591037519,0.06526481431986976,0.10256492913781307,11
traction,asymptotic,2.0,3.3885505931582043,1.9127,1.5382460326485123,0.8042275488307169,0.9083486915484369,-0.282345216096278,1.7125762403791538,3
traction,asymptotic,4.0,5.35067112992664,9.2157,-3.2960491914231085,-0.3576558689435538,0.07959540839612084,-0.4372512773396746,0.32188348917127696,3
traction,asymptotic,6.0,7.239546091679354,4.4511,2.7884460916793534,0.6264622434183356,0.25559241539149824,0.3708698280268373,3.983553663885371,3
traction,asymptotic,8.0,9.123277988922945,3.8977500000000003,5.345267475973067,1.4089851840156622,1.529005364296648,-0.3951350266702514,3.8102465241447003,14
traction,asymptotic,10.0,10.772877554278237,5.6157,4.623649758451018,0.8233434404350335,0.6537809561897141,-0.31777715077969537,1.7715431432964055,17
traction,asymptotic,12.0,13.398941838223452,5.0184,8.380541838223452,1.6699629041573913,1.345515455034116,-0.3472599610924575,3.7542509552070618,5
traction,asymptotic,14.0,15.443865867453924,8.6185,6.927196894109105,0.8037589945012596,0.525967040845575,0.27779195365568465,1.8594458662875202,7
traction,asymptotic,16.0,16.467223566121376,9.027149999999999,8.730441260670585,0.9671469814507769,0.5662149703049218,0.3937048663232934,7.600330458962755,20
traction,asymptotic,18.0,19.71490465423249,9.4718,10.216775191042172,1.0826525083759508,0.7111896333756322,0.28750085489574034,4.214341731924275,23
traction,asymptotic,20.0,20.32862951027641,10.40465,9.706119528703518,0.9331418392080412,0.48044331631650694,0.43643190793212144,7.654323298219002,20
traction,asymptotic,22.0,23.50545532426063,8.0211,15.602519387917717,1.945184499372619,1.2022414082377886,0.5772789122868115,2.575028566861949,7
traction,asymptotic,24.0,24.911394909682798,13.1196,12.220757590972235,0.9314885812808497,0.5170751097494319,0.30561030661571975,4.626468950858412,37
