throttle,speed_bin_mps,acceleration_mps2,acceleration_std_mps2,samples
0.06,0.0,0.23528519390244484,0.23528519390244484,2
0.06,0.5,3.32731966077609,0.1677947485453768,2
0.06,1.0,-0.0010423946000217555,2.0320423514032484,9
0.06,1.5,0.044007033376010224,0.047984939294067455,2
0.2,0.0,0.0,1.346428848642448,3
0.2,0.5,5.0017369519685495,0.0,1
0.2,1.0,3.032523291993605,0.0,1
0.2,1.5,4.165003248267129,0.7527104046328799,2
0.2,2.0,5.145270525841921,0.0,1
0.2,2.5,2.7368175105984256,0.0,1
0.2,3.0,3.673407143347557,0.8900408375470559,2
0.2,3.5,4.5258497556898405,0.0,1
0.2,4.0,6.431480879321398,0.0,1
0.2,4.5,0.0036658636457019616,0.9251500038076371,14
0.4,0.0,0.2099936808285328,0.2099936808285328,2
0.4,0.5,5.2996313869013685,0.0,1
0.4,1.0,5.155718569358651,0.0,1
0.4,1.5,5.019093733709481,0.0,1
0.4,2.0,4.8665287945823925,0.0,1
0.4,2.5,4.976589408465143,0.2490325100854034,2
0.4,3.0,3.8890454882204777,0.0,1
0.4,3.5,4.486372904212765,0.0,1
0.4,4.0,4.345261066365326,0.0,1
0.4,4.5,4.470441272359002,0.3128810098043524,2
0.4,5.0,2.8615401869508434,0.0,1
0.4,5.5,3.2436195334621964,1.0974494728980058,2
0.4,6.0,2.9788001665810624,0.6458064277234759,2
0.4,6.5,3.631592854013811,0.0,1
0.4,7.0,3.806075342577482,0.47218143341887653,2
0.4,7.5,2.0352328874924726,0.0,1
0.4,8.0,3.6538099295385362,0.040363681079335745,2
0.4,8.5,5.741728083016661,0.0,1
0.4,9.0,2.5913394227605115,0.35423878875474446,2
0.4,9.5,0.01998820047749787,0.2647110146735531,15
0.65,0.0,0.04941508258525765,2.14897683376786,3
0.65,0.5,5.179809390046224,0.0,1
0.65,1.0,5.003073006029122,0.0,1
0.65,1.5,5.160406992073306,0.0,1
0.65,2.0,4.509334497938195,0.0,1
0.65,2.5,5.772854083607026,0.0,1
0.65,3.0,2.4739519835037704,0.0,1
0.65,3.5,3.608683561422038,0.7317713936697332,2
0.65,4.0,4.201649181331667,0.0,1
0.65,4.5,3.4721892802260563,0.5578544550289517,2
0.65,5.0,5.020995903460977,0.0,1
0.65,5.5,3.1127569079622788,0.6797078654804853,2
0.65,6.0,2.3350492519744903,0.0,1
0.65,6.5,2.911668691094048,0.57158748071515,2
