regime,events,duration_s,truth_speed_median_mps,odom_speed_mae_mps,odom_speed_p95_abs_error_mps,error_samples
high_longitudinal_slip,303,18.001961708068848,11.9791,0.11220751362944587,0.18593089742426727,303
simulator_reset,35,2.380009651184082,nan,nan,nan,0
stationary,466,41.58778786659241,0.0,0.011042187067971422,0.008458223010782024,465
straight_accelerating,60,1.3084545135498047,14.51755,0.10847646979272091,0.1742088232195229,60
straight_coasting,111,9.01534390449524,6.1745,0.29714224110131676,0.9016350920708143,111
straight_steady,94,4.429873943328857,17.45035,0.15226838386361696,0.191828250120885,94
unknown,3,0,nan,nan,nan,0
