bag_time,time,speed,steering,acceleration,jerk,steering_angle_velocity
1788891627.0024338,1788891627.0021904,0.33000001311302185,0.0,0.0,0.0,0.0
1788891627.0577302,1788891627.0575876,0.33000001311302185,0.0,0.0,0.0,0.0
1788891627.1247134,1788891627.1245368,0.33000001311302185,0.0,0.0,0.0,0.0
1788891627.1779845,1788891627.177809,0.33000001311302185,0.0,0.0,0.0,0.0
1788891627.2310805,1788891627.230911,0.33000001311302185,0.0,0.0,0.0,0.0
1788891627.3008935,1788891627.3007276,0.33000001311302185,0.0,0.0,0.0,0.0
1788891627.3558116,1788891627.3556614,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891627.406607,1788891627.4064035,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891627.4756644,1788891627.4755092,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891627.5315118,1788891627.5313554,0.3160000145435333,-0.03490666672587395,0.0,0.0,0.0
1788891627.6001642,1788891627.5998979,0.3160000145435333,-0.03490666672587395,0.0,0.0,0.0
1788891627.6515627,1788891627.6513453,0.3160000145435333,-0.03490666672587395,0.0,0.0,0.0
1788891627.7086046,1788891627.708416,0.3160000145435333,-0.03490666672587395,0.0,0.0,0.0
1788891627.7762651,1788891627.7760289,0.3160000145435333,-0.03490666672587395,0.0,0.0,0.0
1788891627.8311963,1788891627.8308902,0.3160000145435333,-0.03490666672587395,0.0,0.0,0.0
1788891627.8916397,1788891627.8911915,0.3160000145435333,-0.03490666672587395,0.0,0.0,0.0
1788891627.9592624,1788891627.9590333,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891628.0318751,1788891628.0317025,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891628.0987246,1788891628.0985634,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891628.1481364,1788891628.147937,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891628.1993368,1788891628.1991415,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891628.2543511,1788891628.2541835,0.3160000145435333,-0.03490666672587395,0.0,0.0,0.0
1788891628.3060546,1788891628.3058794,0.3160000145435333,-0.03490666672587395,0.0,0.0,0.0
1788891628.374403,1788891628.374226,0.3160000145435333,-0.03490666672587395,0.0,0.0,0.0
1788891628.4293542,1788891628.4291866,0.3160000145435333,-0.03490666672587395,0.0,0.0,0.0
1788891628.482427,1788891628.4822161,0.3160000145435333,-0.03490666672587395,0.0,0.0,0.0
1788891628.5499964,1788891628.5497184,0.3160000145435333,-0.03490666672587395,0.0,0.0,0.0
1788891628.604564,1788891628.6043525,0.3160000145435333,-0.03490666672587395,0.0,0.0,0.0
1788891628.6563623,1788891628.6561239,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891628.7246861,1788891628.7244968,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891628.7814264,1788891628.7812269,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891628.849925,1788891628.8497405,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891628.9039934,1788891628.9038172,0.3160000145435333,-0.03490666672587395,0.0,0.0,0.0
1788891628.9563785,1788891628.9561625,0.3160000145435333,-0.03490666672587395,0.0,0.0,0.0
1788891629.0312366,1788891629.0310152,0.3160000145435333,-0.03490666672587395,0.0,0.0,0.0
1788891629.0987933,1788891629.0986085,0.3160000145435333,-0.03490666672587395,0.0,0.0,0.0
1788891629.149806,1788891629.149614,0.3160000145435333,-0.03490666672587395,0.0,0.0,0.0
1788891629.2052774,1788891629.2050827,0.3160000145435333,-0.03490666672587395,0.0,0.0,0.0
1788891629.2571137,1788891629.2569335,0.3160000145435333,-0.03490666672587395,0.0,0.0,0.0
1788891629.3242488,1788891629.3240778,0.3160000145435333,-0.03490666672587395,0.0,0.0,0.0
1788891629.3780992,1788891629.3779197,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891629.4308972,1788891629.430745,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891629.500558,1788891629.5002108,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891629.5559003,1788891629.5556743,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891629.6053448,1788891629.6051865,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891629.675604,1788891629.6753883,0.3160000145435333,-0.03490666672587395,0.0,0.0,0.0
1788891629.7315776,1788891629.7313676,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891629.7990382,1788891629.798846,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891629.8485396,1788891629.848328,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891629.901695,1788891629.9015574,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891629.9564116,1788891629.9562075,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891630.0245233,1788891630.0243568,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891630.078159,1788891630.0779853,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891630.130201,1788891630.1300428,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891630.1818523,1788891630.181667,0.2879999876022339,0.09657078981399536,0.0,0.0,0.0
1788891630.251506,1788891630.251274,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891630.3074117,1788891630.3071675,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891630.3746634,1788891630.3744361,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891630.4290557,1788891630.4288676,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891630.4812627,1788891630.481059,0.3019999861717224,-0.06737244129180908,0.0,0.0,0.0
1788891630.5500007,1788891630.549796,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891630.6044323,1788891630.6042917,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891630.655749,1788891630.6555653,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891630.7264388,1788891630.7262442,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891630.7801511,1788891630.7799344,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891630.8479447,1788891630.8478072,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891630.89868,1788891630.8984742,0.2879999876022339,0.09070607274770737,0.0,0.0,0.0
1788891630.9558995,1788891630.955698,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891631.022735,1788891631.0226011,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891631.0732594,1788891631.073127,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891631.125387,1788891631.1252,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891631.1790156,1788891631.178841,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891631.2308116,1788891631.2306235,0.3019999861717224,-0.06528427451848984,0.0,0.0,0.0
1788891631.2977185,1788891631.2975798,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891631.3467698,1788891631.3466423,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891631.4014394,1788891631.4012794,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891631.4561164,1788891631.45595,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891631.5252454,1788891631.525097,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891631.5790205,1788891631.5788844,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891631.629568,1788891631.629453,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891631.7029731,1788891631.7027798,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891631.7550695,1788891631.7548864,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891631.8236485,1788891631.8234873,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891631.8782184,1788891631.8780787,0.3019999861717224,-0.06157181039452553,0.0,0.0,0.0
1788891631.9311817,1788891631.9309864,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891632.000046,1788891631.9998887,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891632.0488186,1788891632.0486495,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891632.1035943,1788891632.1034496,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891632.15621,1788891632.1559975,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891632.2221544,1788891632.222065,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891632.2776659,1788891632.2774918,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891632.3302376,1788891632.3300796,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891632.3987858,1788891632.3985674,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891632.4531608,1788891632.452988,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891632.503436,1788891632.5032935,0.2879999876022339,0.10075398534536362,0.0,0.0,0.0
1788891632.5556657,1788891632.5554876,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891632.6225972,1788891632.6224048,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891632.6756542,1788891632.6754038,0.2879999876022339,0.10471999645233154,0.0,0.0,0.0
1788891632.7276297,1788891632.7274432,0.3019999861717224,-0.06497681140899658,0.0,0.0,0.0
1788891632.7789617,1788891632.7787752,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891632.8302608,1788891632.8301196,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891632.8987625,1788891632.8985476,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891632.9529302,1788891632.9526694,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891633.0040047,1788891633.0038984,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891633.0736802,1788891633.073479,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891633.123256,1788891633.1230707,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891633.1797764,1788891633.179618,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891633.2485707,1788891633.2483878,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891633.3026416,1788891633.3024957,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891633.3546455,1788891633.3545182,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891633.421965,1788891633.4218364,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891633.4726737,1788891633.4725204,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891633.5239441,1788891633.5237858,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891633.5785139,1788891633.5783753,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891633.6325386,1788891633.6323104,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891633.700473,1788891633.700243,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
1788891633.747356,1788891633.7472014,0.3019999861717224,-0.0698133334517479,0.0,0.0,0.0
