record_type,parameter,value,speed_bin_mps,median_body_speed_mps,median_deceleration_mps2,samples
fit,intercept_mps2,5.406270401,,,,
fit,speed_gain_per_s,0.279086902,,,,
fit,max_deceleration_p95_mps2,13.953936035,,,,
fit,fit_rmse_mps2,0.065731813,,,,
fit,samples,1114.000000000,,,,
fit,bins,11.000000000,,,,
speed_bin,,,0.000000000,1.324100000,5.787040944,209
speed_bin,,,2.000000000,2.928100000,6.247454808,262
speed_bin,,,4.000000000,4.818550000,6.731998594,190
speed_bin,,,6.000000000,6.896900000,7.246735011,125
speed_bin,,,8.000000000,8.832000000,7.960925588,99
speed_bin,,,10.000000000,11.002650000,8.375162701,72
speed_bin,,,12.000000000,12.901100000,9.073090147,57
speed_bin,,,14.000000000,14.780900000,9.540085426,39
speed_bin,,,16.000000000,17.000600000,10.243941246,30
speed_bin,,,18.000000000,18.810400000,10.567692108,16
speed_bin,,,20.000000000,20.995200000,11.266350865,15
