metric,bin,samples,relative_samples,absolute_error_median,absolute_error_p95,absolute_error_max,relative_error_median_pct,relative_error_p95_pct,relative_error_max_pct,reference_median,reference_max
odom_speed_vs_truth,0-1_mps,6757,0,0.0,0.3897401059314819,10.012578589729253,nan,nan,nan,nan,nan
odom_speed_vs_truth,1-3_mps,1493,1493,0.1920245199075037,0.8270722663821206,9.284871940300002,9.632261408093777,49.03236943342831,812.8500087841334,1.993,2.9994
odom_speed_vs_truth,3-5_mps,1290,1290,0.2053059868532452,0.8775931008932276,3.366803035968487,5.067115224508484,21.881555149162665,106.21836848137352,3.7106,4.9981
odom_speed_vs_truth,5-10_mps,2567,2567,0.21689735255372344,1.1136497851227558,2.7591432786672936,3.077192902731895,15.346968942850932,49.14106595520202,7.1183,9.9981
odom_speed_vs_truth,10-15_mps,1572,1572,0.3543262092777697,1.305883510374402,2.4470089734829035,2.992154485492656,10.99173921776781,24.390333344791564,11.9721,14.9915
odom_speed_vs_truth,15-20_mps,1495,1495,0.3452371173250768,1.319741315758126,2.498965943039117,2.010297701907176,7.549449952257587,14.4485026961326,17.1172,19.989
odom_speed_vs_truth,20-23_mps,291,291,2.068530974813079,3.0966904686755967,3.9765054478950965,9.046396692060103,13.56608913542298,17.493754994919257,22.7194,22.8824
odom_position_vs_truth,distance_ge_1m,9437,9437,0.7454333837786831,5.175656180509692,20.061759191844747,3.1465621844568963,19.157784292337368,152.8096206513495,28.28930001104646,327.70360096092793
odom_position_vs_truth,distance_ge_5m,8234,8234,0.845572991752126,5.7424674179975215,20.061759191844747,2.697405661788196,10.192705110851383,152.8096206513495,37.38265001982902,327.70360096092793
odom_position_vs_truth,distance_ge_10m,7180,7180,0.9409033172202621,6.414789875094033,20.061759191844747,2.3633701562036635,6.966251128988734,152.8096206513495,46.311350042900045,327.70360096092793
odom_position_vs_truth,distance_ge_50m,3286,3286,1.7523573428928758,9.7273338971484,20.061759191844747,1.7618149261407554,5.3950451693406745,8.190145474950892,86.60975008681616,327.70360096092793
odom_position_vs_truth,distance_ge_100m,1376,1376,2.558912974575803,15.175784366896519,20.061759191844747,1.586710494395171,4.889934317430838,6.3637921009516285,182.58720016578224,327.70360096092793
odom_position_endpoint,epoch_0,1,0,0.1573,0.1573,0.1573,nan,nan,nan,0.0,0.0
odom_position_endpoint,epoch_1,1,1,0.1582,0.1582,0.1582,15819.999999999985,15819.999999999985,15819.999999999985,0.0010000000000000009,0.0010000000000000009
odom_position_endpoint,epoch_2,1,1,0.27202162753429904,0.27202162753429904,0.27202162753429904,18.492292830339835,18.492292830339835,18.492292830339835,1.4710000000000003,1.4710000000000003
odom_position_endpoint,epoch_3,1,1,0.2867688285949592,0.2867688285949592,0.2867688285949592,9.619886903554486,9.619886903554486,9.619886903554486,2.9810000000000003,2.9810000000000003
odom_position_endpoint,epoch_4,1,1,0.711554986990043,0.711554986990043,0.711554986990043,14.239928495468051,14.239928495468051,14.239928495468051,4.9969,4.9969
odom_position_endpoint,epoch_5,1,1,1.5500401757247175,1.5500401757247175,1.5500401757247175,20.966889077544604,20.966889077544604,20.966889077544604,7.3928,7.3928
odom_position_endpoint,epoch_6,1,1,1.438207715275162,1.438207715275162,1.438207715275162,13.909031008163964,13.909031008163964,13.909031008163964,10.3401,10.3401
odom_position_endpoint,epoch_7,1,1,0.8475052552678336,0.8475052552678336,0.8475052552678336,4.31599098994258,4.31599098994258,4.31599098994258,19.63640001201923,19.63640001201923
odom_position_endpoint,epoch_8,1,1,0.684249358251216,0.684249358251216,0.684249358251216,2.170593961429907,2.170593961429907,2.170593961429907,31.523600010407193,31.523600010407193
odom_position_endpoint,epoch_9,1,1,0.028602938355912433,0.028602938355912433,0.028602938355912433,0.06055185085420493,0.06055185085420493,0.06055185085420493,47.23710002652403,47.23710002652403
odom_position_endpoint,epoch_10,1,1,0.5079492310822916,0.5079492310822916,0.5079492310822916,0.6343561024539477,0.6343561024539477,0.6343561024539477,80.07320007127498,80.07320007127498
odom_position_endpoint,epoch_11,1,1,1.4271691009406813,1.4271691009406813,1.4271691009406813,1.0986455229210406,1.0986455229210406,1.0986455229210406,129.90260017136134,129.90260017136134
odom_position_endpoint,epoch_12,1,1,10.736346945227828,10.736346945227828,10.736346945227828,3.491164549558586,3.491164549558586,3.491164549558586,307.5291007576628,307.5291007576628
