steering,gt_speed_mps,gt_yaw_rate_radps,gt_curvature_rad_per_m,samples
-0.5,2.0187645826098692,-4.3745,-2.166919331596666,9
-0.5,5.619053532402054,-0.9503,-0.16912100846167988,9
-0.5,5.619353454802429,-0.9513,-0.16928993836239242,9
-0.5,5.627597320349067,-0.9398,-0.16699844471844805,9
-0.25,5.521697066120161,-1.7394,-0.31501184856238323,9
-0.25,5.524256956369789,-1.7315,-0.31343581836892653,9
-0.25,5.534983215873378,-1.6946,-0.3061617233346217,9
-0.25,5.570184888313852,-1.5852,-0.2845866038173564,9
0.0,5.6437,0.0,0.0,9
0.0,5.644,0.0,0.0,9
0.0,5.6443,0.0,0.0,9
0.0,5.6579,0.0,0.0,9
0.25,5.521193299459819,1.7399,0.31513115111731876,9
0.25,5.524941682848965,1.72925,0.31298972898991817,8
0.25,5.532450730011068,1.7033,0.3078744092126045,9
0.25,5.578723818222229,1.5546,0.27866588321187125,9
0.5,1.3317351618247237,1.7890000000000001,1.3433601899860772,8
0.5,5.619153506534592,0.9493,0.16894003676817973,9
0.5,5.619353454802429,0.9513,0.16928993836239242,9
0.5,5.630787632294438,0.9371,0.16642431950823722,9
