regime,events,duration_s,truth_speed_median_mps,odom_speed_mae_mps,odom_speed_p95_abs_error_mps,error_samples
high_curvature_turn,5,0.21329998970031738,0.25420277339163705,8.884365214813267,9.441269919844913,5
high_lateral_acceleration,257,20.596320152282715,5.619353454802429,0.3913958548294828,1.1602265829340412,257
high_longitudinal_slip,4005,245.80941915512085,8.3357,0.3430230732193274,1.0097561212704724,4005
low_curvature_turn,4,0,5.526307160753898,0.48134099954584797,0.5611298298110068,4
simulator_reset,575,43.66074204444885,nan,nan,nan,0
stationary,6342,579.6860256195068,0.0,0.052034709354229235,0.19895151848752968,6342
straight_accelerating,761,28.127101182937622,11.6367,0.4526967981794274,1.4070828626278917,761
straight_coasting,1618,135.88447260856628,4.842359916667003,0.7479928234035619,2.274622507471509,1618
straight_steady,2473,165.98589873313904,6.1234,0.3489449984656842,1.1588975431218458,2473
unknown,59,0,nan,nan,nan,0
