gt_source_stamp_s,gt_x_m,gt_y_m,gt_z_m,gt_yaw_rad,gt_vx_mps,gt_vy_mps,gt_vz_mps,gt_speed_mps,gt_ax_mps2,gt_ay_mps2,gt_accel_mps2,gt_longitudinal_accel_mps2,gt_dt_s,gt_yaw_rate_radps,gt_collision_count,odom_diagnostics_match_dt_ms,odom_diagnostics_source_stamp_s,odom_diagnostics_odom_observer_version,odom_diagnostics_odom_observer_source_stamp_s,odom_diagnostics_odom_observer_dt_s,odom_diagnostics_odom_raw_wheel_speed_mps,odom_diagnostics_odom_corrected_wheel_speed_mps,odom_diagnostics_odom_observer_speed_pred_mps,odom_diagnostics_odom_diagnostics_speed_mps,odom_diagnostics_odom_observer_body_u_mps,odom_diagnostics_odom_observer_body_v_mps,odom_diagnostics_odom_observer_ax_mps2,odom_diagnostics_odom_observer_ay_mps2,odom_diagnostics_odom_observer_yaw_rate_radps,odom_diagnostics_odom_observer_wheel_update_used,odom_diagnostics_odom_observer_turn_mode,odom_diagnostics_odom_observer_reset_epoch,odom_diagnostics_odom_observer_timing_degraded,odom_diagnostics_odom_observer_packet_drop_count,odom_diagnostics_odom_observer_packet_coherence_fault_count,odom_diagnostics_odom_observer_x_m,odom_diagnostics_odom_observer_y_m,odom_diagnostics_odom_observer_yaw_rad,odom_diagnostics_odom_observer_sensor_outlier,odom_diagnostics_odom_observer_left_angle_rad,odom_diagnostics_odom_observer_right_angle_rad,odom_diagnostics_odom_observer_imu_yaw_rad,odom_diagnostics_odom_observer_packet_wheel_speed_mps,ekf_odom_match_dt_ms,ekf_odom_source_stamp_s,ekf_odom_x_ekf_odom_m,ekf_odom_y_ekf_odom_m,ekf_odom_yaw_ekf_odom_rad,ekf_odom_ekf_odom_xy_variance,ekf_odom_ekf_odom_yaw_variance,ekf_match_dt_ms,ekf_source_stamp_s,ekf_x_ekf_m,ekf_y_ekf_m,ekf_yaw_ekf_rad,ekf_ekf_xy_variance,ekf_ekf_yaw_variance,amcl_match_dt_ms,amcl_source_stamp_s,current_map_pose_match_dt_ms,current_map_pose_source_stamp_s,pp_diagnostics_match_dt_ms,pp_diagnostics_source_stamp_s,amcl_scan_alignment_match_dt_ms,amcl_scan_alignment_source_stamp_s,amcl_scan_alignment_amcl_scan_stamp_s,amcl_scan_alignment_amcl_scan_matched_odom_stamp_s,amcl_scan_alignment_amcl_scan_source_error_ms,amcl_scan_alignment_amcl_scan_accepted,amcl_scan_alignment_amcl_scan_queued,amcl_scan_alignment_amcl_scan_dropped,amcl_scan_alignment_amcl_scan_bracket_before_stamp_s,amcl_scan_alignment_amcl_scan_bracket_after_stamp_s,amcl_scan_alignment_amcl_scan_processing_dropped,amcl_localization_health_match_dt_ms,amcl_localization_health_source_stamp_s,collision_match_dt_ms,collision_source_stamp_s,imu_match_dt_ms,imu_source_stamp_s,left_encoder_match_dt_ms,left_encoder_source_stamp_s,right_encoder_match_dt_ms,right_encoder_source_stamp_s,lidar_match_dt_ms,lidar_source_stamp_s,gt_reset_detected,collision_epoch,pre_collision_valid,gt_local_x_m,gt_local_y_m,gt_local_yaw_rad,gt_map_x_m,gt_map_y_m,gt_map_yaw_rad,observer_x_m,observer_y_m,observer_yaw_rad,ekf_odom_x_m,ekf_odom_y_m,ekf_odom_yaw_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,observer_xy_error_m,observer_yaw_error_rad,ekf_odom_xy_error_m,ekf_odom_yaw_error_rad,ekf_xy_error_m,ekf_yaw_error_rad,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,imu_imu_accel_norm_mps2,imu_imu_yaw_rate_radps,imu_imu_yaw_rad,left_encoder_left_encoder_rad,left_encoder_left_encoder_speed_radps,right_encoder_right_encoder_rad,right_encoder_right_encoder_speed_radps,lidar_lidar_rate_hz,gt_step_distance_m,gt_step_yaw_change_rad,collision_gt_collision_count,amcl_x_amcl_m,amcl_y_amcl_m,amcl_yaw_amcl_rad,amcl_amcl_xy_variance,amcl_amcl_yaw_variance,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_xy_error_m,amcl_yaw_error_rad,current_map_pose_x_current_map_m,current_map_pose_y_current_map_m,current_map_pose_yaw_current_map_rad,current_map_pose_current_map_xy_variance,current_map_pose_current_map_yaw_variance,current_map_x_m,current_map_y_m,current_map_yaw_rad,current_map_xy_error_m,current_map_yaw_error_rad,amcl_localization_health_amcl_health_correction_age_s,amcl_localization_health_amcl_health_correction_accepted,amcl_localization_health_amcl_health_rejected_scans,amcl_localization_health_amcl_health_degraded,amcl_localization_health_amcl_health_xy_variance,amcl_localization_health_amcl_health_yaw_variance,amcl_localization_health_amcl_health_scan_correction_distance_m,amcl_localization_health_amcl_health_scan_correction_yaw_rad,amcl_localization_health_amcl_health_applied_xy_correction_m,amcl_localization_health_amcl_health_applied_yaw_correction_rad,amcl_localization_health_amcl_health_scan_correction_x_m,amcl_localization_health_amcl_health_scan_correction_y_m,amcl_localization_health_amcl_health_applied_x_m,amcl_localization_health_amcl_health_applied_y_m,pp_diagnostics_pp_pose_x_m,pp_diagnostics_pp_pose_y_m,pp_diagnostics_pp_pose_yaw_rad,pp_diagnostics_pp_velocity_mps,pp_diagnostics_pp_valid,pp_diagnostics_pp_cross_track_error_m,pp_diagnostics_pp_closest_distance_m,pp_diagnostics_pp_heading_error_rad,pp_diagnostics_pp_lookahead_distance_m,pp_diagnostics_pp_closest_index,pp_diagnostics_pp_target_index,pp_diagnostics_pp_target_speed_mps,pp_diagnostics_pp_raw_steering_rad,pp_diagnostics_pp_command_steering_rad,pp_diagnostics_pp_command_speed_mps,pp_diagnostics_pp_target_x_m,pp_diagnostics_pp_target_y_m,pp_x_m,pp_y_m,pp_yaw_rad,pp_xy_error_m,pp_yaw_error_rad
1788998588.6721847,0.8016,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0002384185791015625,1788998588.672185,3.0,1788998588.672185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788998588.6721847,0.0,0.0,0.0,0.01,0.0001,0.0,1788998588.6721847,0.0,0.0,0.0,0.01,0.0001,,,,,,,0.0002384185791015625,1788998588.672185,1788998588.672185,1788998588.672185,0.0,0.0,0.0,0.0,1788998588.672185,1788998588.672185,0.0,,,,,,,,,,,,,0,,1,0.0,0.0,0.0,0.8006,3.1583,-1.57079632679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258192635495943,1.57079632679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788998588.7318761,0.8016,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.059691429138183594,0.0,nan,0.0,1788998588.7318761,3.0,1788998588.7318761,0.05969119071960449,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004,-0.0004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788998588.7318761,0.0,0.0,0.0,0.0100179074464,0.0001,0.0,1788998588.7318761,0.0,0.0,0.0,0.0100179074464,0.0001,,,,,,,0.0,1788998588.7318761,1788998588.7318761,1788998588.7318761,0.0,0.0,0.0,0.0,1788998588.7318761,1788998588.7318761,0.0,,,,,0.0,1788998588.7318761,0.0,1788998588.7318761,0.0,1788998588.7318761,0.0,1788998588.7318761,0,,1,0.0,0.0,0.0,0.8006,3.1583,-1.57079632679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258192635495943,1.57079632679,-0.0004,-0.0004,-0.0034,0.0034467375879228173,0.0,-1.5707407162970446,0.0,nan,0.0,nan,nan,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788998588.823022,0.8017,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.09114575386047363,0.0,0,0.0,1788998588.823022,3.0,1788998588.823022,0.09114575386047363,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788998588.823022,0.0,0.0,0.0,0.0100452511366,0.0001,0.0,1788998588.823022,0.0,0.0,0.0,0.0100452511366,0.0001,,,,,,,0.0,1788998588.823022,1788998588.823022,1788998588.823022,0.0,0.0,0.0,0.0,1788998588.823022,1788998588.823022,0.0,,,1.2552738189697266,1788998588.8242772,0.0,1788998588.823022,0.0,1788998588.823022,0.0,1788998588.823022,0.0,1788998588.823022,0,0.0,1,5.561049782335787e-09,9.999999984536261e-05,0.0,0.8006999999998453,3.1582999944389507,-1.57079632679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999999999998899e-05,0.0,9.999999999998899e-05,0.0,3.2582172034523462,1.57079632679,-0.0003,0.0001,-0.0025,0.0025199206336708304,0.0,-1.5707407162970446,0.0,0.0,0.0,0.0,nan,9.999999999998899e-05,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788998588.8726356,0.8017,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.04961371421813965,0.0,0,0.0002384185791015625,1788998588.8726358,3.0,1788998588.8726358,0.04961395263671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788998588.8726356,0.0,0.0,0.0,0.0100601352838,0.0001,0.0,1788998588.8726356,0.0,0.0,0.0,0.0100601352838,0.0001,,,,,,,0.0,1788998588.8726356,1788998588.8726356,1788998588.8726356,0.0,0.0,0.0,0.0,1788998588.8726356,1788998588.8726356,0.0,,,3.1926631927490234,1788998588.8758283,0.0,1788998588.8726356,0.0,1788998588.8726356,0.0,1788998588.8726356,0.0,1788998588.8726356,0,0.0,1,5.561049782335787e-09,9.999999984536261e-05,0.0,0.8006999999998453,3.1582999944389507,-1.57079632679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999999999998899e-05,0.0,9.999999999998899e-05,0.0,3.2582172034523462,1.57079632679,0.0002,-0.0002,-0.0029,0.002913760456866693,0.0,-1.5707407162970446,0.0,0.0,0.0,0.0,nan,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788998588.923786,0.8017,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05115032196044922,0.0,0,0.0,1788998588.923786,3.0,1788998588.923786,0.05115008354187012,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788998588.923786,0.0,0.0,0.0,0.0100754803261,0.0001,0.0,1788998588.923786,0.0,0.0,0.0,0.0100754803261,0.0001,0.0,1788998588.923786,,,,,-0.0002384185791015625,1788998588.9237857,1788998588.9237857,1788998588.9237857,0.0,0.0,0.0,0.0,1788998588.9237857,1788998588.9237857,0.0,,,1.9459724426269531,1788998588.925732,0.0,1788998588.923786,0.0,1788998588.923786,0.0,1788998588.923786,0.0,1788998588.923786,0,0.0,1,5.561049782335787e-09,9.999999984536261e-05,0.0,0.8006999999998453,3.1582999944389507,-1.57079632679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999999999998899e-05,0.0,9.999999999998899e-05,0.0,3.2582172034523462,1.57079632679,0.0002,0.0002,-0.0005,0.0005744562646538029,0.0,-1.5707407162970446,0.0,0.0,0.0,0.0,nan,0.0,0.0,0,0.8006,3.1583,-1.5707963267948963,0.00794777432456202,0.0001,0.8006,3.1583,-1.5707963267948963,9.999999999996127e-05,-4.896305583201865e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788998588.9734266,0.8017,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049640655517578125,0.0,0,0.0002384185791015625,1788998588.9734268,3.0,1788998588.9734268,0.04964089393615723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788998588.9734266,0.0,0.0,0.0,0.010090372564300001,0.0001,0.0,1788998588.9734266,0.0,0.0,0.0,0.010090372564300001,0.0001,0.0,1788998588.9734266,0.0,1788998588.9734266,,,0.0,1788998588.9734266,1788998588.9734266,1788998588.9734266,0.0,0.0,0.0,0.0,1788998588.9734266,1788998588.9734266,0.0,,,3.2753944396972656,1788998588.976702,0.0,1788998588.9734266,0.0,1788998588.9734266,0.0,1788998588.9734266,0.0,1788998588.9734266,0,0.0,1,5.561049782335787e-09,9.999999984536261e-05,0.0,0.8006999999998453,3.1582999944389507,-1.57079632679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999999999998899e-05,0.0,9.999999999998899e-05,0.0,3.2582172034523462,1.57079632679,0.0,0.0002,0.0012,0.001216552506059644,0.0,-1.5707407162970446,0.0,0.0,0.0,0.0,nan,0.0,0.0,0,0.8006,3.1583,-1.5707963267948963,0.007772702456989562,0.0001,0.8006,3.1583,-1.5707963267948963,9.999999999996127e-05,-4.896305583201865e-12,0.8006,3.1583,-1.5707963267948963,0.010090372564300001,0.0001,0.8006,3.1583,-1.5707963267948963,9.999999999996127e-05,-4.896305583201865e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788998589.023484,0.8017,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.050057411193847656,0.0,0,0.0002384185791015625,1788998589.0234842,3.0,1788998589.0234842,0.050057411193847656,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788998589.023484,0.0,0.0,0.0,0.010105389798700001,0.0001,0.0,1788998589.023484,0.0,0.0,0.0,0.010105389798700001,0.0001,0.0,1788998589.023484,0.0,1788998589.023484,,,0.0002384185791015625,1788998589.0234842,1788998589.0234842,1788998589.0234842,0.0,0.0,0.0,0.0,1788998589.0234842,1788998589.0234842,0.0,1.903533935546875,1788998589.0253875,2.6426315307617188,1788998589.0261266,0.0,1788998589.023484,0.0,1788998589.023484,0.0,1788998589.023484,0.0,1788998589.023484,0,0.0,1,5.561049782335787e-09,9.999999984536261e-05,0.0,0.8006999999998453,3.1582999944389507,-1.57079632679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999999999998899e-05,0.0,9.999999999998899e-05,0.0,3.2582172034523462,1.57079632679,-0.0003,0.0,-0.0026,0.00261725046566048,0.0,-1.5707407162970446,0.0,0.0,0.0,0.0,nan,0.0,0.0,0,0.8006,3.1583,-1.5707963267948963,0.007588167111968393,0.0001,0.8006,3.1583,-1.5707963267948963,9.999999999996127e-05,-4.896305583201865e-12,0.8006,3.1583,-1.5707963267948963,0.010105389798700001,0.0001,0.8006,3.1583,-1.5707963267948963,9.999999999996127e-05,-4.896305583201865e-12,nan,0.0,0.0,1.0,0.010090372564300001,0.0001,nan,nan,0.0,0.0,nan,nan,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1788998589.0734215,0.8017,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04993748664855957,0.0,0,0.0002384185791015625,1788998589.0734217,3.0,1788998589.0734217,0.04993748664855957,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788998589.0734215,0.0,0.0,0.0,0.0101203710403,0.0001,0.0,1788998589.0734215,0.0,0.0,0.0,0.0101203710403,0.0001,0.0,1788998589.0734215,0.0,1788998589.0734215,,,0.0,1788998589.0734215,1788998589.0734215,1788998589.0734215,0.0,0.0,0.0,0.0,1788998589.0734215,1788998589.0734215,0.0,3.8993358612060547,1788998589.0773208,3.2668113708496094,1788998589.0766883,0.0,1788998589.0734215,0.0,1788998589.0734215,0.0,1788998589.0734215,0.0,1788998589.0734215,0,0.0,1,5.561049782335787e-09,9.999999984536261e-05,0.0,0.8006999999998453,3.1582999944389507,-1.57079632679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999999999998899e-05,0.0,9.999999999998899e-05,0.0,3.2582172034523462,1.57079632679,0.0003,0.0,-0.0026,0.00261725046566048,0.0,-1.5707407162970446,0.0,0.0,0.0,0.0,nan,0.0,0.0,0,0.8006,3.1583,-1.5707963267948963,0.007409442626558583,0.0001,0.8006,3.1583,-1.5707963267948963,9.999999999996127e-05,-4.896305583201865e-12,0.8006,3.1583,-1.5707963267948963,0.0101203710403,0.0001,0.8006,3.1583,-1.5707963267948963,9.999999999996127e-05,-4.896305583201865e-12,nan,0.0,0.0,1.0,0.010105389798700001,0.0001,nan,nan,0.0,0.0,nan,nan,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1788998589.1248977,0.8017,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051476240158081055,0.0,0,0.0002384185791015625,1788998589.124898,3.0,1788998589.124898,0.051476240158081055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788998589.1248977,0.0,0.0,0.0,0.010135813928800001,0.0001,0.0,1788998589.1248977,0.0,0.0,0.0,0.010135813928800001,0.0001,0.0,1788998589.1248977,0.0,1788998589.1248977,,,0.0,1788998589.1248977,1788998589.1248977,1788998589.1248977,0.0,0.0,0.0,0.0,1788998589.1248977,1788998589.1248977,0.0,2.6476383209228516,1788998589.1275454,2.1190643310546875,1788998589.1270168,0.0,1788998589.1248977,0.0,1788998589.1248977,0.0,1788998589.1248977,0.0,1788998589.1248977,0,0.0,1,5.561049782335787e-09,9.999999984536261e-05,0.0,0.8006999999998453,3.1582999944389507,-1.57079632679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999999999998899e-05,0.0,9.999999999998899e-05,0.0,3.2582172034523462,1.57079632679,0.0,0.0,0.0,0.0,0.0,-1.5707407162970446,0.0,0.0,0.0,0.0,nan,0.0,0.0,0,0.8006,3.1583,-1.5707963267948963,0.007237921792729373,0.0001,0.8006,3.1583,-1.5707963267948963,9.999999999996127e-05,-4.896305583201865e-12,0.8006,3.1583,-1.5707963267948963,0.010135813928800001,0.0001,0.8006,3.1583,-1.5707963267948963,9.999999999996127e-05,-4.896305583201865e-12,nan,0.0,0.0,1.0,0.0101203710403,0.0001,nan,nan,0.0,0.0,nan,nan,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1788998589.1742527,0.8017,3.1583,0.0592,-1.5707407162970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04935503005981445,0.0,0,0.0002384185791015625,1788998589.174253,3.0,1788998589.174253,0.04935503005981445,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788998589.1742527,0.0,0.0,0.0,0.0101506204339,0.0001,0.0,1788998589.1742527,0.0,0.0,0.0,0.0101506204339,0.0001,0.0,1788998589.1742527,0.0,1788998589.1742527,,,0.0,1788998589.1742527,1788998589.1742527,1788998589.1742527,0.0,0.0,0.0,0.0,1788998589.1742527,1788998589.1742527,0.0,2.628803253173828,1788998589.1768816,3.3364295959472656,1788998589.1775892,0.0,1788998589.1742527,0.0,1788998589.1742527,0.0,1788998589.1742527,0.0,1788998589.1742527,0,0.0,1,5.561049782335787e-09,9.999999984536261e-05,0.0,0.8006999999998453,3.1582999944389507,-1.57079632679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999999999998899e-05,0.0,9.999999999998899e-05,0.0,3.2582172034523462,1.57079632679,-0.0003,0.0002,0.0021,0.0021307275752662515,0.0,-1.5707407162970446,0.0,0.0,0.0,0.0,nan,0.0,0.0,0,0.8006,3.1583,-1.5707963267948963,0.007017459164655566,0.0001,0.8006,3.1583,-1.5707963267948963,9.999999999996127e-05,-4.896305583201865e-12,0.8006,3.1583,-1.5707963267948963,0.0101506204339,0.0001,0.8006,3.1583,-1.5707963267948963,9.999999999996127e-05,-4.896305583201865e-12,nan,0.0,0.0,1.0,0.010135813928800001,0.0001,nan,nan,0.0,0.0,nan,nan,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
