record_type,parameter,value,speed_bin_mps,median_body_speed_mps,median_deceleration_mps2,samples
fit,intercept_mps2,9.920127466,,,,
fit,speed_gain_per_s,0.268950596,,,,
fit,max_deceleration_p95_mps2,164.710482790,,,,
fit,fit_rmse_mps2,3.312776216,,,,
fit,samples,2255.000000000,,,,
fit,bins,12.000000000,,,,
speed_bin,,,0.000000000,1.361200000,9.982936286,448
speed_bin,,,2.000000000,2.944000000,9.248235256,548
speed_bin,,,4.000000000,4.798800000,11.295770157,371
speed_bin,,,6.000000000,6.853500000,13.212600067,245
speed_bin,,,8.000000000,8.829700000,12.517972248,187
speed_bin,,,10.000000000,10.850000000,10.989994418,153
speed_bin,,,12.000000000,12.981800000,15.380287069,114
speed_bin,,,14.000000000,14.919550000,16.274428987,76
speed_bin,,,16.000000000,16.777450000,12.947111459,56
speed_bin,,,18.000000000,18.853500000,12.856923889,30
speed_bin,,,20.000000000,20.951450000,23.455725010,26
speed_bin,,,22.000000000,22.038800000,9.113494269,1
