regime,events,duration_s,truth_speed_median_mps,odom_speed_mae_mps,odom_speed_p95_abs_error_mps,error_samples
high_curvature_turn,27,0.1629040241241455,0.5239146590810377,7.801094011050827,8.531429687472635,27
high_lateral_acceleration,830,13.795728206634521,5.619246665701729,0.3158825707188676,0.7223349473086103,830
high_longitudinal_slip,12072,111.28566789627075,8.4074,0.18015029777931615,0.6326622257019494,12072
low_curvature_turn,2,0,3.73280996196649,0.05897200956799886,0.11679959727809974,2
simulator_reset,2123,48.37049221992493,0.0001,0.0028560998586905323,0.009,2123
stationary,24652,608.4723918437958,0.0,0.019401732058945607,0.0033,24652
straight_accelerating,4380,45.98591876029968,9.433900000000001,0.21033149341427113,0.7303884619611871,4380
straight_coasting,3247,75.81130051612854,4.7329,0.20969962417440763,0.4784854077600684,3247
straight_steady,15467,115.0023922920227,7.3917,0.14257633258839936,0.5450737286417038,15467
