steering,gt_speed_mps,gt_yaw_rate_radps,gt_curvature_rad_per_m,samples
-0.5,1.2027661659690965,-0.9677,-0.8045620398876965,31
-0.5,5.619053532402054,-0.95085,-0.16921888971460414,32
-0.5,5.61913762956559,-0.9487,-0.16883373616056865,33
-0.5,5.619355729974744,-0.9514,-0.1693076654544303,32
-0.25,5.522492147572507,-1.738,-0.31471298710021045,32
-0.25,5.52415914103062,-1.732,-0.3135318798358998,32
-0.25,5.5299146403900306,-1.7125,-0.30967928283956575,33
-0.25,5.547508648032917,-1.6362,-0.29494320853022515,33
0.0,5.6437,0.0,0.0,33
0.0,5.644,0.0,0.0,32
0.0,5.6443,0.0,0.0,32
0.0,5.64665,0.0,0.0,32
0.25,5.5226877632181965,1.7364,0.31441212584289935,32
0.25,5.524161237690298,1.7317,0.3134774539499212,33
0.25,5.529723071727915,1.7131,0.30979851572651984,33
0.25,5.551139092114338,1.6371,0.29491244460539273,33
0.5,1.2982242525850454,1.0447,0.8047145921975931,29
0.5,5.619153506534592,0.9509,0.1692247771651344,32
0.5,5.619355729974744,0.9513,0.1692898698200542,32
0.5,5.620030622692371,0.9474,0.1685755939077307,32
