record_type,name,speed_mps,value,value_2,samples
coefficient,c0,,-0.295315844,,8132
coefficient,c1,,6.789508412,,8132
coefficient,c2,,-0.194511092,,8132
coefficient,c3,,-0.106494872,,8132
operating_point,,0.000000,0.043496,0.147286,8132
operating_point,,2.000000,0.104058,0.152056,8132
operating_point,,4.000000,0.168674,0.157146,8132
operating_point,,6.000000,0.237765,0.162587,8132
operating_point,,8.000000,0.311813,0.168420,8132
operating_point,,10.000000,0.391371,0.174686,8132
operating_point,,12.000000,0.477078,0.181437,8132
operating_point,,14.000000,0.569675,0.188730,8132
operating_point,,16.000000,0.670029,0.196634,8132
operating_point,,18.000000,0.779156,0.205229,8132
operating_point,,20.000000,0.898259,0.214610,8132
operating_point,,23.000000,1.000000,0.230408,8132
