index,wheel_speed_mps,body_speed_mps
000,0.703478419,0.750638816
001,0.769413480,0.750638816
002,0.769432200,0.751070000
003,0.773987460,0.751070000
004,0.774177001,0.751281481
005,0.795388378,0.751281481
006,0.797192204,0.751625000
007,0.818634736,0.751625000
008,1.387705489,1.496160000
009,1.409367536,1.496160000
010,1.412002226,1.496800000
011,1.440385841,1.496800000
012,1.442409316,1.497277778
013,1.468433214,1.497277778
014,1.468830280,1.497296774
015,1.489845021,1.497296774
016,1.490850219,1.497335294
017,1.495503181,1.497335294
018,1.495860253,1.497387500
019,1.499809845,1.497387500
020,1.499887973,1.497401339
021,1.611241834,1.497401339
022,1.625048481,1.497900000
023,1.851267203,1.910833333
024,1.892960365,1.910833333
025,1.896047834,1.993206977
026,1.935709101,1.993206977
027,1.936105425,1.993281356
028,1.951835620,1.993281356
029,1.951892075,1.993317226
030,2.022513329,1.993317226
031,2.022554308,1.993326054
032,2.064309857,1.993326054
033,2.064576433,1.993341463
034,2.137799290,1.993341463
035,2.138535549,1.993400000
036,2.139934097,1.993633333
037,2.143369391,1.993633333
038,2.143934763,1.994500000
039,2.199552308,1.995200000
040,2.294399975,2.484800000
041,2.396364382,2.484800000
042,2.407054770,2.485193023
043,2.461240606,2.485193023
044,2.462623041,2.485250000
045,2.462953376,2.485250000
046,2.463073040,2.485450000
047,2.463557986,2.485450000
048,2.463725872,2.485516066
049,2.689997998,2.485516066
050,3.421990381,3.709470270
051,3.649014257,3.709470270
052,3.649094394,3.709680508
053,3.786558011,3.709680508
054,3.786650892,3.709692366
055,3.802055883,3.709692366
056,3.802056517,3.709716949
057,4.001208379,3.709716949
058,4.004616577,3.710083333
059,4.118083220,3.710083333
060,4.184060099,3.714200000
061,4.674363759,4.921317857
062,5.014747732,4.921317857
063,5.015519209,4.921524528
064,5.137096390,4.921524528
065,5.137446540,4.921666667
066,5.139334506,4.921666667
067,5.140199378,4.921705882
068,5.168864613,4.921705882
069,5.170403186,4.921995833
070,5.335683162,4.921995833
071,5.339084246,4.922000000
072,5.361361934,5.282100000
073,5.370855771,5.282100000
074,5.387909758,5.584851857
075,5.529362297,5.584851857
076,5.534273395,5.586501456
077,5.710921427,5.586501456
078,5.711340633,5.591560129
079,5.715606307,5.591560129
080,5.716404343,5.594166705
081,5.812121899,5.594166705
082,5.813471980,5.601685040
083,5.838402371,5.601685040
084,5.838540373,5.604043326
085,5.863247852,5.604043326
086,5.863340730,5.616882704
087,5.894749336,5.616882704
088,5.895610598,5.619355730
089,5.895976230,5.648583516
090,5.933965492,5.648583516
091,5.934031067,5.706865526
092,5.962429538,5.706865526
093,5.968149105,5.768602429
094,6.003100344,5.768602429
095,6.003775347,5.870936329
096,6.041949530,5.870936329
097,6.043545083,5.958792242
098,6.050943758,5.958792242
099,6.051167728,6.005500198
100,6.091449387,6.005500198
101,6.091527199,6.072061025
102,6.117083360,6.072061025
103,6.117276753,6.087999007
104,6.128026627,6.087999007
105,6.128713108,6.088024976
106,6.142053778,6.088024976
107,6.142609111,6.120175000
108,6.144015874,6.120175000
109,6.144153040,6.122590954
110,6.309227828,6.122590954
111,6.309519996,6.122600000
112,6.309635584,6.122719580
113,6.400721684,6.122719580
114,6.400865105,6.122864740
115,6.634112588,6.122864740
116,6.635286865,6.123040000
117,6.874555547,6.123040000
118,6.911686689,6.123200000
119,6.922513138,6.123200000
120,6.958707040,6.123600000
121,7.246785453,7.313050292
122,7.561805373,7.313050292
123,7.566037044,7.313392000
124,7.586318585,7.313392000
125,7.587376799,7.313488372
126,7.635013438,7.313488372
127,7.635076676,7.313500000
128,7.638232493,7.313628205
129,7.746203340,7.313628205
130,7.746754840,7.313650000
131,7.752372289,7.313650000
132,7.769244853,7.314571429
133,7.812913791,7.314571429
134,8.031614823,8.491022222
135,8.801664248,8.491022222
136,8.802032547,8.491123188
137,8.849078462,8.491123188
138,8.851114644,8.491609821
139,8.989388499,8.491609821
140,8.992085528,8.491766667
141,8.996364767,8.491766667
142,8.996412780,8.491946296
143,9.199746185,8.491946296
144,9.204099897,8.492200000
145,9.305942586,8.492200000
146,9.330871107,8.492650000
147,9.370403413,8.492650000
148,9.395093479,9.557754545
149,9.665087322,9.557754545
150,9.676028982,9.659850000
151,9.747435698,9.659850000
152,9.769633697,9.661700000
153,9.774768162,9.661898283
154,10.236758537,9.661898283
155,10.239608325,9.662253704
156,10.507747906,9.662253704
157,10.516387818,9.663300000
158,10.543650658,9.664200000
159,10.702101357,9.664200000
160,11.123945603,11.963477778
161,11.937917740,11.963477778
162,11.939757577,11.966400000
163,11.957438317,11.966957143
164,11.991532972,11.966957143
165,11.997654735,11.967071429
166,12.054875450,11.967071429
167,12.059696298,11.968132353
168,12.201550476,11.968132353
169,12.202020675,11.968770534
170,12.933943550,11.968770534
171,12.934829988,11.968890909
172,12.990919277,11.968890909
173,13.001261189,11.969266667
174,13.445181598,11.969266667
175,13.898028131,13.665100000
176,14.199573066,13.665100000
177,14.683518946,15.324200000
178,15.256921262,15.350452381
179,15.622059117,15.350452381
180,15.626274154,15.352104636
181,16.045695606,15.352104636
182,16.047908385,15.352121875
183,16.081517980,15.352121875
184,16.087046932,15.352990000
185,16.145233022,15.352990000
186,16.145535624,15.354558824
187,16.161455600,15.354558824
188,16.161814280,15.354714511
189,16.645965378,15.354714511
190,16.646132549,15.354751136
191,17.569239710,15.354751136
192,18.038603790,15.359900000
193,18.098177138,18.642623437
194,19.795304015,18.642623437
195,19.802503316,18.643436000
196,20.391254046,18.643436000
197,20.394406987,18.645677941
198,20.944760707,18.645677941
199,20.958562131,18.647610000
200,21.192111902,18.647610000
201,21.315857724,18.649000000
202,22.256071760,18.649000000
203,23.761159999,22.836000000
204,23.937559510,22.858800000
205,23.966629305,22.858800000
206,24.027197794,22.863125000
207,24.868616612,22.863125000
208,24.870735614,22.863600000
209,24.871456697,22.863600000
210,24.874728110,22.863925000
211,25.200260684,22.863925000
212,25.211754058,22.864780000
213,25.694737291,22.864780000
214,25.695887998,22.864921429
215,26.062215254,22.864921429
216,26.087590778,22.867975000
217,26.678177748,22.867975000
