event_index,source_stamp_ns,status,steering_rate_radps,target_speed_rate_mps2,steering_command_rad,target_speed_mps,iterations,primal_residual,dual_residual,rti_iterations_used,rti2_triggered,rti2_trigger_reason_mask,rti2_budget_skipped,r1_status,r2_status,r1_objective,r2_objective,r1_slack_m,r2_slack_m,selected_candidate,r1_iterations,r2_iterations,r1_solve_us,r2_solve_us,total_rti_us,rho_start,rho_final,rho_u_start,rho_u_final,rho_change_count,factorization_count,progress_m,e_y_m,e_psi_rad,u_mps,v_mps,r_radps,target_speed_state_mps,steering_state_rad,state_age_s,path_curvature_per_m,lateral_accel_proxy_mps2,minimum_predicted_corridor_slack_m,candidate_progress_error_max_m,candidate_curvature_error_max_per_m,candidate_left_bound_error_max_m,candidate_right_bound_error_max_m,nonlinear_failure_stage,nonlinear_failure_reason
795,1789729639611716577,0,0.1210767478,3,0.07371857762,1.653503776,15,0.009854316711,0.002387195826,1,0,0,0,0,-1,236711.8438,nan,0.651982367,nan,R1,15,0,252.8340001,0,298.8199999,1,1,28,14,5,6,22.12770532,0.08116934448,-0.2132951915,1.430438757,0,0.3116999865,1.578503728,0.07069166005,0.004070942,-0.01224445794,1.482246757,0.651982367,0.0003534443676,3.136694431e-06,0.0001175403595,3.862380981e-05,-1,-1
816,1789729639636491534,0,0.1048366874,3,0.07241511345,1.66471231,14,0.009943246841,0.004657566547,1,0,0,0,0,-1,237128.5,nan,0.6517189145,nan,R1,14,0,256.421,0,302.5080001,1,1,14,14,6,7,22.16269739,0.07374164462,-0.2051410228,1.457000732,0,0.3230000138,1.589712262,0.06979419291,0.003156563,-0.005066325254,1.53335464,0.6517189145,0.0003930851817,3.278255463e-06,0.0001740455627,7.236003876e-05,-1,-1
838,1789729639661069001,0,0.08676873893,3,0.07054117322,1.675926447,14,0.009996175766,0.004409521818,1,0,0,0,0,-1,237458.6406,nan,0.6395398378,nan,R1,14,0,255.4290001,0,301.0540001,1,1,14,14,6,7,22.19835567,0.06648539752,-0.1968469024,1.500751734,0,0.324000001,1.600926399,0.06837195158,0.003235391,-0.00170916147,1.585665703,0.6395398378,0.000437758863,3.74019146e-06,0.0001299977303,3.439188004e-05,-1,-1
861,1789729639686967530,0,0.08285185695,3,0.06922928989,1.687122464,15,0.007443666458,0.00341463089,1,0,0,0,0,-1,238070.4062,nan,0.6394517422,nan,R1,15,0,275.757,0,321.4419999,1,1,14,28,7,8,22.23675114,0.05897532031,-0.188799873,1.525569081,0,0.3249000013,1.612122416,0.06715799123,0.004019134,-0.009745928067,1.635811448,0.6394517422,0.000442661345,3.904104233e-06,0.0001422762871,0.000248670578,-1,-1
883,1789729639711695809,0,0.05943412334,3,0.06644126028,1.698356748,14,0.009131669998,0.007681563497,1,0,0,0,0,-1,238650.6406,nan,0.6269842386,nan,R1,14,0,213.23,0,258.826,1,1,28,14,3,4,22.27416985,0.05200855434,-0.1794409007,1.553106666,0,0.324000001,1.6233567,0.06495540589,0.00347939,-0.06012833873,1.672135711,0.6269842386,0.0004667788744,4.261732101e-06,4.702806473e-05,0.0001282691956,-1,-1
905,1789729639736777713,0,0.04852586985,3,0.06443403661,1.703947783,14,0.008843898773,0.004623770714,1,0,0,0,0,-1,239482,nan,0.6271061897,nan,R1,14,0,270.5669999,0,319.95,1,1,14,28,7,8,22.31284475,0.04519735277,-0.1675505787,1.597324491,0,0.3185000122,1.628947735,0.06322088838,0.003567045,-0.1088443298,1.697908759,0.6271061897,0.0003677606583,3.337860107e-06,0.0002084374428,0.0001822710037,-1,-1
926,1789729639761272093,0,0.03631014004,3,0.0618186295,1.715175271,14,0.009134292603,0.006318151951,1,0,0,0,0,-1,240423.8438,nan,0.6259531379,nan,R1,14,0,213.931,0,259.7679999,1,1,28,14,3,4,22.35115404,0.03892769665,-0.1559317559,1.588544965,0,0.3170999885,1.640175223,0.06091087684,0.003151264,-0.1091613835,1.731213689,0.6259531379,0.0005196854472,4.895031452e-06,0.000158727169,0.0003324747086,-1,-1
949,1789729639786474173,0,0.01694117673,3,0.05784029886,1.726402998,14,0.00875878334,0.004836559296,1,0,0,0,0,-1,241370.4531,nan,0.6258661151,nan,R1,14,0,273.503,0,319.1890001,1,1,14,28,7,8,22.39059924,0.03295336664,-0.1439398676,1.590088725,0,0.3091000021,1.65140295,0.05741677061,0.002995331,-0.10223318,1.764644623,0.6258661151,0.0006028302014,5.699694157e-06,0.0003083348274,1.502037048e-05,-1,-1
971,1789729639812528856,0,0.03482790291,3,0.0561745353,1.737619638,13,0.008976459503,0.00482571125,1,0,0,0,0,-1,242468.875,nan,0.6249779463,nan,R1,13,0,236.3740001,0,282.1390002,1,1,28,14,5,6,22.43141836,0.02726453729,-0.132555753,1.583463192,0,0.3025000095,1.662619591,0.0553038381,0.004054992,-0.09434710348,1.792499304,0.6249779463,0.0004681386054,4.604458809e-06,0.0001267194748,1.502037048e-05,-1,-1
993,1789729639836497889,0,0.01110501308,3,0.05233106017,1.748836279,14,0.008779287338,0.004173159599,1,0,0,0,0,-1,243156.75,nan,0.6148694754,nan,R1,14,0,273.6839998,0,319.4089999,1,1,14,28,7,8,22.46936036,0.02241833508,-0.121278137,1.615086198,0,0.2924000025,1.673836231,0.05205343664,0.00453847,-0.08651496272,1.814725995,0.6148694754,0.0005577988923,5.602836609e-06,3.910064697e-05,0.0001027584076,-1,-1
1015,1789729639862376380,0,0.01622687094,3,0.04992863536,1.760049462,15,0.00451540947,0.006801724434,1,0,0,0,0,-1,244247.5156,nan,0.6090841889,nan,R1,15,0,220.984,0,267.04,1,1,28,14,3,4,22.51078191,0.01758105122,-0.1110901088,1.612713337,0,0.2786000073,1.685049415,0.04952296242,0.003487175,-0.08106795861,1.841513872,0.6090841889,0.0005533657968,5.684792995e-06,0.0003499388695,0.0001918077469,-1,-1
1036,1789729639888700770,0,-0.004269979428,3,0.04563363642,1.77126193,14,0.008800506592,0.003998756409,1,0,0,0,0,-1,245310.2656,nan,0.6025651097,nan,R1,14,0,271.6589999,0,317.7260001,1,1,14,28,7,8,22.55305785,0.01308396365,-0.1010748595,1.621276498,0,0.2709000111,1.696261883,0.04574038461,0.003476624,-0.07738016843,1.863950491,0.6025651097,0.000627733767,6.720423698e-06,0.0001306533813,0.0003309249878,-1,-1
1059,1789729639911598378,0,-0.00186488824,3,0.04224755615,1.782476425,13,0.009111642838,0.003578186035,1,0,0,0,0,-1,246087.1875,nan,0.5902212858,nan,R1,13,0,279.3240001,0,325.25,1,1,28,28,8,9,22.59019811,0.009497154504,-0.0917423442,1.641207814,0,0.2542000115,1.707476377,0.04229417816,0.003788151,-0.07418947178,1.880591273,0.5902212858,0.0005714669824,6.094574928e-06,0.0003306269646,7.545948029e-05,-1,-1
1081,1789729639937355842,0,-0.004503020551,3,0.03962793946,1.793691397,13,0.009013652802,0.004558891058,1,0,0,0,0,-1,247303.3594,nan,0.5903949738,nan,R1,13,0,237.0350001,0,282.8510001,1,1,28,14,5,6,22.6321662,0.005829925649,-0.08282639831,1.631642818,0,0.2446999997,1.718691349,0.03974051401,0.004401754,-0.07054775292,1.896082878,0.5903949738,0.000489000231,5.468726158e-06,6.711483002e-05,0.0002298355103,-1,-1
1103,1789729639962635218,0,0.02711421065,3,0.03616457433,1.804906607,15,0.009196281433,0.005483269691,1,0,0,0,0,-1,248610.7656,nan,0.5774792433,nan,R1,15,0,261.26,0,307.276,1,1,14,28,5,6,22.68295307,-0.003830072237,-0.07295718789,1.663648725,0,0.2257000059,1.729906559,0.0354867205,0.004497223,-0.0672950355,1.983697295,0.5774792433,0.001107163727,1.240521669e-05,0.0001912117004,4.768371582e-06,-1,-1
1125,1789729639987975037,0,0.02483299188,3,0.04007602856,1.821727633,15,0.008155345917,0.009235233068,1,0,0,0,0,-1,249215.8125,nan,0.57333529,nan,R1,15,0,219.582,0,265.1670001,1,1,28,14,3,4,22.72279721,0.001525599277,-0.06487479806,1.679588437,0,0.2110999972,1.746727586,0.0394552052,0.003795314,-0.06538561477,1.886685848,0.57333529,0.001112803817,1.300871372e-05,0.0007008910179,0.0007009506226,-1,-1
1147,1789729640012754563,0,-0.1716332287,3,0.022109963,1.832941651,17,0.004308462143,0.007068544626,1,0,0,0,0,-1,250329.0156,nan,0.5657665133,nan,R1,17,0,249.9390001,0,295.454,1,1,14,14,4,5,22.76504413,-0.002815066837,-0.05708549172,1.688807487,0,0.1996999979,1.757941604,0.02640079334,0.003327815,-0.06358238268,1.956080079,0.5657665133,0.000952899456,1.17495656e-05,0.0001032948494,0.0004769563675,-1,-1
1169,1789729640037818714,0,-0.02806927823,3,0.02401372045,1.844156623,14,0.009647130966,0.005098059773,1,0,0,0,0,-1,251313.4688,nan,0.5640574098,nan,R1,14,0,227.7969999,0,273.342,1,1,14,14,4,5,22.80683164,-0.003024993464,-0.05018619075,1.708938003,0,0.1796000004,1.769156575,0.02471545152,0.003631015,-0.06191323007,1.930213571,0.5640574098,0.000482019037,5.923211575e-06,0.0002521276474,0.0009174346924,-1,-1
1191,1789729640062525112,0,-0.07292090356,3,0.01702858321,1.855370879,14,0.008901834488,0.003680825233,1,0,0,0,0,-1,252595.3125,nan,0.553735137,nan,R1,14,0,377.0369999,0,423.194,1,1,14,28,7,8,22.85398799,-0.008702035993,-0.04280695692,1.719926953,0,0.1999000013,1.780370831,0.01885160618,0.004534744,-0.06051430648,1.975606203,0.553735137,0.0007407702506,9.424984455e-06,0.0001290440559,0.000360250473,-1,-1
1213,1789729640087296473,0,-0.01498701703,3,0.01657782681,1.866584778,12,0.006083965302,0.008760109544,1,0,0,0,0,-1,253610.7812,nan,0.5539802313,nan,R1,12,0,284.905,0,344.336,1,1,28,28,4,5,22.89673978,-0.008191328496,-0.03677140549,1.736414671,0,0.1336999983,1.79158473,0.01695250161,0.003549471,-0.0594472326,1.976978421,0.5539802313,0.0003802776337,4.932284355e-06,0.0002162456512,0.0002372264862,-1,-1
1235,1789729640112006648,0,-0.06187129393,3,0.01250520162,1.883405328,13,0.008892297745,0.004728443921,1,0,0,0,0,-1,254290.4375,nan,0.5418229699,nan,R1,13,0,238.5279999,0,285.776,1,1,28,14,5,6,22.93934568,-0.008559877984,-0.03017019294,1.746507287,0,0.1268000007,1.80840528,0.01405198406,0.003049392,-0.05881578636,1.97420752,0.5418229699,0.0002254508436,2.957880497e-06,0.0001043081284,0.0001044273376,-1,-1
1257,1789729640137555270,0,-0.06948542595,3,0.007336501963,1.894621611,14,0.006114959717,0.004959225655,1,0,0,0,0,-1,255296.9375,nan,0.5415444374,nan,R1,14,0,285.1949999,0,331.2510002,1,1,14,56,8,9,22.98528355,-0.01050040498,-0.02498853765,1.772151589,0,0.09369999915,1.819621563,0.009073637426,0.004126356,-0.05830032351,2.010800362,0.5415444374,0.0007729418576,1.069158316e-05,0.0004453659058,0.0004857778549,-1,-1
1279,1789729640162408444,0,-0.001787794521,3,0.008182321675,1.905834556,13,0.007148981094,0.007668316364,1,0,0,0,0,-1,256471.9688,nan,0.53932935,nan,R1,13,0,187.3820002,0,233.6990001,1,1,56,28,1,2,23.03057014,-0.0134477336,-0.02086002193,1.767325997,0,0.08749999851,1.830834508,0.008227016777,0.004229931,-0.05825447214,2.036586285,0.53932935,0.0001266375184,1.691281796e-06,2.980232239e-07,0.0001776218414,-1,-1
1301,1789729640187241901,0,-0.04338528588,3,0.005322512239,1.917049885,13,0.008959770203,0.004771105945,1,0,0,0,0,-1,257402.4531,nan,0.5376068354,nan,R1,13,0,237.6360002,0,283.6819999,1,1,28,14,5,6,23.07358313,-0.01252981648,-0.0164857246,1.773350358,0,0.07419999689,1.842049837,0.006407144479,0.003475112,-0.05833304894,2.028928995,0.5376068354,0.0002578943968,3.606081009e-06,6.306171417e-05,0.0001465082169,-1,-1
1323,1789729640211931057,0,-0.0311393626,3,0.001325546997,1.928263426,14,0.00878238678,0.004844486713,1,0,0,0,0,-1,258327.1406,nan,0.5373314619,nan,R1,14,0,285.1849999,0,331.0799999,1,1,14,28,7,8,23.11971107,-0.01777939498,-0.01171005331,1.787708402,0,0.04699999839,1.853263378,0.002104031155,0.003544633,-0.05869310182,2.100292683,0.5373314619,0.001051258296,1.373142004e-05,0.0004487037659,0.0004988908768,-1,-1
1344,1789729640237429064,0,0.03974218294,3,0.006349991541,1.945086002,15,0.004873752594,0.008607506752,1,0,0,0,0,-1,258923.0625,nan,0.5359099507,nan,R1,15,0,209.9029999,0,256.6110001,1,1,28,28,2,3,23.16622617,-0.01800553687,-0.008298558183,1.789262295,0,0.04450000077,1.870085955,0.005356437061,0.003283411,-0.05908102047,2.088424683,0.5359099507,0.0008311867714,1.037865877e-05,0.0002602934837,0.0004767179489,-1,-1
1367,1789729640261914276,0,-0.0932957828,3,-0.0006062042667,1.956297517,14,0.007920265198,0.007016286254,1,0,0,0,0,-1,259511.5,nan,0.536247313,nan,R1,14,0,217.3170002,0,264.0450001,1,1,28,14,3,4,23.20420582,-0.01476418134,-0.005195465405,1.791443467,0,0.0335999988,1.881297469,0.001726190443,0.003998867,-0.05937094126,2.075520277,0.536247313,0.0005326457322,6.452202797e-06,0.0002271533012,0.0003361701965,-1,-1
1388,1789729640288427361,0,-0.1119256914,3,-0.007287413348,1.967514515,14,0.00604724884,0.004676759243,1,0,0,0,0,-1,260217.2812,nan,0.5300539136,nan,R1,14,0,291.0650001,0,338.003,1,1,14,56,8,9,23.25018477,-0.0145086851,-0.002288439078,1.803533912,0,0.01109999977,1.892514467,-0.00448927097,0.003903837,-0.05972313769,2.101015806,0.5300539136,0.0007512904704,8.471310139e-06,1.311302185e-06,0.0007122755051,-1,-1
