stamp_s,dt_s,speed_pred_mps,speed_mps,body_u_mps,body_v_mps,x_m,y_m,wheel_raw_mps,wheel_mapped_mps,wheel_packet_mps,wheel_update_used,wheel_burst_rejected,turn_mode,reset_epoch,timing_degraded,sensor_outlier,left_angle_rad,right_angle_rad,ax_mps2,ay_mps2,yaw_rate_radps,yaw_rad,gt_speed_mps,gt_x_m,gt_y_m,gt_yaw_rad,gt_vx_mps,gt_vy_mps,gt_longitudinal_accel_mps2
1789002843.528185,0.05030202865600586,0.38849740646761693,0.48247859006194255,0.48247859006194255,0.0,0.059186658263162745,0.0005963917855347578,0.5082113083644424,0.4990635048138824,0.7581135596098245,True,False,False,False,False,False,1.7933,1.8359,1.0707,0.1177,0.1157,0.017323347808825496,0.7744186206438995,0.802,3.0581,-1.553417368488219,0.7742,0.0184,3.012431259053581
1789002843.579126,0.05094099044799805,0.5396089108493723,0.6397795298314704,0.6397795298314704,0.0,0.09177059235946411,0.001275148006127845,0.6695078389889355,0.6574566978871347,0.8983021256077353,True,False,False,False,False,False,2.5624,2.618,1.1215,0.1618,0.1432,0.024332645378976947,0.920479945463235,0.803,3.0147,-1.5464080709180676,0.9202,0.0227,2.8672516951228704
1789002843.6281445,0.04901862144470215,0.6983518805957449,0.8662651756194306,0.8662651756194306,0.0,0.13421610723780136,0.002497942847876493,0.9123186696179093,0.895896933564787,1.0851274155068849,True,False,False,False,False,False,3.4558,3.5277,1.1949,0.2383,0.1888,0.03326857509909642,1.065114162895227,0.8044,2.9642,-1.5374721411979482,1.0647,0.0297,2.950611760386161
1789002843.6788876,0.05074310302734375,0.9304957954314423,1.0239673971756449,1.0239673971756449,0.0,0.1861365186633291,0.00450741565084856,1.059533997676924,1.0404623857187394,1.1966710030972787,True,False,False,False,False,False,4.4768,4.5651,1.2658,0.3213,0.2312,0.044098699421567744,1.2093449177137183,0.8067,2.9065,-1.5266420168754768,1.2088,0.0363,2.842358242651363
1789002843.7288113,0.04992365837097168,1.090410794101571,1.1122452937382037,1.1122452937382037,0.0,0.2415928405278607,0.0073151576610180425,1.1365564569581503,1.1160984407329035,1.3690613274395278,True,False,False,False,False,False,5.6254,5.7334,1.3309,0.4126,0.2713,0.057074494172686605,1.3532643939748064,0.81,2.8418,-1.513666222124358,1.3526,0.0424,2.882791064542069
1789002843.778015,0.04920363426208496,1.1806973897236164,1.2604812313926002,1.2604812313926002,0.0,0.30348365371029595,0.011320102659103213,1.2979233532215857,1.274560732863597,1.5421604752978804,True,False,False,False,False,False,6.8984,7.0326,1.3912,0.5123,0.3094,0.07216500812836868,1.4967762825485975,0.8146,2.7699,-1.498575708168676,1.496,0.0482,2.9167069897012583
1789002843.8280036,0.049988746643066406,1.3146290417563697,1.3934535161870736,1.3934535161870736,0.0,0.3729167974698448,0.01690001927015193,1.4331606085103847,1.4073637175571978,1.6299468474731489,True,False,False,False,False,False,8.2696,8.4234,1.0832,0.5707,0.332,0.08821806794838638,1.605529398671977,0.8209,2.6921,-1.4825226483486582,1.6047,0.0516,2.1755415915979666
1789002843.8805542,0.052550554275512695,1.4661624630826728,1.5724788384440507,1.5724788384440507,0.0,0.4551651454067138,0.024880751588087523,1.6204078938320952,1.5912405517431174,1.6845978357501588,True,False,False,False,False,False,9.7586,9.9353,1.3836,0.6524,0.349,0.10524055450137615,1.739338451825866,0.829,2.6082,-1.4655001617956684,1.7385,0.054,2.5462919468432847
1789002843.9297829,0.049228668212890625,1.646326763630208,1.7102399883970012,1.7102399883970012,0.0,0.538811922495221,0.03445417714720961,1.7530741270545944,1.7215187927676117,1.9511994430685782,True,False,False,False,False,False,11.3752,11.5748,1.5001,0.7219,0.3597,0.12266901437729905,1.879816522961749,0.8394,2.5177,-1.4480717019197455,1.879,0.0554,2.853582602080196
1789002843.977996,0.04821324348449707,1.8131800845607509,1.8273282279370493,1.8273282279370493,0.0,0.6261532918270111,0.046001711370416254,1.8633655388198598,1.8298249591211022,2.2105461549018153,True,False,False,False,False,False,13.1718,13.391,2.1351,0.8104,0.3639,0.1402292684675821,2.0691498374936503,0.8524,2.419,-1.4305114478294625,2.0684,0.0557,3.9270174981426766
