# s_m,x_m,y_m,psi_rad,kappa_radpm,velocity_mps,acceleration_mps2,d_left_m,d_right_m
0.0000000,-2.4427010,3.7409860,-2.74191800,1.18732400,2.05210900,2.61592000,1.162500,3.412500
0.0199931,-2.4608097,3.7325127,-2.71933752,1.15982104,2.07742597,2.64363705,1.148209,3.376772
0.0399862,-2.4789185,3.7240394,-2.69675704,1.13231807,2.10274294,2.67135409,1.133917,3.341044
0.0599792,-2.4970272,3.7155661,-2.67417656,1.10481511,2.12805991,2.69907114,1.119626,3.305316
0.0799723,-2.5147996,3.7064378,-2.65232227,1.07891270,2.15331668,2.72290111,1.110532,3.265848
0.0999654,-2.5322374,3.6966579,-2.63119023,1.05460215,2.17851356,2.74286508,1.106606,3.222662
0.1199585,-2.5496752,3.6868780,-2.61005819,1.03029160,2.20371045,2.76282905,1.102680,3.179476
0.1399516,-2.5669094,3.6767601,-2.58937306,1.00683342,2.22878943,2.78119011,1.098605,3.131862
0.1599446,-2.5837057,3.6659154,-2.56964873,0.98520771,2.25361492,2.79610509,1.094210,3.074729
0.1799377,-2.6005020,3.6550708,-2.54992440,0.96358201,2.27844041,2.81102007,1.089815,3.017596
0.1999308,-2.6170195,3.6438181,-2.53068855,0.94294323,2.30309731,2.82437558,0.984646,2.961786
0.2199239,-2.6332267,3.6321112,-2.51199646,0.92340309,2.32756656,2.83599510,0.767296,2.907449
0.2399170,-2.6494339,3.6204044,-2.49330438,0.90386294,2.35203580,2.84761462,0.549946,2.853112
0.2599100,-2.6651396,3.6080346,-2.47535963,0.88588843,2.37619071,2.85708674,0.537500,2.798900
0.2799031,-2.6808149,3.5956246,-2.45746027,0.86800902,2.40032652,2.86642842,0.537500,2.744697
0.2998962,-2.6961761,3.5828332,-2.43998042,0.85101826,2.42425587,2.87469650,0.548204,2.689319
0.3198893,-2.7113580,3.5698242,-2.42274001,0.83453472,2.44806736,2.88235178,0.565019,2.633271
0.3398824,-2.7263347,3.5565849,-2.40584676,0.81859473,2.47169781,2.88944410,0.579334,2.584831
0.3598754,-2.7410120,3.5430091,-2.38946061,0.80344867,2.49506382,2.89571411,0.589999,2.547504
0.3798685,-2.7556548,3.5293975,-2.37312576,0.78838281,2.51840066,2.90191034,0.600588,2.509856
0.3998616,-2.7697786,3.5152469,-2.35756420,0.77452568,2.54129782,2.90699452,0.610031,2.467359
0.4198547,-2.7839024,3.5010963,-2.34200265,0.76066854,2.56419497,2.91207871,0.619475,2.424861
0.4398478,-2.7977597,3.4866911,-2.32679368,0.74734962,2.58687822,2.91672747,0.628348,2.383261
0.4598408,-2.8112412,3.4719272,-2.31208174,0.73478941,2.60925994,2.92076244,0.636415,2.342924
0.4798339,-2.8247227,3.4571633,-2.29736981,0.72222920,2.63164166,2.92479740,0.644483,2.302587
0.4998270,-2.8379701,3.4421960,-2.28293165,0.71008080,2.65384538,2.92854021,0.656533,2.264112
