event_index,source_stamp_ns,stage,progress_m,e_y_m,e_psi_rad,u_mps,v_mps,r_radps,target_speed_mps,steering_command_rad,steering_rate_radps,target_speed_rate_mps2
1266,1789654030561355037,0,21.80566961,0.1656917483,-0.3014636636,0,0,0,0,0,0.0117470026,3
1266,1789654030561355037,1,21.80566961,0.1656917483,-0.3014636636,0,0,0,0.07500000298,0.0002936750825,0.01912913285,3
1266,1789654030561355037,2,21.8058031,0.1656498909,-0.3014566898,0.01127937157,0,3.25100541e-06,0.150000006,0.0007719034329,0.02494060621,3
1266,1789654030561355037,3,21.80637518,0.1654704958,-0.3014266193,0.03705989942,0,2.763181874e-05,0.2250000089,0.001395418542,0.03132473677,3
1266,1789654030561355037,4,21.80768975,0.1650583297,-0.3013567626,0.07401423156,0,0.0001111347519,0.3000000119,0.002178536961,0.03956810385,3
1266,1789654030561355037,5,21.80998111,0.1643401682,-0.3012329638,0.1195784956,0,0.0003125655639,0.375,0.003167739604,0.0505810678,3
1266,1789654030561355037,6,21.81343001,0.1632598788,-0.3010423481,0.1717770994,0,0.0007172597107,0.4499999881,0.004432266578,0.06439562887,3
1266,1789654030561355037,7,21.81817608,0.1617746353,-0.3007720411,0.2290877551,0,0.001443826128,0.5249999762,0.0060421573,0.08071599901,3
1266,1789654030561355037,8,21.82432736,0.1598520577,-0.3004079163,0.290337503,0,0.002649125876,0.5999999642,0.008060057648,0.09873447567,3
1266,1789654030561355037,9,21.83196765,0.1574680209,-0.2999331057,0.3546224833,0,0.004527887329,0.6749999523,0.01052841917,0.1174752936,3
1266,1789654030561355037,10,21.84116227,0.1546050459,-0.2993271053,0.4212462902,0,0.007306428161,0.7499999404,0.01346530207,0.1352659017,3
1266,1789654030561355037,11,21.8519624,0.1512510926,-0.2985650003,0.4896722138,0,0.01122556999,0.8249999285,0.01684694923,0.150698632,3
1266,1789654030561355037,12,21.86440848,0.147398755,-0.2976170778,0.5594867468,0,0.01651909761,0.8999999166,0.02061441541,0.1621892154,3
1266,1789654030561355037,13,21.8785329,0.1430446953,-0.296449393,0.6303713322,0,0.02338566631,0.9749999046,0.02466914617,0.1682365239,3
1266,1789654030561355037,14,21.89436199,0.1381893158,-0.2950247824,0.702080369,0,0.03195751831,1.049999952,0.02887506038,0.1676935554,3
