record_type,parameter,value,speed_bin_mps,median_body_speed_mps,median_deceleration_mps2,samples
fit,intercept_mps2,11.742697123,,,,
fit,speed_gain_per_s,0.242759072,,,,
fit,max_deceleration_p95_mps2,151.335699881,,,,
fit,fit_rmse_mps2,4.034330001,,,,
fit,samples,2573.000000000,,,,
fit,bins,12.000000000,,,,
speed_bin,,,0.000000000,1.362900000,11.359047763,355
speed_bin,,,2.000000000,2.913650000,10.717230705,512
speed_bin,,,4.000000000,4.936850000,11.675071530,404
speed_bin,,,6.000000000,6.972900000,11.964657649,328
speed_bin,,,8.000000000,8.962300000,14.084907313,260
speed_bin,,,10.000000000,10.955100000,17.445610687,231
speed_bin,,,12.000000000,12.895650000,17.300832368,184
speed_bin,,,14.000000000,15.027700000,15.134795820,129
speed_bin,,,16.000000000,16.978800000,24.466321026,91
speed_bin,,,18.000000000,18.827300000,11.971092032,55
speed_bin,,,20.000000000,20.812300000,20.482647356,23
speed_bin,,,22.000000000,22.199500000,8.987058675,1
