record_type,name,speed_mps,value,value_2,samples
coefficient,c0,,0.165040786,,17943
coefficient,c1,,6.363687563,,17943
coefficient,c2,,-0.200717475,,17943
coefficient,c3,,-0.096562731,,17943
operating_point,,0.000000,0.000000,0.157142,17943
operating_point,,2.000000,0.038310,0.162060,17943
operating_point,,4.000000,0.106706,0.167296,17943
operating_point,,6.000000,0.179669,0.172881,17943
operating_point,,8.000000,0.257673,0.178853,17943
operating_point,,10.000000,0.341259,0.185252,17943
operating_point,,12.000000,0.431046,0.192125,17943
operating_point,,14.000000,0.527754,0.199529,17943
operating_point,,16.000000,0.632214,0.207526,17943
operating_point,,18.000000,0.745396,0.216190,17943
operating_point,,20.000000,0.868442,0.225610,17943
operating_point,,23.000000,1.000000,0.241386,17943
