speed_mps,observed_full_throttle_acceleration_mps2,monotonic_acceleration_limit_mps2,samples
0.000000,3.782555,4.601302,8
2.000000,4.928802,4.601302,20
4.000000,4.183364,4.183364,25
6.000000,3.588930,3.588930,28
8.000000,3.265192,3.265192,29
10.000000,2.516051,2.516051,36
12.000000,2.165826,2.165826,42
14.000000,1.559402,1.559402,59
16.000000,0.954654,0.954654,93
18.000000,0.363068,0.500397,230
20.000000,0.377186,0.500397,121
22.000000,1.867878,0.500397,34
23.000000,0.021496,0.021496,146
