regime,events,duration_s,truth_speed_median_mps,odom_speed_mae_mps,odom_speed_p95_abs_error_mps,error_samples
high_longitudinal_slip,10441,216.5269114971161,10.153,0.7455610574106627,2.520618124467404,10441
simulator_reset,1224,47.02857279777527,nan,nan,nan,0
stationary,15410,647.505847454071,0.0,0.043278380164030426,0.0035,15410
straight_accelerating,2020,30.353042602539062,13.3131,0.7804102676022754,2.2526755061973702,2020
straight_coasting,3454,140.09459137916565,5.7597000000000005,1.7386406886457813,5.039412716528027,3454
straight_steady,6833,129.64250946044922,11.8963,1.2312634627944694,3.421984313867469,6833
unknown,47,0,nan,nan,nan,0
