event_index,source_stamp_ns,status,steering_rate_radps,target_speed_rate_mps2,steering_command_rad,target_speed_mps,iterations,primal_residual,dual_residual,rti_iterations_used,rti2_triggered,rti2_trigger_reason_mask,rti2_budget_skipped,r1_status,r2_status,r1_objective,r2_objective,r1_slack_m,r2_slack_m,selected_candidate,r1_iterations,r2_iterations,r1_steering_rate_radps,r1_target_speed_rate_mps2,r1_next_progress_m,r1_next_e_y_m,r1_next_raw_bound_clearance_m,r1_next_first_step_clearance_m,r2_steering_rate_radps,r2_target_speed_rate_mps2,r2_next_progress_m,r2_next_e_y_m,r2_next_raw_bound_clearance_m,r2_next_first_step_clearance_m,r1_solve_us,r2_solve_us,total_rti_us,rho_start,rho_final,rho_u_start,rho_u_final,rho_change_count,factorization_count,progress_m,e_y_m,e_psi_rad,u_mps,v_mps,r_radps,target_speed_state_mps,steering_state_rad,state_age_s,path_curvature_per_m,raw_left_bound_m,raw_right_bound_m,current_raw_bound_clearance_m,current_inset_corridor_clearance_m,first_prediction_corridor_margin_m,lateral_accel_proxy_mps2,minimum_predicted_corridor_slack_m,candidate_progress_error_max_m,candidate_curvature_error_max_per_m,candidate_left_bound_error_max_m,candidate_right_bound_error_max_m,nonlinear_failure_stage,nonlinear_failure_reason
52590,1789731693795468405,0,-0.002862500027,3,-0.08020789176,3.348152399,16,0.00621175766,0.008860588074,2,1,1056,0,0,0,170363.3906,170363.375,0.4034902751,0.4032862484,R1,16,16,-0.002862500027,3,178.6433666,0.04720096663,0.7092796611,0.6592796604,-0.003156811465,3,178.6433666,0.04720096663,0.7092796611,0.6592796604,313.6899996,286.5580006,679.8570004,1,1,32,32,3,5,178.5725184,0.04426918924,0.04653693736,2.794938803,0.004221410491,-0.712100029,3.273152351,-0.08013632894,0.003576631,-0.0609799739,0.775,1.075,0.7307308108,0.68073081,0.05000000075,3.02110219,0.4034902751,0.006511338055,0.0003749579191,0.001273483038,0.001476049423,-1,-1
52615,1789731693821215734,0,-0.272480607,3,-0.09424076229,3.422310829,15,0.003527641296,0.006985023618,2,1,1056,0,0,0,167403.3594,167403.3438,0.4021339417,0.4020835161,R1,15,15,-0.272480607,3,178.7158055,0.07370229065,0.6637977093,0.6137977086,-0.2727782726,3,178.7158055,0.07370229065,0.6637977093,0.6137977086,467.5089998,379.3120003,931.0199995,1,1,32,7.9375,16,18,178.6439717,0.07146073878,0.03547720984,2.834327698,0.003928104416,-0.6359999776,3.347310781,-0.08742874861,0.006085886,-0.06150674738,0.7561024174,1.093897583,0.6846416786,0.6346416779,0.05000000075,3.015473843,0.4021339417,0.0009139925241,8.442997932e-05,0.0004714131355,0.001151680946,-1,-1
52635,1789731693845828552,0,-0.3680747449,3,-0.1157275215,3.504541397,18,0.004124879837,0.007893398404,2,1,1056,0,0,0,163996.7031,163996.7188,0.4015033245,0.4015440941,R2,15,18,-0.3676709831,3,178.7836453,0.096200414,0.653799586,0.6037995853,-0.3680747449,3,178.7836453,0.096200414,0.653799586,0.6037995853,359.625,308.7199993,748.6860008,1,1,7.9375,31.75,6,8,178.7108686,0.09468601644,0.02476675436,2.870451689,0.003908267245,-0.6103000045,3.429541349,-0.1065256521,0.003942097,-0.06199895229,0.7392897709,1.1,0.6446037545,0.5946037538,0.05000000075,3.059310675,0.4015440941,3.263354301e-06,1.11758709e-07,1.788139343e-07,2.145767212e-06,-1,-1
52656,1789731693870649601,0,-0.2672834992,3,-0.1290113032,3.572714567,15,0.00955414772,0.006834574044,2,1,1056,0,0,0,161171.4219,161171.4219,0.4010388553,0.4010179341,R1,15,18,-0.2672834992,3,178.8567254,0.1193395779,0.6181604221,0.5681604214,-0.2676737607,3,178.8567254,0.1193395779,0.6181604221,0.5681604214,429.3969994,360.618,870.7659998,1,1,31.75,15.875,9,11,178.7823933,0.1187789813,0.01228856854,2.936900854,0.004725928884,-0.6927000284,3.49771452,-0.1223292127,0.00403441,-0.06252854384,0.75,1.117914752,0.6312210187,0.581221018,0.05000000075,3.161151886,0.4010388553,0.0008959174156,1.83917582e-05,0.0001271367073,0.0006542205811,-1,-1
52679,1789731693895539288,0,-0.1488941312,3,-0.1355994195,3.647788525,18,0.004500865936,0.009214326739,2,1,1568,0,0,0,158011.5469,158011.5156,0.4007729292,0.4006575644,R1,18,18,-0.1488941312,3,178.9331212,0.1462410837,0.5787589163,0.5287589155,-0.1491183937,3,178.9331212,0.1462410837,0.5787589163,0.5287589155,318.9190006,341.3509998,746.0419998,1,1,15.875,31.75,3,5,178.8570767,0.1467136145,-0.0007439717301,3.011343956,0.005592554808,-0.7670000196,3.572788477,-0.1318770647,0.004158114,-0.06308829789,0.7375,1.133311607,0.5907863855,0.5407863848,0.05000000075,3.452757835,0.4007729292,0.001483552158,2.963840961e-05,0.001366913319,0.001183509827,-1,-1
52704,1789731693921427492,0,-0.1350372434,3,-0.1463047415,3.721724987,16,0.008504390717,0.005542032421,2,1,1568,0,0,0,154697.5938,154697.5781,0.4010037482,0.4009289742,R1,16,18,-0.1350372434,3,179.0121465,0.1719225347,0.5405774653,0.4905774646,-0.1353270411,3,179.0121465,0.1719225347,0.5405774653,0.4905774646,409.3889999,330.1299992,820.151,1,1,31.75,15.875,9,11,178.9337489,0.1736183167,-0.01590425149,3.11612916,0.006318352185,-0.7946000099,3.646724939,-0.1429288089,0.007037304,-0.06367319968,0.725,1.125,0.5513816833,0.5013816826,0.05000000075,3.780102253,0.4010037482,0.001521080732,5.862116814e-05,0.001505672932,0.0009497404099,-1,-1
52724,1789731693945893484,0,0.04279639572,3,-0.1502685547,3.808034897,17,0.008959293365,0.006298065186,2,1,1056,0,0,0,150700.25,150700.2656,0.4016765952,0.4016878903,R2,18,17,0.04282989353,3,179.0908895,0.203132093,0.5111346476,0.4611346469,0.04279639572,3,179.0908895,0.203132093,0.5111346476,0.4611346469,323.8780003,416.5219994,819.8009996,1,1,15.875,31.75,9,11,179.0098918,0.2066349685,-0.0353808552,3.234305859,0.008683953434,-0.9986000061,3.733034849,-0.1513384581,0.003955893,-0.06426757099,0.7125,1.135107783,0.5058650315,0.4558650307,0.05000000075,4.226224422,0.4016878903,2.957880497e-06,2.458691597e-07,1.609325409e-06,2.503395081e-06,-1,-1
52748,1789731693970859505,0,0.1338498741,3,-0.1544917077,3.839480162,18,0.005210638046,0.0080088377,2,1,1056,0,0,0,150116.9844,150117.0156,0.3973189592,0.3973189592,R1,18,17,0.1338498741,3,179.1786833,0.2356040776,0.4643959224,0.4143959217,0.1339677423,3,179.1786833,0.2356040776,0.4643959224,0.4143959217,385.4040003,416.7329998,882.7390003,1,1,31.75,15.875,12,14,179.0967939,0.2410959154,-0.05697343871,3.284483671,0.01066419296,-1.183300018,3.764480114,-0.1578379571,0.003670667,-0.06496723898,0.7125,1.15,0.4714040846,0.4214040838,0.05000000075,4.581701279,0.3973189592,0.002087004483,9.351223707e-05,0.0008572936058,0.0024497509,-1,-1
52770,1789731693995955230,0,-1.080462694,3,-0.1889465004,3.757764578,18,0.00754904747,0.00814320147,2,1,1632,0,0,0,154637.1406,154635.8594,0.3428206742,0.3428214192,R2,19,18,-1.075106144,3,179.1782571,0.2871991396,0.4128008604,0.3628008597,-1.080462694,3,179.1782571,0.2871991396,0.4128008604,0.3628008597,475.5629997,423.8459997,981.3640003,1,1,15.875,15.875,14,16,179.0967939,0.2915587425,-0.05830252916,3.284483671,0.01066419296,0,3.68276453,-0.1619349271,0.004181277,-0.06496723898,0.7125,1.15,0.4209412575,0.3709412567,0.05000000075,5.420158386,0.3428214192,0.0002928078175,1.662969589e-05,0.0003347098827,0.0001699924469,-1,-1
52791,1789731694023249466,0,-1.536734939,3,-0.2373318076,3.553199768,21,0.008939027786,0.004055514932,2,1,1120,0,0,0,165738.6719,165738.8906,0.2949470282,0.2949470282,R1,21,20,-1.536734939,3,179.261069,0.3300529718,0.3574470282,0.3074470274,-1.540364504,3,179.261069,0.3300529718,0.3574470282,0.3074470274,350.8800001,361.0780001,792.6090002,1,1,15.875,15.875,5,7,179.1784833,0.3344622552,-0.05363060161,3.373782158,0.001265792293,-0.1322000027,3.47819972,-0.1989134252,0.004882214,-0.06564779576,0.7,1.156535708,0.3655377448,0.315537744,0.05000000075,6.208348751,0.2949470282,0.01157911867,0.0008373111486,0.003209888935,0.01086378098,-1,-1
