# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
0.0000000,0.816282,3.158171,-1.489521,-0.162979,4.769538,5.470000,0.725000,0.550000
0.0199863,0.817872,3.138248,-1.492740,-0.159073,4.792405,5.470000,0.725000,0.550000
0.0399798,0.819400,3.118313,-1.495882,-0.155316,4.815171,5.470000,0.725000,0.575000
0.0599746,0.820865,3.098372,-1.498951,-0.151632,4.837832,5.470000,0.725000,0.575000
0.0799650,0.822270,3.078431,-1.501945,-0.147944,4.860382,5.470000,0.700000,0.575000
0.0999524,0.823616,3.058489,-1.504865,-0.144251,4.882824,5.470000,0.700000,0.575000
0.1199450,0.824905,3.038538,-1.507713,-0.140694,4.905170,5.470000,0.700000,0.575000
0.1399400,0.826138,3.018581,-1.510492,-0.137230,4.927416,5.470000,0.650000,0.575000
0.1599307,0.827315,2.998625,-1.513200,-0.133763,4.949559,5.470000,0.650000,0.575000
0.1799183,0.828439,2.978669,-1.515839,-0.130292,4.971600,5.470000,0.650000,0.575000
0.1999101,0.829512,2.958706,-1.518410,-0.126941,4.993547,5.470000,0.650000,0.575000
0.2199053,0.830534,2.938737,-1.520916,-0.123701,5.015402,5.470000,0.650000,0.575000
0.2398969,0.831506,2.918769,-1.523356,-0.120459,5.037158,5.470000,0.650000,0.575000
0.2598843,0.832430,2.898803,-1.525732,-0.117213,5.058817,5.470000,0.650000,0.575000
0.2798755,0.833307,2.878831,-1.528043,-0.114071,5.080387,5.470000,0.650000,0.575000
0.2998709,0.834139,2.858853,-1.530294,-0.111056,5.101870,5.470000,0.650000,0.575000
0.3198624,0.834927,2.838877,-1.532484,-0.108039,5.123259,5.470000,0.650000,0.575000
0.3398502,0.835671,2.818903,-1.534613,-0.105019,5.144556,5.470000,0.650000,0.625000
0.3598406,0.836373,2.798925,-1.536682,-0.102084,5.165767,5.470000,0.650000,0.625000
0.3798355,0.837035,2.778941,-1.538696,-0.099292,5.186897,5.470000,0.650000,0.625000
0.3998282,0.837657,2.758958,-1.540653,-0.096497,5.207937,5.470000,0.650000,0.625000
0.4198167,0.838241,2.738978,-1.542554,-0.093700,5.228890,5.470000,0.650000,0.625000
0.4398062,0.838787,2.718996,-1.544399,-0.090971,5.249759,5.470000,0.650000,0.625000
0.4598017,0.839296,2.699007,-1.546192,-0.088397,5.270552,5.470000,0.650000,0.625000
0.4797933,0.839771,2.679021,-1.547934,-0.085820,5.291260,5.470000,0.650000,0.625000
0.4997832,0.840211,2.659036,-1.549623,-0.083241,5.311884,5.470000,0.650000,0.625000
0.5197713,0.840617,2.639052,-1.551262,-0.080715,5.332429,5.470000,0.650000,0.625000
0.5397668,0.840992,2.619060,-1.552852,-0.078352,5.352901,5.470000,0.650000,0.625000
0.5597598,0.841335,2.599070,-1.554395,-0.075987,5.373291,5.470000,0.650000,0.625000
0.5797492,0.841648,2.579083,-1.555890,-0.073620,5.393602,5.470000,0.650000,0.625000
0.5997372,0.841932,2.559097,-1.557338,-0.071291,5.413836,5.470000,0.650000,0.625000
0.6197328,0.842186,2.539103,-1.558742,-0.069134,5.434001,5.470000,0.650000,0.625000
0.6397251,0.842414,2.519112,-1.560102,-0.066975,5.454089,5.470000,0.650000,0.625000
0.6597141,0.842614,2.499124,-1.561420,-0.064813,5.474100,5.470000,0.600000,0.675000
0.6797029,0.842789,2.479136,-1.562694,-0.062677,5.494037,5.470000,0.600000,0.675000
0.6996985,0.842939,2.459141,-1.563927,-0.060718,5.513909,5.470000,0.600000,0.675000
0.7196909,0.843064,2.439149,-1.565122,-0.058757,5.533707,5.470000,0.600000,0.675000
0.7396801,0.843166,2.419160,-1.566277,-0.056794,5.553431,5.470000,0.600000,0.675000
0.7596683,0.843245,2.399172,-1.567392,-0.054845,5.573084,5.470000,0.600000,0.675000
0.7796634,0.843302,2.379177,-1.568471,-0.053077,5.592675,5.470000,0.600000,0.675000
0.7996564,0.843338,2.359184,-1.569515,-0.051308,5.612195,5.470000,0.600000,0.675000
0.8196464,0.843353,2.339194,-1.570523,-0.049537,5.631645,5.470000,0.600000,0.675000
0.8396334,0.843349,2.319207,-1.571495,-0.047768,5.651025,5.470000,0.600000,0.675000
0.8596294,0.843326,2.299211,-1.572434,-0.046185,5.670347,5.470000,0.600000,0.675000
0.8796214,0.843284,2.279219,-1.573342,-0.044600,5.689601,5.470000,0.600000,0.675000
0.8996115,0.843224,2.259229,-1.574217,-0.043013,5.708787,5.470000,0.600000,0.675000
0.9195997,0.843147,2.239241,-1.575061,-0.041425,5.727906,5.470000,0.600000,0.675000
0.9395939,0.843054,2.219247,-1.575875,-0.040014,5.746969,5.470000,0.600000,0.675000
0.9595872,0.842944,2.199254,-1.576661,-0.038607,5.765967,5.470000,0.600000,0.725000
0.9795776,0.842820,2.179264,-1.577419,-0.037198,5.784900,5.470000,0.600000,0.725000
0.9995661,0.842680,2.159276,-1.578148,-0.035788,5.803769,5.470000,0.600000,0.725000
1.0195597,0.842526,2.139283,-1.578851,-0.034539,5.822583,5.470000,0.600000,0.725000
1.0395524,0.842358,2.119291,-1.579530,-0.033303,5.841335,5.470000,0.600000,0.725000
1.0595432,0.842177,2.099301,-1.580183,-0.032065,5.860025,5.470000,0.600000,0.725000
1.0795311,0.841983,2.079314,-1.580812,-0.030827,5.878654,5.470000,0.600000,0.725000
