scan_index,bag_time,time,finite_count,min_range,max_range,angle_min,angle_max,angle_increment,range_min,range_max,odom_index,odom_dt
0,1788888669.9131575,1788888669.9131575,1031,0.8597046136856079,9.805060386657715,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,0,0.0
1,1788888669.9686227,1788888669.9686227,1031,0.8597046136856079,9.805072784423828,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,1,0.0
2,1788888670.0180483,1788888670.0180483,1031,0.8597046136856079,9.805047035217285,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,2,0.0
3,1788888670.0651944,1788888670.0651944,1031,0.8597046136856079,9.805060386657715,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,3,0.0
4,1788888670.113806,1788888670.113806,1031,0.8597046136856079,9.805060386657715,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,4,0.0
5,1788888670.1639147,1788888670.1639147,1031,0.8597046136856079,9.805047035217285,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,5,0.0
6,1788888670.2134798,1788888670.2134798,1031,0.8597074151039124,9.805017471313477,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,6,0.0
7,1788888670.2641559,1788888670.2641559,1031,0.859713077545166,9.804983139038086,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,7,0.0
8,1788888670.3133302,1788888670.3133302,1031,0.859718918800354,9.804949760437012,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,8,0.0
9,1788888670.363571,1788888670.363571,1031,0.859723687171936,9.804922103881836,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,9,0.0
10,1788888670.4132853,1788888670.4132853,1031,0.8597285151481628,9.804853439331055,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,10,0.0
11,1788888670.4634347,1788888670.4634347,1031,0.8597341775894165,9.804862022399902,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,11,0.0
12,1788888670.5140522,1788888670.5140522,1031,0.8597341775894165,9.804861068725586,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,12,0.0
13,1788888670.5635161,1788888670.5635161,1031,0.8597341775894165,9.804834365844727,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,13,0.0
14,1788888670.6135757,1788888670.6135757,1032,0.8599929213523865,9.980783462524414,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,14,0.0
15,1788888670.6654377,1788888670.6654377,1031,0.8615695238113403,9.876744270324707,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,15,0.0
16,1788888670.7137122,1788888670.7137122,1032,0.8634458184242249,9.992083549499512,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,16,0.0
17,1788888670.7638009,1788888670.7638009,1031,0.865412712097168,9.851001739501953,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,17,0.0
18,1788888670.8138323,1788888670.8138323,1032,0.8674585819244385,9.96302604675293,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,18,0.0
19,1788888670.8632965,1788888670.8632965,1031,0.8695824146270752,9.821035385131836,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,19,0.0
20,1788888670.9132926,1788888670.9132926,1032,0.8717862963676453,9.931943893432617,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,20,0.0
21,1788888670.9641047,1788888670.9641047,1031,0.8738759160041809,9.83608341217041,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,21,0.0
22,1788888671.0135636,1788888671.0135636,1032,0.8760488033294678,9.99390983581543,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,22,0.0
23,1788888671.063272,1788888671.063272,1032,0.8783096075057983,9.940726280212402,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,23,0.0
24,1788888671.1142232,1788888671.1142232,1031,0.8806471824645996,9.792732238769531,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,24,0.0
25,1788888671.1637132,1788888671.1637132,1032,0.883063018321991,9.947172164916992,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,25,0.0
26,1788888671.2135217,1788888671.2135217,1031,0.8855574131011963,9.84493637084961,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,26,0.0
27,1788888671.263417,1788888671.263417,1031,0.8881257772445679,9.743828773498535,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,27,0.0
28,1788888671.3140874,1788888671.3140874,1032,0.8907728791236877,9.902383804321289,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,28,0.0
29,1788888671.3634741,1788888671.3634741,1031,0.8934981226921082,9.79294490814209,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,29,0.0
30,1788888671.4135742,1788888671.4135742,1032,0.8962985277175903,9.94737434387207,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,30,0.0
31,1788888671.4634688,1788888671.4634688,1032,0.8991764187812805,9.981761932373047,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,31,0.0
32,1788888671.5142152,1788888671.5142152,1032,0.902131974697113,9.997238159179688,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,32,0.0
33,1788888671.5634644,1788888671.5634644,1032,0.9051637053489685,9.88896656036377,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,33,0.0
34,1788888671.6137094,1788888671.6137094,1031,0.908271074295044,9.781947135925293,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,34,0.0
35,1788888671.6640496,1788888671.6640496,1032,0.9114565253257751,9.935823440551758,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,35,0.0
36,1788888671.7148383,1788888671.7148383,1032,0.9144247770309448,9.89692497253418,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,36,0.0
37,1788888671.7634137,1788888671.7634137,1032,0.9173396229743958,9.883673667907715,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,37,0.0
38,1788888671.813324,1788888671.813324,1032,0.9203125238418579,9.913413047790527,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,38,0.0
39,1788888671.8638387,1788888671.8638387,1032,0.9233425855636597,9.943669319152832,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,39,0.0
40,1788888671.9140253,1788888671.9140253,1032,0.9264302849769592,9.974178314208984,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,40,0.0
41,1788888671.9635677,1788888671.9635677,1031,0.9295768737792969,9.788763046264648,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,41,0.0
42,1788888672.013411,1788888672.013411,1031,0.9299435019493103,9.766087532043457,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,42,0.0
43,1788888672.0634096,1788888672.0634096,1032,0.926799476146698,9.959835052490234,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,43,0.0
44,1788888672.1138744,1788888672.1138744,1032,0.9235818982124329,9.873832702636719,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,44,0.0
45,1788888672.163283,1788888672.163283,1032,0.9203038811683655,9.905665397644043,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,45,0.0
46,1788888672.2138872,1788888672.2138872,1032,0.9169769287109375,9.954804420471191,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,46,0.0
47,1788888672.2637098,1788888672.2637098,1031,0.9136053919792175,9.731847763061523,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,47,0.0
48,1788888672.3135185,1788888672.3135185,1032,0.9101905226707458,9.972352027893066,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,48,0.0
49,1788888672.3639681,1788888672.3639681,1032,0.9067264199256897,9.891254425048828,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,49,0.0
50,1788888672.4141393,1788888672.4141393,1032,0.9032186269760132,9.873501777648926,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,50,0.0
51,1788888672.463335,1788888672.463335,1032,0.8996664881706238,9.921786308288574,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,51,0.0
52,1788888672.5133145,1788888672.5133145,1032,0.8960670828819275,9.958792686462402,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,52,0.0
53,1788888672.5635912,1788888672.5635912,1032,0.8926271796226501,9.878689765930176,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,53,0.0
54,1788888672.6138463,1788888672.6138463,1032,0.889136016368866,9.935007095336914,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,54,0.0
55,1788888672.6642413,1788888672.6642413,1033,0.8856034278869629,9.98990535736084,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,55,0.0
56,1788888672.7140088,1788888672.7140088,1032,0.8820396065711975,9.91545295715332,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,56,0.0
57,1788888672.7636673,1788888672.7636673,1033,0.8784515261650085,9.97031307220459,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,57,0.0
58,1788888672.8135533,1788888672.8135533,1032,0.8748360872268677,9.895698547363281,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,58,0.0
59,1788888672.864052,1788888672.864052,1033,0.8711938261985779,9.950444221496582,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,59,0.0
60,1788888672.913656,1788888672.913656,1032,0.8675265908241272,9.875443458557129,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,60,0.0
61,1788888672.96345,1788888672.96345,1033,0.8638291954994202,9.930076599121094,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,61,0.0
