bag_time,time,value
1788888669.6431835,1788888669.6431835,0.0
1788888669.6683183,1788888669.6683183,0.0
1788888669.6932564,1788888669.6932564,0.0
1788888669.7183468,1788888669.7183468,0.0
1788888669.7433047,1788888669.7433047,0.0
1788888669.7684255,1788888669.7684255,0.0
1788888669.793458,1788888669.793458,0.0
1788888669.8182576,1788888669.8182576,0.0
1788888669.8433657,1788888669.8433657,0.0
1788888669.8683107,1788888669.8683107,0.0
1788888669.893672,1788888669.893672,0.0
1788888669.9182472,1788888669.9182472,0.0
1788888669.9431956,1788888669.9431956,0.0
1788888669.9681695,1788888669.9681695,0.0
1788888669.9932795,1788888669.9932795,0.0
1788888670.0183759,1788888670.0183759,0.0
1788888670.043288,1788888670.043288,0.0
1788888670.0683494,1788888670.0683494,0.0
1788888670.093237,1788888670.093237,0.0
1788888670.1183217,1788888670.1183217,0.0
1788888670.143335,1788888670.143335,0.0
1788888670.1682193,1788888670.1682193,0.0
1788888670.1931884,1788888670.1931884,0.0
1788888670.2184496,1788888670.2184496,0.0
1788888670.2434103,1788888670.2434103,0.0
1788888670.2684648,1788888670.2684648,0.0
1788888670.2931802,1788888670.2931802,0.0
1788888670.3182662,1788888670.3182662,0.0
1788888670.3432739,1788888670.3432739,0.0
1788888670.3680289,1788888670.3680289,0.0
1788888670.393184,1788888670.393184,0.0
1788888670.4181893,1788888670.4181893,0.0
1788888670.4433281,1788888670.4433281,0.0
1788888670.4682324,1788888670.4682324,0.0
1788888670.4933262,1788888670.4933262,0.0
1788888670.5183928,1788888670.5183928,0.029022468253970146
1788888670.5434012,1788888670.5434012,0.010348944924771786
1788888670.568332,1788888670.568332,0.010348944924771786
1788888670.5933354,1788888670.5933354,0.010348944924771786
1788888670.6183136,1788888670.6183136,0.010348944924771786
1788888670.6436472,1788888670.6436472,0.010348944924771786
1788888670.6682026,1788888670.6682026,0.010348944924771786
1788888670.6933432,1788888670.6933432,0.010348944924771786
1788888670.718412,1788888670.718412,0.010348944924771786
1788888670.743702,1788888670.743702,0.010348944924771786
1788888670.7682586,1788888670.7682586,0.010348944924771786
1788888670.7932816,1788888670.7932816,0.010348944924771786
1788888670.8183117,1788888670.8183117,0.010348944924771786
1788888670.8433232,1788888670.8433232,0.010348944924771786
1788888670.8682563,1788888670.8682563,0.010348944924771786
1788888670.8932607,1788888670.8932607,0.010906195268034935
1788888670.9185276,1788888670.9185276,0.010906195268034935
1788888670.9434094,1788888670.9434094,0.010906195268034935
1788888670.9683223,1788888670.9683223,0.010906195268034935
1788888670.993309,1788888670.993309,0.010906195268034935
1788888671.0183125,1788888671.0183125,0.010906195268034935
1788888671.0432982,1788888671.0432982,0.010906195268034935
1788888671.0682104,1788888671.0682104,0.010906195268034935
1788888671.0932388,1788888671.0932388,0.010906195268034935
1788888671.118246,1788888671.118246,0.010906195268034935
1788888671.1433964,1788888671.1433964,0.010906195268034935
1788888671.1682937,1788888671.1682937,0.010906195268034935
1788888671.193305,1788888671.193305,0.010906195268034935
1788888671.2184615,1788888671.2184615,0.010906195268034935
1788888671.2433636,1788888671.2433636,0.010906195268034935
1788888671.268214,1788888671.268214,0.010906195268034935
1788888671.2932408,1788888671.2932408,0.010906195268034935
1788888671.3182411,1788888671.3182411,0.010906195268034935
1788888671.3433952,1788888671.3433952,0.010906195268034935
1788888671.368369,1788888671.368369,0.010906195268034935
1788888671.3932526,1788888671.3932526,0.010906195268034935
1788888671.4183211,1788888671.4183211,0.010906195268034935
1788888671.4437888,1788888671.4437888,0.010906195268034935
1788888671.468361,1788888671.468361,0.010906195268034935
1788888671.49324,1788888671.49324,0.010906195268034935
1788888671.5180254,1788888671.5180254,0.010906195268034935
1788888671.543387,1788888671.543387,0.010906195268034935
1788888671.5681908,1788888671.5681908,0.010906195268034935
1788888671.5932152,1788888671.5932152,0.010906195268034935
1788888671.6182384,1788888671.6182384,0.010906195268034935
1788888671.6434326,1788888671.6434326,0.011463446542620659
1788888671.6684911,1788888671.6684911,0.011463446542620659
1788888671.6934836,1788888671.6934836,0.011463446542620659
1788888671.7182841,1788888671.7182841,0.011463446542620659
1788888671.743347,1788888671.743347,0.011463446542620659
1788888671.768282,1788888671.768282,0.011463446542620659
