stamp_s,speed_pred_mps,speed_mps,body_u_mps,body_v_mps,x_m,y_m,wheel_update_used,turn_mode,reset_epoch,timing_degraded
1789484699.4018278,0,0,0,0,0,0,0,0,0,0
1789484699.4268279,0,0,0,0,0,0,1,0,0,0
1789484699.4518278,0,0,0,0,0,0,1,0,0,0
1789484699.4768279,0,0,0,0,0,0,1,0,0,0
1789484699.5018277,0.13524172613620758,0.13524172613620758,0.13524172613620758,0,0.0016905118583553477,3.9051469767468764e-07,0,0,0,0
1789484699.5268278,0.26972723915576935,0.26972723915576935,0.26972723915576935,0,0.0067526432022629226,9.6560707283300094e-07,0,0,0,0
1789484699.5518279,0.40305524775981905,0.40305524775981905,0.40305524775981905,0,0.015162456369476262,9.6291310046072685e-07,0,0,0,0
1789484699.5768278,0.53517449176311493,0.53517449176311493,0.53517449176311493,0,0.026890261003304439,1.2186399872076484e-06,0,0,0,0
1789484699.6018276,0.66658623981475829,0.66658623981475829,0.66658623981475829,0,0.041912184179925788,1.805828760911384e-06,0,0,0,0
1789484699.626828,0.7967104771375656,0.7967104771375656,0.7967104771375656,0,0.060203637329422278,2.7884700125152295e-06,0,0,0,0
1789484699.6518278,0.92574723877906795,0.92574723877906795,0.92574723877906795,0,0.081734235531819327,4.2078351174588462e-06,0,0,0,0
1789484699.6768277,1.0540965043544768,1.0540965043544768,1.0540965043544768,0,0.10648214063987926,6.0910138065515126e-06,0,0,0,0
1789484699.701828,1.1813182029247282,1.1813182029247282,1.1813182029247282,0,0.13442519745866272,8.4227300821463515e-06,0,0,0,0
1789484699.7268279,1.3076724799156187,1.3076724799156187,1.3076724799156187,0,0.16553740284355664,1.1201854261560807e-05,0,0,0,0
1789484699.7518277,1.4328042639017105,1.4328042639017105,1.4328042639017105,0,0.19979316597302244,1.4450887295370548e-05,0,0,0,0
1789484699.7768278,1.5567572367429732,1.5567572367429732,1.5567572367429732,0,0.23716282710062375,1.8157832464638078e-05,0,0,0,0
1789484699.8018277,1.6804190291404724,1.6804190291404724,1.6804190291404724,0,0.2776272986708081,2.2304505051630395e-05,0,0,0,0
1789484699.826828,1.8031131672620773,1.8031131672620773,1.8031131672620773,0,0.32117203226021951,2.6902701122099127e-05,0,0,0,0
1789484699.8518279,1.9250949692726134,1.9250949692726134,1.9250949692726134,0,0.3677743670300806,3.1961721188091872e-05,0,0,0,0
1789484699.8768277,2.045996777462959,2.045996777462959,2.045996777462959,0,0.41741272952558295,3.7456059047108967e-05,0,0,0,0
1789484699.9018281,2.1660208799362182,2.1660208799362182,2.1660208799362182,0,0.47006365286500618,4.3389682342966757e-05,0,0,0,0
1789484699.9268279,2.285307697367668,2.285307697367668,2.285307697367668,0,0.52570494133179846,4.9768817185804975e-05,0,0,0,0
1789484699.9518278,2.403767019534111,2.403767019534111,2.403767019534111,0,0.58431803951072658,5.6561345634096657e-05,0,0,0,0
1789484699.9768279,2.5212474676847458,2.5212474676847458,2.5212474676847458,0,0.64588095502195497,6.3769599353315288e-05,0,0,0,0
1789484700.0018277,2.6381342988491059,2.6381342988491059,2.6381342988491059,0,0.71037285762934455,7.1358852675460041e-05,0,0,0,0
1789484700.0268278,2.7539997408390047,2.7539997408390047,2.7539997408390047,0,0.77777478977120929,7.9328971684972539e-05,0,0,0,0
