stamp_s,time_s,phase,target_speed_mps,target_accel_mps2,controller_speed_mps,controller_accel_mps2,controller_steering_rad,throttle_command,throttle_feedback,steering_command,steering_feedback,speed_mps,speed_rate_mps2,gt_speed_rate_mps2,ax_mps2,ay_mps2,az_mps2,imu_accel_norm_mps2,yaw_rate_radps,odom_yaw_rate_radps,imu_yaw_rate_radps,imu_yaw_rad,imu_stamp_s,odom_stamp_s,gt_odom_stamp_s,left_encoder_stamp_s,right_encoder_stamp_s,left_encoder_rad,right_encoder_rad,left_encoder_speed_radps,right_encoder_speed_radps,left_encoder_dt_s,right_encoder_dt_s,encoder_wheel_speed_mps,gt_slip_speed_mps,gt_slip_ratio,x_odom_m,y_odom_m,yaw_odom_rad,odom_raw_wheel_speed_mps,odom_corrected_wheel_speed_mps,odom_longitudinal_slip_ratio,odom_wheel_observation_confidence,odom_imu_acceleration_bias_mps2,odom_encoder_reset_count,odom_imu_speed_mps,odom_frozen_encoder_model_active,odom_frozen_encoder_model_decel_mps2,brake_encoder_stopped,brake_imu_stopped,brake_odom_stopped,brake_gt_stopped,brake_stop_confirmed,brake_stop_elapsed_s,speed_settled,speed_settle_rate_mps2,speed_settle_elapsed_s,gt_x_m,gt_y_m,gt_z_m,gt_yaw_rad,gt_vx_mps,gt_vy_mps,gt_vz_mps,gt_speed_mps,gt_ax_mps2,gt_ay_mps2,gt_accel_mps2,gt_longitudinal_accel_mps2,gt_dt_s,gt_yaw_rate_radps,gt_collision_count,gt_odom_x_m,gt_odom_y_m,gt_odom_z_m,gt_odom_yaw_rad,gt_ips_x_m,gt_ips_y_m,gt_ips_z_m,x_amcl_m,y_amcl_m,yaw_amcl_rad,amcl_xy_variance,amcl_yaw_variance,x_ekf_m,y_ekf_m,yaw_ekf_rad,ekf_xy_variance,ekf_yaw_variance,lidar_rate_hz,lidar_event_count,imu_rate_hz,imu_event_count,left_encoder_rate_hz,left_encoder_event_count,right_encoder_rate_hz,right_encoder_event_count,odom_rate_hz,odom_event_count,gt_odom_rate_hz,gt_odom_event_count,gt_ips_rate_hz,gt_ips_event_count,collision_rate_hz,collision_event_count,amcl_rate_hz,amcl_event_count,ekf_rate_hz,ekf_event_count,speed_command_rate_hz,speed_command_event_count,acceleration_command_rate_hz,acceleration_command_event_count,throttle_command_rate_hz,throttle_command_event_count,steering_command_rate_hz,steering_command_event_count,throttle_feedback_rate_hz,throttle_feedback_event_count,steering_feedback_rate_hz,steering_feedback_event_count,amcl_timing_ms,amcl_gpu_transfer_ms,amcl_gpu_pf_ms,amcl_gpu_callback_ms,amcl_pose_published,amcl_cluster_weight,amcl_kld_pre_particles,amcl_kld_bins,amcl_kld_target,amcl_kld_particles,speed_command_mps,speed_command_accel_mps2,speed_command_steering_rad,speed_command_stamp_s,acceleration_command_mps,acceleration_command_accel_mps2,acceleration_command_steering_rad,acceleration_command_stamp_s
1788435749.210743,0.058697294,pretest_settle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.0001,0.0,0.0017,0.0017029386365926401,0.0,nan,0.0,0.0,1788435749.196555,nan,1788435749.1966207,1788435749.1964214,1788435749.196498,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1573,0.0,0.0592,0.0,0.0,0.0,0.0001,0.0,nan,nan,nan,nan,nan,0.0,0,-0.1573,0.0,0.0592,0.0,-0.1573,0.0,0.0592,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.011659392930000002,0.011659392930000002,nan,1,nan,1,nan,1,nan,1,nan,nan,nan,1,nan,1,nan,1,nan,nan,nan,1,nan,1,nan,1,nan,1,nan,1,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1788435749.1913505,0.0,0.0,0.0,1788435749.1914232
1788435749.230925,0.078879438,pretest_settle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.0001,0.0,0.0017,0.0017029386365926401,0.0,nan,0.0,0.0,1788435749.196555,nan,1788435749.1966207,1788435749.1964214,1788435749.196498,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1573,0.0,0.0592,0.0,0.0,0.0,0.0001,0.0,nan,nan,nan,nan,nan,0.0,0,-0.1573,0.0,0.0592,0.0,-0.1573,0.0,0.0592,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.011659392930000002,0.011659392930000002,nan,1,nan,1,nan,1,nan,1,nan,nan,nan,1,nan,1,nan,1,nan,nan,nan,1,nan,2,nan,2,nan,2,nan,2,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1788435749.2115455,0.0,0.0,0.0,1788435749.2116587
1788435749.2509458,0.098900214,pretest_settle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.0001,0.0,0.0017,0.0017029386365926401,0.0,nan,0.0,0.0,1788435749.196555,nan,1788435749.1966207,1788435749.1964214,1788435749.196498,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1573,0.0,0.0592,0.0,0.0,0.0,0.0001,0.0,nan,nan,nan,nan,nan,0.0,0,-0.1573,0.0,0.0592,0.0,-0.1573,0.0,0.0592,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.011659392930000002,0.011659392930000002,nan,1,nan,1,nan,1,nan,1,nan,nan,nan,1,nan,1,nan,1,nan,nan,nan,1,nan,3,nan,3,nan,3,nan,3,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1788435749.2325563,0.0,0.0,0.0,1788435749.2327638
1788435749.2708623,0.118816804,pretest_settle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.0001,0.0,0.0017,0.0017029386365926401,0.0,nan,0.0,0.0,1788435749.196555,nan,1788435749.1966207,1788435749.1964214,1788435749.196498,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1573,0.0,0.0592,0.0,0.0,0.0,0.0001,0.0,nan,nan,nan,nan,nan,0.0,0,-0.1573,0.0,0.0592,0.0,-0.1573,0.0,0.0592,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.011659392930000002,0.011659392930000002,nan,1,nan,1,nan,1,nan,1,nan,nan,nan,1,nan,1,nan,1,nan,nan,nan,1,nan,4,nan,4,nan,4,nan,4,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1788435749.2531137,0.0,0.0,0.0,1788435749.2535095
1788435749.290738,0.138692476,pretest_settle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.0001,0.0,0.0017,0.0017029386365926401,0.0,nan,0.0,0.0,1788435749.196555,nan,1788435749.1966207,1788435749.1964214,1788435749.196498,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1573,0.0,0.0592,0.0,0.0,0.0,0.0001,0.0,nan,nan,nan,nan,nan,0.0,0,-0.1573,0.0,0.0592,0.0,-0.1573,0.0,0.0592,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.011659392930000002,0.011659392930000002,nan,1,nan,1,nan,1,nan,1,nan,nan,nan,1,nan,1,nan,1,nan,nan,nan,1,nan,5,nan,5,nan,5,nan,5,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1788435749.27346,0.0,0.0,0.0,1788435749.2738607
1788435749.310682,0.158636264,pretest_settle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,-0.0001,0.0,0.0017,0.0017029386365926401,0.0,0.0,0.0,0.0,1788435749.2987382,1788435749.2986689,1788435749.2988205,1788435749.2985704,1788435749.2986689,0.0,0.0,0.0,0.0,0.10214900970458984,0.10217094421386719,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1573,0.0,0.0592,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.10219979286193848,0.0,0,-0.1573,0.0,0.0592,0.0,-0.1573,0.0,0.0592,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.012681103520000002,0.012681103520000002,nan,2,nan,2,nan,2,nan,2,nan,1,nan,2,nan,2,nan,2,nan,nan,nan,2,nan,6,nan,6,nan,6,nan,6,nan,2,nan,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1788435749.291405,0.0,0.0,0.0,1788435749.2914746
1788435749.330703,0.178657445,pretest_settle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,-0.0001,0.0,0.0017,0.0017029386365926401,0.0,0.0,0.0,0.0,1788435749.2987382,1788435749.2986689,1788435749.2988205,1788435749.2985704,1788435749.2986689,0.0,0.0,0.0,0.0,0.10214900970458984,0.10217094421386719,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1573,0.0,0.0592,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.10219979286193848,0.0,0,-0.1573,0.0,0.0592,0.0,-0.1573,0.0,0.0592,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.012681103520000002,0.012681103520000002,nan,2,nan,2,nan,2,nan,2,nan,1,nan,2,nan,2,nan,2,nan,nan,nan,2,nan,7,nan,7,nan,7,nan,7,nan,2,nan,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1788435749.3113232,0.0,0.0,0.0,1788435749.3114045
1788435749.351027,0.198981511,pretest_settle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,-0.0001,0.0,0.0017,0.0017029386365926401,0.0,0.0,0.0,0.0,1788435749.2987382,1788435749.2986689,1788435749.2988205,1788435749.2985704,1788435749.2986689,0.0,0.0,0.0,0.0,0.10214900970458984,0.10217094421386719,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1573,0.0,0.0592,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.10219979286193848,0.0,0,-0.1573,0.0,0.0592,0.0,-0.1573,0.0,0.0592,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.012681103520000002,0.012681103520000002,nan,2,nan,2,nan,2,nan,2,nan,1,nan,2,nan,2,nan,2,nan,nan,nan,2,nan,8,nan,8,nan,8,nan,8,nan,2,nan,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1788435749.3322196,0.0,0.0,0.0,1788435749.3324385
1788435749.3709075,0.218861999,pretest_settle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,-0.0001,0.0,0.0017,0.0017029386365926401,0.0,0.0,0.0,0.0,1788435749.2987382,1788435749.2986689,1788435749.2988205,1788435749.2985704,1788435749.2986689,0.0,0.0,0.0,0.0,0.10214900970458984,0.10217094421386719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1573,0.0,0.0592,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.10219979286193848,0.0,0,-0.1573,0.0,0.0592,0.0,-0.1573,0.0,0.0592,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.012681103520000002,0.012681103520000002,nan,2,nan,2,nan,2,nan,2,nan,1,nan,2,nan,2,nan,2,nan,nan,nan,2,nan,9,nan,9,nan,9,nan,9,nan,2,nan,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1788435749.3532157,0.0,0.0,0.0,1788435749.3534896
1788435749.3906984,0.238652834,pretest_settle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,-0.0001,0.0,0.0017,0.0017029386365926401,0.0,0.0,0.0,0.0,1788435749.2987382,1788435749.2986689,1788435749.2988205,1788435749.2985704,1788435749.2986689,0.0,0.0,0.0,0.0,0.10214900970458984,0.10217094421386719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1573,0.0,0.0592,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.10219979286193848,0.0,0,-0.1573,0.0,0.0592,0.0,-0.1573,0.0,0.0592,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.012681103520000002,0.012681103520000002,nan,2,nan,2,nan,2,nan,2,nan,1,nan,2,nan,2,nan,2,nan,nan,nan,2,nan,10,nan,10,nan,10,nan,10,nan,2,nan,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1788435749.3737082,0.0,0.0,0.0,1788435749.3740518
1788435749.4107394,0.2586937,pretest_settle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,-0.0004,-0.0017,0.0017916472867168917,0.0,0.0,0.0,0.0,1788435749.399606,1788435749.399552,1788435749.399669,1788435749.3994749,1788435749.399552,0.0,0.0,0.0,0.0,0.10090446472167969,0.10088324546813965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1573,0.0,0.0592,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.10084843635559082,0.0,0,-0.1573,0.0,0.0592,0.0,-0.1573,0.0,0.0592,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.013689936010000002,0.013689936010000002,nan,3,nan,3,nan,3,nan,3,nan,2,nan,3,nan,3,nan,3,nan,nan,nan,3,nan,11,nan,11,nan,11,nan,11,nan,3,nan,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1788435749.391388,0.0,0.0,0.0,1788435749.3914597
1788435749.4309325,0.278886869,pretest_settle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,-0.0004,-0.0017,0.0017916472867168917,0.0,0.0,0.0,0.0,1788435749.399606,1788435749.399552,1788435749.399669,1788435749.3994749,1788435749.399552,0.0,0.0,0.0,0.0,0.10090446472167969,0.10088324546813965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1573,0.0,0.0592,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.10084843635559082,0.0,0,-0.1573,0.0,0.0592,0.0,-0.1573,0.0,0.0592,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.013689936010000002,0.013689936010000002,nan,3,nan,3,nan,3,nan,3,nan,2,nan,3,nan,3,nan,3,nan,nan,nan,3,nan,12,nan,12,nan,12,nan,12,nan,3,nan,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1788435749.411592,0.0,0.0,0.0,1788435749.411699
1788435749.451008,0.29896249,pretest_settle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,-0.0004,-0.0017,0.0017916472867168917,0.0,0.0,0.0,0.0,1788435749.399606,1788435749.399552,1788435749.399669,1788435749.3994749,1788435749.399552,0.0,0.0,0.0,0.0,0.10090446472167969,0.10088324546813965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1573,0.0,0.0592,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.10084843635559082,0.0,0,-0.1573,0.0,0.0592,0.0,-0.1573,0.0,0.0592,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.013689936010000002,0.013689936010000002,nan,3,nan,3,nan,3,nan,3,nan,2,nan,3,nan,3,nan,3,nan,nan,nan,3,nan,13,nan,13,nan,13,nan,13,nan,3,nan,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1788435749.4330194,0.0,0.0,0.0,1788435749.4332874
1788435749.4709375,0.318891828,pretest_settle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,-0.0004,-0.0017,0.0017916472867168917,0.0,0.0,0.0,0.0,1788435749.399606,1788435749.399552,1788435749.399669,1788435749.3994749,1788435749.399552,0.0,0.0,0.0,0.0,0.10090446472167969,0.10088324546813965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1573,0.0,0.0592,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.10084843635559082,0.0,0,-0.1573,0.0,0.0592,0.0,-0.1573,0.0,0.0592,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.013689936010000002,0.013689936010000002,nan,3,nan,3,nan,3,nan,3,nan,2,nan,3,nan,3,nan,3,nan,nan,nan,3,nan,14,nan,14,nan,14,nan,14,nan,3,nan,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1788435749.4534385,0.0,0.0,0.0,1788435749.4537406
1788435749.4910283,0.338982611,pretest_settle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,-0.0004,-0.0017,0.0017916472867168917,0.0,0.0,0.0,0.0,1788435749.399606,1788435749.399552,1788435749.399669,1788435749.3994749,1788435749.399552,0.0,0.0,0.0,0.0,0.10090446472167969,0.10088324546813965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1573,0.0,0.0592,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.10084843635559082,0.0,0,-0.1573,0.0,0.0592,0.0,-0.1573,0.0,0.0592,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.013689936010000002,0.013689936010000002,nan,3,nan,3,nan,3,nan,3,nan,2,nan,3,nan,3,nan,3,nan,nan,nan,3,nan,15,nan,15,nan,15,nan,15,nan,3,nan,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1788435749.4737146,0.0,0.0,0.0,1788435749.474155
