record_type,name,speed_mps,value,value_2,samples
coefficient,c0,,-0.759677708,,873
coefficient,c1,,25.331374131,,873
coefficient,c2,,-0.559454451,,873
coefficient,c3,,-0.787642518,,873
operating_point,,0.000000,0.029990,0.039477,873
operating_point,,2.000000,0.079078,0.042094,873
operating_point,,4.000000,0.135139,0.045084,873
operating_point,,6.000000,0.199772,0.048531,873
operating_point,,8.000000,0.275105,0.052548,873
operating_point,,10.000000,0.364036,0.057290,873
operating_point,,12.000000,0.470610,0.062974,873
operating_point,,14.000000,0.600658,0.069909,873
operating_point,,16.000000,0.762894,0.078560,873
operating_point,,18.000000,0.970956,0.089655,873
operating_point,,20.000000,1.000000,0.104400,873
operating_point,,23.000000,1.000000,0.138589,873
