record_type,name,speed_mps,value,value_2,samples
coefficient,c0,,-0.016482135,,5974
coefficient,c1,,6.308301119,,5974
coefficient,c2,,-0.236608512,,5974
coefficient,c3,,-0.046267156,,5974
operating_point,,0.000000,0.002613,0.158521,5974
operating_point,,2.000000,0.078783,0.160881,5974
operating_point,,4.000000,0.157256,0.163312,5974
operating_point,,6.000000,0.238137,0.165818,5974
operating_point,,8.000000,0.321539,0.168402,5974
operating_point,,10.000000,0.407581,0.171068,5974
operating_point,,12.000000,0.496391,0.173819,5974
operating_point,,14.000000,0.588104,0.176661,5974
operating_point,,16.000000,0.682866,0.179597,5974
operating_point,,18.000000,0.780831,0.182632,5974
operating_point,,20.000000,0.882164,0.185771,5974
operating_point,,23.000000,1.000000,0.190688,5974
